cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_food,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US17097865600,-0.0015173867492121,-0.1471439734565304,0.077830493418172,0.0557046159876997,0.068755829954917,-0.1410644765919353,-0.0805787544529974,0.004500039942237,0.097781551269376,-0.1182821967470309,0.1667809471137417,-0.1739241760191794,-0.1776602087914232,-0.1482602928677789,-0.291503818690312,0.0507799267123537,-0.1296925129329841,0.088715454565648,-0.1445404190552586,0.0566024771794043,0.0494318542197819,0.0563286068568979,-0.1009911656057076,-0.0193044840165669,-0.0015622739305874,0.2397692962190469,-0.0063050110639181,-0.0167547192259227,0.1276415554824699,0.0681706182484101,-0.0411849911333287,0.0377684802982401,-0.0919930667577761,0.0028550465647486,0.1122216059078692,-0.117316679220867,-0.0588068415461386,-0.160511089873085,0.000459791985111956,-0.1035032630398834,-0.1601816058329951,-0.0410116280933577,0.1705659850061022,0.021041529097686,0.1223597551123109,0.2031499974513903,0.14257048833997,-0.1482944332982876,0.1862368426469396,-0.1493828969099919,-0.0781528182773309,0.0622808359547307,-0.1601149974689946,0.0900217167606685,0.1914198736632378,0.0249850791714916,0.2553721283419233,0.0939772461475504,-0.00271432807055,0.0180213574983085,0.0538088762612439,-0.1014912746634584,-0.0939880402432756,0.0412905845303595,0.0,3595,3.408901,1054.5920811428668,6.961857102841716
1400000US17097864521,-0.0041871909090229,-0.2469029862488128,0.1065852321280798,-0.067168607270257,0.1124550708273257,-0.0604841704127192,-0.0914094705487625,-0.1560206974225042,-0.04624823276616,-0.1412666771140648,0.0295605926388595,-0.1646302203226022,-0.1146182136090575,-0.1148824660843729,-0.2885039083641142,-0.0674213774554695,-0.0651622786020008,0.123549270875115,-0.0848786420380166,0.0934482436966067,-0.0324109960158823,-0.0675407495134123,-0.1105725569630838,-0.0565152882571165,-0.1169927185696525,0.2753430980917438,0.0711957891268907,-0.0763775323724363,0.1254082410601386,0.0182224559993786,-0.0541767583758956,-0.0195212697949984,-0.0794780680658595,-0.0516197121467664,-0.0061538869518498,-0.0434128340648553,-0.02882996794455,-0.1166019267993502,0.0483857663781894,0.052490378738712,-0.1479315795542812,-0.0240701444414026,0.1094139493485081,0.0038943281048388,0.1370914240082305,0.1408662493751431,0.0451626285909999,0.0004882211655112108,0.1198277061890657,-0.2062017928336985,-0.0607251129393007,0.0604752983619462,-0.1753518756328863,0.0725259881474886,0.2316742955424201,-0.0204839070925522,0.1272113855029063,0.1037128312027302,0.0561917324584962,-0.018115318948244,-0.0145983759675029,-0.1376576973409808,-0.1382118114613136,0.0817772737264122,1.563236,2745,4.47789,613.0119319590253,6.420014361116343
1400000US17097864207,-0.0545661902301624,-0.1120286988913304,0.0968399478095689,-0.1076327094674077,0.1029604153670747,-0.0429125627180044,-0.0796810465549668,-0.0610119389684854,0.0023310437142011,-0.1289225712047388,-1.6397448905096542e-05,-0.1952832740228555,-0.0658553636983081,-0.0285690461070275,-0.3237677409441515,-0.0051309855271741,-0.1356318611841108,0.0728524130056095,-0.140463256649426,0.1158137018475326,-0.0495417555014785,-0.1006624562450025,-0.0364130066498169,-0.0066264228213986,-0.0741475917892282,0.1950850571024749,0.0227227688070502,-0.1245310998012217,0.1727970256605862,-0.0007625940708906966,-0.1017023451720903,0.0038377911112636,-0.0479741619786468,-0.0621993744909526,-0.0995343094748423,0.0225073349874519,0.0280851183565775,-0.084670097813172,0.0588480926246119,-0.0054919729612183,-0.0879133004172963,0.022399945636051,0.0937140886310218,-0.0145996452762568,0.0797811561959943,0.1244863409629692,0.1314315453060136,-0.0446237474896738,0.1265645567533125,-0.2156222374825541,-0.0452767190812762,0.0909458883439935,-0.1177157637924713,0.0673863472614964,0.192241211718933,0.084533990689568,0.0797391784061467,0.0686039318865893,0.0612231083887864,-0.028816607853795,-0.0715480140628301,-0.1793179538695814,-0.1054402814573469,0.0669471957463084,0.050086,7024,19.965498,351.80690208678993,5.865920887679335
1400000US17097864110,-0.0499970238451083,-0.0834163291216021,0.0972720648638278,-0.1442488285675527,0.0937458969910574,-0.0409266402877575,-0.0977139742888976,-0.0617980990122148,0.0028986520301058,-0.1507912758255344,0.0122692497763711,-0.1380507119329792,-0.0418893742100273,0.0072580624398388,-0.3039768716129233,-0.0372983018833837,-0.1394979903758367,0.0870822121727496,-0.1458169815726356,0.1084204990233638,-0.0494412434264703,-0.0861174503964151,-0.0209431643406659,-0.0229620561115296,-0.1317061869677891,0.2191054878980827,0.067388379939867,-0.1092376988431306,0.1542768672448102,-0.0464716943388219,-0.1096662745454053,-0.0147297440152068,-0.0326128026579003,-0.0665874984298828,-0.0968652551526455,0.0168324663229499,0.0500636383783636,-0.0704092425796861,0.1081107220023408,-0.0113119721260584,-0.0670669297855171,0.0471367649756016,0.1132456343240812,-0.0731482911021922,0.0618054338685289,0.1139228657431603,0.1421630632179331,-0.037720144939503,0.1255140401990541,-0.1965817127296557,-0.0097214910478497,0.1090233574589985,-0.1043906715167206,0.065676171346145,0.1915851116784571,0.1141374374604279,0.0421755538176796,0.0721070695069224,0.0824394268576516,-0.0792540719975684,-0.0922185542895802,-0.1708516667229176,-0.1069040806851474,0.0585653414201888,0.033044,6104,30.262878,201.69925675938686,5.3117233867486515
1400000US17097865501,-0.0098430097988179,-0.1052210462440308,0.0875980796350539,0.0030820326504659,0.1017432563270212,-0.1018994991226431,-0.0788477612099322,-0.0395355458451336,0.0952888075504604,-0.1235842856077885,0.0846529061036781,-0.1708021193775928,-0.1603641579588481,-0.1288652403409939,-0.3354431286623878,0.0084689828310019,-0.121068784582348,0.0863318850019049,-0.161460654156134,0.0882234175342581,0.0237981672134483,-0.0269856270655217,-0.0745650919728347,-0.0365128728476755,-0.0309944580280363,0.2150391128362767,-0.0240691433356405,-0.0822220880072076,0.1697507210770481,0.0683622868501243,-0.0509241553775148,0.0418961250260076,-0.0512937595751658,-0.0288916107693824,-0.0082613886825591,-0.0224033904667377,-0.0154332229060374,-0.162348006744256,0.0238732224520465,-0.0465689533181527,-0.0791438095227672,0.0008473534853667527,0.1331655747518125,0.0038382289498771,0.1453678174516669,0.1451258460888699,0.1557042121055898,-0.0971626638965787,0.1476833240645817,-0.1785144130991817,-0.0629714833909367,0.1050437734010329,-0.1383034664661616,0.0767018109714497,0.163316333797256,0.0544971985850654,0.2020052783117298,0.0825553613705194,0.027629204991678,0.0197525935485705,0.0155702103209157,-0.1424614448615223,-0.112257919355208,0.0442537269737193,0.0,2516,3.28373,766.2018497257692,6.642749934574884
1400000US17097864522,0.0006971895137729486,-0.1701222765366777,0.0936329211905368,0.0295159475874021,0.0652773091803657,-0.1411405432105805,-0.0429644232378447,-0.0218665151287244,0.0778441729913104,-0.1354202991479449,0.1427963632873907,-0.1974328183228861,-0.1654334075855185,-0.1161844737933475,-0.2990375171488893,0.0510186159818869,-0.1499718905050972,0.0727657401542079,-0.1269793107632512,0.0637784256157266,0.0404034839047044,0.0345181862207497,-0.0982874246814471,-0.0331211801459008,-0.006147671950875,0.2319965440358376,-0.0006443241127598588,-0.0146843458702228,0.1519033828590402,0.0626406224518068,-0.0297368574398634,0.0173646895421678,-0.1227056163367492,0.0074901682280156,0.0791188194015553,-0.1159578570295185,-0.0640408307441032,-0.1600715679895679,-0.0024929337934134,-0.1143102395453581,-0.1657521094718383,-0.0423830540373272,0.1560172351536329,0.0255543796453212,0.1015494794879175,0.1801200666993898,0.1506156929773175,-0.1558362654874367,0.1658139129513511,-0.1683089106387731,-0.1053712748033458,0.019759240564295,-0.1648532744819019,0.0929787599204002,0.2006279900726752,0.0631394618374523,0.2231821508781831,0.0808483175175709,0.0038755516020118,0.0138031084648504,0.0268738289694773,-0.1002853595652703,-0.0846151209957349,0.0677413361676985,0.0,4370,6.467485,675.6876900371628,6.517209851905529
1400000US17097861506,-0.0212502195319967,-0.1722917523321792,0.0617426059621434,-0.0927526754893681,0.0475019554863954,-0.1141315711045964,-0.0812053812109992,-0.063583324930742,-0.0432405691763633,-0.0835900794272724,0.0753672438721296,-0.2016049811289777,-0.0589206933229515,-0.0808177646097751,-0.3072751876814634,-0.0294146484798367,-0.1732080648586187,0.037500826727322,-0.1783103330075069,0.0851993173209769,-0.0354186150303488,-0.0627193905237774,-0.1072342147773674,-0.0090524284070335,-0.0905223477161726,0.204463667370173,0.0195917874202214,-0.0703166575892307,0.1805123896624195,0.0385436027154041,-0.0773802961272488,-0.0124542082515423,-0.0798324979183564,-0.0598194634884431,-0.041939818489292,-0.0015927785109925,0.0323749256749793,-0.0912073032770729,0.0230651609874807,-0.040416458808706,-0.1520852805645176,0.0015154484538359,0.0935455379293124,-0.00018643583257384088,0.0719360198277104,0.1865574542813129,0.1202230709905902,-0.0753533160720489,0.119300377257535,-0.1828486467561905,-0.0933415853023189,0.1000579621406743,-0.1202100894002351,0.0715647241031574,0.1513006885237981,0.0647292467147766,0.1555561262724264,0.0755790007436088,0.0285538835775903,0.0017586486787221,-0.0693502748808907,-0.1673237541233878,-0.0659669841034918,0.109080278143028,0.0,5021,6.778502,740.7241304937286,6.60897738224825
1400000US17111870606,0.0002136973918021088,-0.2119372572353762,0.1129676193578837,-0.0288715710718573,0.1081547583577765,-0.0521606535573993,-0.0415830776145701,-0.0872684383222251,-0.014321535983781,-0.1583266504880088,0.0229455040727113,-0.196364305935933,-0.1411168620308052,-0.0814989406461233,-0.2813426969695345,0.0428707449429099,-0.0752293483561165,0.104586833549115,-0.0419474851078553,0.1120138222926381,-0.0036481385440289,-0.0554543091969795,-0.0708269546702795,-0.0152426753302892,-0.0159409478183741,0.2666815996474977,0.0338414838829823,-0.1026981662057305,0.1545341720886271,0.014091079269045,-0.0709530987143914,0.0217824174220831,-0.1590127400450037,-0.0124037200448374,0.022868220387149,-0.0475541889709312,-0.0471373342885739,-0.1005285631055673,-0.0200458194001691,-0.0075937991920999,-0.1628284085988367,-0.020216708825782,0.0954936474424431,0.015515314840264,0.1038059072272484,0.1445202220014313,0.0820758825551941,-0.0532374780315205,0.1246866617486584,-0.1878979081460062,-0.0827689591878035,-0.0014389942593068,-0.1783957957012124,0.0882066131381049,0.2447408374871156,-0.0080914936588241,0.1463495525435783,0.0901711487519229,0.0372215395527762,0.0159017705851618,0.0100423971215333,-0.1152676219670614,-0.1164885127842449,0.0578015389934041,5.149063,3789,3.884202,975.4899461974428,6.883964454510985
1400000US17111871105,0.0011031315790959,-0.218022238653415,0.1213543744038033,-0.0214512297991853,0.1008582498932461,-0.0250216369694554,-0.0592004358698066,-0.0631124616226451,0.0347530597497784,-0.135501495905661,0.0291627672908793,-0.218158524245643,-0.1182970435843212,-0.0640225710095074,-0.2644131500672202,0.0511890729676978,-0.0712882988028695,0.0920703946439348,-0.0368403894388579,0.1071314072262068,-0.0065927109046435,-0.0505522266295327,-0.0508519022837632,0.0050047649058838,-0.0380446782880265,0.2733535989373564,0.0462673075111684,-0.0927873866664091,0.1881503613672711,-0.0028610592446195,-0.0749513854569765,0.0426553343689371,-0.1704559917192761,-0.0338314503942436,0.027904569014531,-0.0333180693992551,-0.0162535542017783,-0.0948330818035924,-0.0227238233304366,0.0085605598847222,-0.2095799357690593,-0.0594872581513434,0.1125297099241369,0.0154269275895258,0.0579382977461788,0.1713093677718439,0.0565738346274647,-0.0620327055376805,0.0932663703920172,-0.2169919814194098,-0.0651902521693535,-0.0111768913984479,-0.1663297507082045,0.0965135486659312,0.2452787398796193,-0.0145647420477717,0.1386930297266957,0.0941639548434248,0.0311277429116455,-0.0131494728605637,0.020020409295315,-0.1056962302636161,-0.0836282713736949,0.0798264755031306,0.0,5272,3.349062,1574.172111474795,7.362119822416277
1400000US17111870703,-0.0481685551307138,-0.0801788468748219,0.1051314301304557,-0.0945617142680029,0.0872575558570565,-0.0992124625653101,-0.0187166817834795,0.0178608251906377,0.0285737957658228,-0.1632149860544878,0.0106036580334145,-0.1127261736489336,-0.0655339635599982,0.0573930141130291,-0.2722032154205245,0.0608229066641406,-0.125948969601616,0.0533268341008827,-0.0988482498145489,0.1078510645846415,-0.007748064574746,-0.0911450546986178,0.0086553106348402,0.0185417738469547,-0.0211834564194889,0.1775849207104345,0.0077266798511395,-0.1018974980755101,0.173366865147069,-0.0737815969456564,-0.1279417113184734,-0.0159596872566095,-0.065236217725175,-0.0353322355396144,-0.0703865948319282,0.025030182260291,-0.0099044988465872,-0.0935084042039647,0.0449229767498874,-0.0205367431273834,-0.0591734909055975,0.0588819188127593,0.0916849848309563,-0.0869563657413029,-0.00014894292619275582,0.0536121485293394,0.1782817966792291,-0.0613160134505064,0.1260842597452257,-0.1427042666138615,-0.0329269556221499,0.0534710778135627,-0.1332396445857537,0.0750559137768582,0.1934759343894376,0.1521275227071273,0.0428772582173992,0.0634596969323964,0.0370550352327611,-0.059901444603338,-0.0780675977938427,-0.1461208769504526,-0.1258842623488342,0.0656432685468645,0.106523,5286,28.162909,187.69367894488457,5.240124953906095
