cb_2020_3,tcc_mean
1400000US36001014616,51.96544321425362
1400000US36001014617,57.14143474414934
1400000US36001014700,42.855525464123055
1400000US36001014801,59.83464800787727
1400000US36001014802,59.77096993406388
1400000US36001014803,54.83548381868746
1400000US36083040100,30.059964891078078
1400000US36083040200,17.473155002913924
1400000US36083040300,14.491026089045667
1400000US36083040400,12.512683719242109
1400000US36083040500,40.55108542321428
1400000US36083040600,19.850672118819325
1400000US36083040701,7.1001932715301175
1400000US36083040702,49.312017332928455
1400000US36083040800,6.57208823500015
1400000US36083040900,27.89143431915733
1400000US36083041000,37.68523670974636
1400000US36083041101,39.99164613498164
1400000US36083041102,43.7123688505479
1400000US36083041200,49.58923415534623
1400000US36083041300,34.433367215542745
1400000US36083041400,44.38074870207021
1400000US36083051500,23.02132679916507
1400000US36083051601,39.21702574176137
1400000US36083051602,54.143234384059404
1400000US36083051701,46.257010419319485
1400000US36083051702,34.63834026156639
1400000US36083051800,45.9183791590075
1400000US36083051901,41.556048595166615
1400000US36083051902,57.147275742189485
1400000US36083052002,45.6397169278305
1400000US36083052003,55.3430269245279
1400000US36083052004,41.21872308643411
1400000US36083052101,76.67135045712061
1400000US36083052102,75.47715331592474
1400000US36083052103,75.63176001156592
1400000US36083052201,65.39206366638113
1400000US36083052203,67.19333311833792
1400000US36083052204,53.05150190115246
1400000US36083052301,49.222485666516654
1400000US36083052303,49.763643175068744
1400000US36083052305,46.43114584384594
1400000US36083052306,44.17208323317817
1400000US36083052402,57.5566422014474
1400000US36083052405,38.16023424376856
1400000US36083052406,48.59542142400963
1400000US36083052407,43.399455279060696
1400000US36083052408,45.83194018610875
1400000US36083052501,44.382686529555905
1400000US36083052502,56.42061555128782
1400000US36083052503,48.09574461870967
1400000US36083052601,67.525758672651
1400000US36083052602,54.8893083384213
1400000US36083052603,70.4627716380668
1400000US36091060102,47.81946567995165
1400000US36091060103,64.98604686166966
1400000US36091060104,42.9868515446428
1400000US36091060200,32.080257141744134
1400000US36091060301,62.02749134647478
1400000US36091060400,29.327658160016895
1400000US36091060501,73.58977296780391
1400000US36091060504,66.44126098068742
1400000US36091060505,72.2980451767637
1400000US36091060506,71.7485843523987
1400000US36091060507,71.05357975643278
1400000US36091060601,67.36776597423169
1400000US36091060602,68.09561737643142
1400000US36091060703,61.55418863658774
1400000US36091060704,60.93247006801279
1400000US36091060705,60.446652314350445
1400000US36091060706,52.78915976835947
1400000US36091060800,39.00337940014974
1400000US36091060901,38.94697407021991
1400000US36091060902,37.86686546175913
1400000US36091061001,22.327259638060717
1400000US36091061002,10.97592533730833
1400000US36091061101,36.41365990401271
1400000US36091061102,39.64015021363805
1400000US36091061201,38.528371869997805
1400000US36091061202,29.813742108079193
1400000US36091061301,56.57631736277707
1400000US36091061303,57.0057503782334
1400000US36091061304,56.03929892103354
1400000US36091061305,47.00416059445002
1400000US36091061401,60.629874159182535
1400000US36091061403,51.975534069221396
1400000US36091061404,49.68360833661808
1400000US36091061500,55.79185807573333
1400000US36091061600,44.48395379912089
1400000US36091061701,42.99515134035807
1400000US36091061702,45.56356319993175
1400000US36091061800,39.870391490642405
1400000US36091061904,49.9693349822889
1400000US36091061905,41.69904125270025
1400000US36091061906,40.797480713632154
1400000US36091061907,59.02917256632524
1400000US36091062001,57.0650763126764
1400000US36091062002,43.06122189967942
1400000US36091062100,36.87376891165183
1400000US36091062200,21.359306713698437
1400000US36091062300,20.73904979175552
1400000US36091062404,43.11619306322214
1400000US36091062406,46.86413026028901
1400000US36091062407,52.72151665548622
1400000US36091062408,45.00873245556858
1400000US36091062409,42.83532982281762
1400000US36091062410,45.02834029655552
1400000US36091062501,59.17607412495176
1400000US36091062503,56.56025313962541
1400000US36091062505,36.63777957790191
1400000US36091062506,58.4072860959468
1400000US36091062507,57.82847664137505
1400000US36091062508,45.91511451894729
