cb_2020_3,impervious_mean,building_density,poi_total_all,poi_diversity,ntl_sum,road_density_local,ndvi_mean,slope_mean,dist_water_m
1400000US06099000201,35.57495667244368,3.906065,5.12671,1.357978,269.5677795410156,16923.586634168598,0.4239040238577323,0.8516370666043668,724.0805980793473
1400000US06099000202,44.95019958182855,3.632555,5.128314,1.581094,839.979248046875,8030.354444798379,0.3270156869894305,0.8377594429932658,866.1483889017113
1400000US06099000204,32.91117033089052,6.776969,8.533961,1.267789,309.85595703125,17208.34342396864,0.4164598808291701,1.8418023731664863,750.2321261758924
1400000US06099000205,28.45180007912436,7.333318,4.83999,0.962456,746.0558471679688,9784.40942972496,0.411036505320142,1.0597413887859592,1105.3124005268064
1400000US06099000301,49.03947368421053,0.0,10.071254,1.277034,125.90672302246094,30121.488203374523,0.3315824673454423,2.114834105610916,490.08099777518026
1400000US06099000302,53.17884615384615,0.0,5.913293,1.329661,162.98793029785156,29753.300017093017,0.3361861390644055,1.765810158117329,359.147291146388
1400000US06099000303,45.191466854724965,0.0,1.171088,0.636514,211.9215240478516,15510.28122111545,0.3053189912868348,0.2827630652737233,830.1913795324343
1400000US06099000304,38.58376511226252,0.0,1.150852,-0.0,153.55126953125,0.0,0.3472753844213747,0.271129478432118,883.4432246876173
1400000US06099000403,30.42702578268877,4.856964,1.278148,1.039721,301.0061950683594,0.0,0.413392342499454,0.1170786625780521,1209.5982002796957
1400000US06099000404,39.118900343642615,2.033817,0.762681,0.693147,705.1065063476562,5203.737455257248,0.3567478963426175,0.1148274875180074,1038.2588033943505
1400000US06099000405,7.872026741731175,0.351387,0.039043,-0.0,724.6199951171875,1443.7765783152229,0.4614839946711115,0.3755872421888735,1098.6118765726435
1400000US06099000406,56.374945438673066,0.0,0.0,0.0,160.68728637695312,0.0,0.315231996259791,0.2353268172326251,1297.047435719365
1400000US06099000407,8.811157000059856,0.133626,0.734944,0.610864,392.7107543945313,4458.330637612594,0.4451330762678989,0.6305594491985506,945.4846759682026
1400000US06099000501,13.356754221388368,0.422149,0.342996,1.294545,1833.715087890625,1020.7992912904556,0.4711850977539077,0.4498472666476233,1170.9378439532447
1400000US06099000503,57.16868381240545,9.660521,13.440725,0.879982,656.1185913085938,0.0,0.2608395500804889,0.0815789143389979,3987.461649460329
1400000US06099000505,28.47393846936181,2.264182,1.981159,0.636514,237.7433319091797,2938.64514619834,0.3878822932828349,0.13353607451256,2486.1123938426194
1400000US06099000506,46.3137707948244,5.647712,2.053713,1.351784,925.8034057617188,6970.140919806559,0.3015628947918093,0.1511577220475579,1248.497778795421
1400000US06099000511,41.97862298722932,0.0,1.234657,1.386294,359.7281494140625,0.0,0.3483905628575395,0.1311733040140276,2617.093810969772
1400000US06099000512,53.812842599843385,0.861387,0.0,0.0,137.4210968017578,0.0,0.3489907739823031,0.1994159519849325,3447.765464500844
1400000US06099000513,15.031681441650925,3.875332,0.161472,0.0,344.2955017089844,0.0,0.4772453859273762,0.10322039326086,3464.374684717902
1400000US06099000514,52.04861693210394,0.934053,0.0,0.0,97.48187255859376,0.0,0.2989896161920674,0.1378150878447545,2632.1971666219706
1400000US06099000601,12.02790604296326,0.0,0.335026,-0.0,365.3677673339844,0.0,0.4586657567621244,0.0897879520545432,3705.821638057148
1400000US06099000602,61.25,9.959206,0.766093,-0.0,859.3975830078125,0.0,0.2226636381374101,0.2437303583868869,4025.368130178741
1400000US06099000801,55.79498922413793,3.894405,4.493545,1.240684,464.5257263183594,6127.736775490342,0.3450143436500389,0.0939758303578072,2679.6037128530647
1400000US06099000803,58.67080745341615,5.389901,4.409919,0.673012,278.144775390625,0.0,0.2714350242797173,0.1377251397163054,4949.117966256087
1400000US06099000805,52.663808664259925,3.506459,2.003691,0.636514,178.30352783203125,0.0,0.3624437366115675,0.1039983065377238,3979.486880306517
1400000US06099000806,53.82826362484157,35.394221,9.202497,1.162226,213.08856201171875,0.0,0.3485357732307597,0.1061593857548268,3432.9610872769404
1400000US06099000807,56.64338983050848,6.081518,3.800949,0.950271,215.510498046875,0.0,0.3332920736177084,0.1408744121545783,4151.61891809865
1400000US06099000905,55.43172616856828,8.971528,1.22339,-0.0,298.7366943359375,0.0,0.3626545666871861,0.0945128293415815,2217.997235174869
1400000US06099000906,45.510893246187365,0.0,0.804815,-0.0,226.15283203125,0.0,0.4056830294778306,1.2382909134545197,2127.6236827157104
1400000US06099000907,54.24212962962963,0.515053,1.54516,-0.0,266.63397216796875,10531.295969937864,0.3587076981229682,0.0886023627365706,1968.3027091667743
1400000US06099000908,50.5647113594041,3.719783,2.125591,1.386294,314.26434326171875,0.0,0.3092434749567777,0.0832587214074212,653.3147125156437
1400000US06099000909,55.67467948717949,8.921005,1.189467,-0.0,207.6073608398437,12145.786181711708,0.3306895114512476,0.0751136819055627,2394.478093009704
1400000US06099000910,59.751312649164674,23.860489,7.423263,1.168282,277.49810791015625,0.0,0.3228140116115132,0.0766112229680665,1092.3186895866936
1400000US06099000911,55.77493261455525,27.708195,4.493221,0.500402,104.50504302978516,0.0,0.3083660803104845,0.0728491733148455,1308.813547790039
1400000US06099000913,53.73566769653279,45.050359,0.763565,0.0,204.9014587402344,0.0,0.3228318295760787,0.0831199108901875,1376.5374614706832
1400000US06099000914,57.3457249070632,7.223543,1.031935,-0.0,243.4492034912109,0.0,0.2772397581057447,0.0803927788415317,1036.2166333020136
1400000US06099000915,51.984266543267005,4.694948,2.086644,-0.0,195.5548858642578,0.0,0.3208422125244038,0.1413761399730953,680.28860730794
1400000US06099001001,54.59536973047685,5.378903,2.689452,0.950271,491.2918701171875,0.0,0.3403932357609247,0.5204599161115894,2074.538799568892
1400000US06099001002,48.47873799725652,20.489316,2.048932,0.693147,220.86831665039065,0.0,0.3887504808264888,0.4896802191894382,2237.650858606963
1400000US06099001100,58.79558011049724,12.210717,2.775163,0.636514,306.9771423339844,11417.58972606795,0.3042240098054957,0.0746827053935263,2845.804690101932
1400000US06099001200,50.69929660023447,0.651684,1.955051,0.0,307.02752685546875,14363.785126709914,0.4013898917851607,0.0603068665814723,2071.514311940128
