cb_2020_3,road_density_local,road_density_secondary,road_len_total_m
1400000US13045910301,1547.6775738236367,1813.08157133463,349664.9713040843
1400000US13045910302,1370.9726758232339,0.0,381907.1433658829
1400000US13045910400,717.9037535591655,0.0,299907.83117082296
1400000US13045910502,13882.423537308085,0.0,118995.8574761958
1400000US13045910503,4934.813862806359,0.0,178049.35719543428
1400000US13045910504,2831.091190371199,0.0,113411.98678983678
1400000US13045910600,3558.5753194143754,0.0,268217.2499470641
1400000US13045910704,1714.0411897290703,0.0,188214.4555469561
1400000US13045910705,4564.59673367517,0.0,244227.4817742422
1400000US13045910706,0.0,0.0,86320.59863865389
1400000US13045910707,1530.765252446784,0.0,278288.00028601085
1400000US13045910708,8937.953181218865,0.0,145943.3331571113
1400000US13045910709,3487.26769662283,0.0,208557.60833207777
1400000US13045910800,1144.646034944122,0.0,517628.335490489
1400000US13045910900,772.5192374240102,0.0,376325.53496743843
1400000US13045911001,2453.211356938404,0.0,179801.26802701014
1400000US13045911002,4860.858527505492,0.0,225818.591854645
1400000US13045911101,8902.399123749035,0.0,207281.37308703054
1400000US13045911102,2109.186109533753,0.0,206167.22709007523
1400000US13045911201,1167.4292111219984,0.0,214777.13464713586
1400000US13045911202,825.1752423980046,0.0,353603.5717364532
1400000US13057090101,604.5023489374076,1435.7855437367339,342525.3020477518
1400000US13057090102,703.275882093231,1037.7824569206186,318251.63784945244
1400000US13057090103,2025.658232759981,7370.654812463671,290691.9587072395
1400000US13057090201,2710.832194868629,0.0,191840.4591202489
1400000US13057090202,698.6057981363947,0.0,475111.77284204203
1400000US13057090301,2564.144781239497,0.0,102395.97982794562
1400000US13057090302,1334.3724681881881,0.0,174035.80481869227
1400000US13057090303,1821.9229171746574,0.0,198390.30538194164
1400000US13057090401,12335.293072567381,14449.700675676368,178504.34646755405
1400000US13057090402,1490.2634191918619,3693.807726660137,395771.3781310888
1400000US13057090503,2549.430081850902,0.0,253728.6307347933
1400000US13057090504,2546.8598623600587,0.0,155627.1585629056
1400000US13057090505,1652.618951569097,0.0,182357.7419730505
1400000US13057090506,1248.7880833031948,0.0,265182.29937817785
1400000US13057090507,4015.9853742442174,0.0,170355.2602502007
1400000US13057090603,3247.8641884733634,3199.595436620999,298582.1853884147
1400000US13057090604,3208.536409980727,11269.534171526795,272582.06267334253
1400000US13057090605,9742.308523521471,10769.020910229374,206521.29172661342
1400000US13057090606,4960.028375098883,9875.264928033668,320018.8518329294
1400000US13057090703,0.0,8693.491604348215,182336.8640319585
1400000US13057090704,0.0,0.0,88602.1461078965
1400000US13057090705,0.0,0.0,63446.15292560854
1400000US13057090706,0.0,0.0,69302.692499434
1400000US13057090707,0.0,65791.51295016862,180661.48109490494
1400000US13057090708,0.0,22692.8239337592,231683.2661379043
1400000US13057090709,0.0,20849.891791057147,118350.62252988746
1400000US13057090710,0.0,15628.731873080367,195467.91780953857
1400000US13057090805,1697.665116875306,0.0,187916.4572163485
1400000US13057090806,0.0,0.0,98876.79313747169
1400000US13057090807,3597.3325661661183,0.0,106234.32602315534
1400000US13057090808,2210.1808920336657,0.0,153831.41968346573
1400000US13057090809,1952.9627621091913,0.0,169948.45222014713
1400000US13057090810,1681.7585390700017,0.0,155875.39958011778
1400000US13057090905,11265.953556815259,0.0,96421.21818287252
1400000US13057090906,4749.467424366199,0.0,114255.097330066
1400000US13057090907,7394.32176734808,0.0,90360.97130954273
1400000US13057090908,11416.933302699148,0.0,88862.95393844126
1400000US13057090909,5362.552782856015,0.0,85516.94000706964
1400000US13057090910,5597.746598189478,0.0,117520.94058006404
1400000US13057090911,1195.3583158561603,0.0,95677.22189027241
1400000US13057090912,0.0,0.0,71615.88867394315
1400000US13057091001,5281.366491516071,18806.73610334196,313635.8374644746
1400000US13057091006,0.0,0.0,89279.39358113572
1400000US13057091007,0.0,0.0,70698.35220455393
1400000US13057091009,0.0,25845.853774377872,189005.0172450902
1400000US13057091010,0.0,0.0,31718.250437426752
1400000US13057091011,0.0,0.0,48197.393917656234
1400000US13057091012,9244.321135662183,34028.20684592416,240618.09321928176
1400000US13057091013,10672.003263863999,16176.279289246933,206930.36308127444
1400000US13057091014,4319.915440137858,0.0,65521.75408035335
1400000US13057091101,0.0,0.0,110600.04484862815
1400000US13057091104,1545.556071185189,11325.33966306767,296077.078360253
1400000US13057091105,3370.1149224379983,0.0,82831.71142582386
1400000US13057091106,3347.457194365066,0.0,68000.75015996912
1400000US13057091107,3885.671494372659,0.0,61721.56276454727
1400000US13057091108,3186.9603521514305,0.0,65977.76514472222
1400000US13063040202,5658.135160012291,10370.321591516307,231851.46160021238
1400000US13063040203,5274.898508475821,30059.036981071305,127289.09167935548
1400000US13063040204,9746.251025441808,13832.192627382015,101263.07048331005
1400000US13063040302,10181.605912161884,6669.009999712644,149542.28864225035
1400000US13063040306,9467.800148504879,15937.45925328205,154904.71753121758
1400000US13063040307,0.0,0.0,47667.81553692964
1400000US13063040308,12532.104770786927,7960.2534485597425,286434.80819636787
1400000US13063040309,26485.653305680135,0.0,99827.59340980419
