cb_2020_3,dist_water_m
1400000US13015961001,619.2627373275961
1400000US13015961002,719.2336685991006
1400000US13035150101,392.3828374616343
1400000US13035150102,628.7714235162492
1400000US13035150201,604.4668252488956
1400000US13035150202,379.06712064603755
1400000US13035150300,458.3364125024856
1400000US13045910101,1044.9355270495598
1400000US13045910103,456.8341038178892
1400000US13045910105,506.2753245315663
1400000US13045910106,474.5738919314666
1400000US13045910201,616.5825522506042
1400000US13045910202,544.531275277967
1400000US13045910203,494.2175631656637
1400000US13045910301,455.81021937815603
1400000US13045910302,565.9937501734299
1400000US13045910400,577.1904157110332
1400000US13045910502,551.627139152643
1400000US13045910503,464.75823313811543
1400000US13045910504,458.57847280617034
1400000US13045910600,575.1814373645564
1400000US13045910704,527.4950795040916
1400000US13045910705,596.6306421697768
1400000US13045910706,423.10355790213237
1400000US13045910707,522.8065189742127
1400000US13045910708,437.262200506476
1400000US13045910709,478.902855615037
1400000US13045910800,761.1227879426199
1400000US13045910900,559.6927166691918
1400000US13045911001,529.8888546958514
1400000US13045911002,584.4031615858794
1400000US13045911101,511.7923970566439
1400000US13045911102,350.7813772576367
1400000US13045911201,460.70055847713047
1400000US13045911202,531.2141519765146
1400000US13057090101,1065.7863690147065
1400000US13057090102,752.1805022588236
1400000US13057090103,742.4974900710723
1400000US13057090201,790.8575855623457
1400000US13057090202,1161.0808609319831
1400000US13057090301,470.54623505683537
1400000US13057090302,658.3754962197532
1400000US13057090303,1096.7267726925447
1400000US13057090401,595.3844280780911
1400000US13057090402,668.3117260437973
1400000US13057090503,479.5219434874421
1400000US13057090504,704.1634032587829
1400000US13057090505,390.9777737900196
1400000US13057090506,720.2004876057204
1400000US13057090507,465.56133391886345
1400000US13057090603,735.9304009693092
1400000US13057090604,857.2613079278963
1400000US13057090605,504.3809156938646
1400000US13057090606,484.91826169430186
1400000US13057090703,643.4596442773466
1400000US13057090704,803.473631503132
1400000US13057090705,515.6911164503382
1400000US13057090706,314.45060234403724
1400000US13057090707,433.0836018981669
1400000US13057090708,764.6525399118924
1400000US13057090709,880.0533978247688
1400000US13057090710,521.8437464946406
1400000US13057090805,489.112744831173
1400000US13057090806,766.2329528131064
1400000US13057090807,367.66159988884203
1400000US13057090808,480.7291474657127
1400000US13057090809,373.53930551460724
1400000US13057090810,436.85582556163365
1400000US13057090905,480.8398381948189
1400000US13057090906,351.88989388255726
1400000US13057090907,602.3682183967205
1400000US13057090908,666.9142020799189
1400000US13057090909,597.438855460826
1400000US13057090910,481.76958106972967
1400000US13057090911,451.31058016578277
1400000US13057090912,467.03640469620115
1400000US13057091001,889.2250980708226
1400000US13057091006,881.2787815411926
1400000US13057091007,460.3975444406195
1400000US13057091009,1082.7758945682658
1400000US13057091010,781.3903902872146
1400000US13057091011,990.9567831735718
1400000US13057091012,933.6896817512189
1400000US13057091013,481.99916953478055
1400000US13057091014,691.222732169101
1400000US13057091101,323.88997097035104
1400000US13057091104,447.88792930925115
1400000US13057091105,518.4389906635771
1400000US13057091106,581.9624803635693
1400000US13057091107,531.3531201612716
1400000US13057091108,462.5010904626731
1400000US13063040202,475.5487399497196
1400000US13063040203,1497.345697265808
1400000US13063040204,737.2211746697133
1400000US13063040302,661.256109686487
1400000US13063040306,995.5911509507904
1400000US13063040307,516.3799417124311
1400000US13063040308,704.7600057714462
1400000US13063040309,454.42241717480636
1400000US13063040310,1140.5174945459553
1400000US13063040407,670.0634133232041
1400000US13063040409,860.4878070180936
1400000US13063040410,654.3403493211846
1400000US13063040414,794.3065166722533
1400000US13063040416,523.3626447046669
1400000US13063040417,586.9103300983246
1400000US13063040418,565.7921148575142
1400000US13063040419,358.7240278081585
1400000US13063040420,856.904703974068
1400000US13063040421,714.3890139464884
1400000US13063040422,655.550944281059
1400000US13063040423,623.9490405300985
1400000US13063040424,414.7536775384791
1400000US13063040425,597.3288472675998
1400000US13063040426,424.17337082777306
1400000US13063040427,969.3333040811555
1400000US13063040509,941.2819384629026
1400000US13063040510,687.4047417851103
1400000US13063040512,774.224529278328
1400000US13063040513,556.7159440010195
1400000US13063040518,596.3497998664304
1400000US13063040519,500.5364592530961
1400000US13063040521,889.7434872613259
1400000US13063040522,825.8130720370148
1400000US13063040523,1303.9208704609784
1400000US13063040525,717.660575006495
1400000US13063040527,317.8585420752202
1400000US13063040528,423.3775107307945
1400000US13063040529,537.3073422357154
1400000US13063040530,680.6078830285086
1400000US13063040531,348.7543256278846
1400000US13063040532,638.7561320228142
1400000US13063040533,765.6067526116861
1400000US13063040534,934.6747797706837
1400000US13063040535,1016.3687636385212
1400000US13063040536,997.3392417748041
1400000US13063040537,639.7197854544451
1400000US13063040538,839.6819843554507
1400000US13063040606,410.753619851042
1400000US13063040609,529.716302234155
1400000US13063040614,352.3172320183906
1400000US13063040615,469.1678743360111
1400000US13063040617,891.7634533664308
1400000US13063040623,787.1358380052316
1400000US13063040624,516.2105255158488
1400000US13063040625,1118.855699007117
1400000US13063040626,1215.2341373868885
1400000US13063040627,660.801097906663
1400000US13063040628,643.0449441882492
1400000US13063040629,831.4922670439906
1400000US13063040630,626.2878421888993
1400000US13063040631,521.335449491883
1400000US13063040632,752.3200462150846
1400000US13063040633,473.38536643711103
1400000US13063040634,1330.451996547312
1400000US13063040635,626.140292916745
1400000US13063040636,381.98128919067454
1400000US13063040637,424.41926848099365
1400000US13063040638,272.4342175504087
1400000US13063040639,737.5402868686482
1400000US13063980000,399.2757725314137
1400000US13067030104,963.8715975170959
1400000US13067030107,840.3449008174848
1400000US13067030108,538.8494895381172
1400000US13067030109,377.6026680642445
1400000US13067030110,814.9150639732196
1400000US13067030111,453.3193690199767
1400000US13067030112,1023.5533490275303
1400000US13067030113,463.42746238704717
1400000US13067030220,1020.9167905353579
1400000US13067030233,507.0383342117028
1400000US13067030235,450.4826370863209
1400000US13067030236,376.9303541236047
1400000US13067030240,1066.9889187231042
1400000US13067030241,427.55124917255637
1400000US13067030242,664.8029043735049
1400000US13067030243,725.2769639049409
1400000US13067030244,478.95580015326846
1400000US13067030245,536.041861489309
1400000US13067030246,917.0509902283607
1400000US13067030247,899.4454887604085
1400000US13067030248,432.12550168535296
1400000US13067030249,355.50462796515114
1400000US13067030250,456.3203189498759
1400000US13067030251,424.6878438638973
1400000US13067030252,394.02943194803527
1400000US13067030253,797.8002464150221
1400000US13067030254,450.69934380819376
1400000US13067030255,534.5700136147672
1400000US13067030256,412.2038061865208
1400000US13067030257,422.37700883379756
1400000US13067030258,654.5549644661909
1400000US13067030259,639.5029452412884
1400000US13067030260,637.2762538894501
1400000US13067030261,701.5072661253326
1400000US13067030262,308.69473345021817
1400000US13067030263,406.79408121458545
1400000US13067030264,330.70747146369746
1400000US13067030265,603.9043100851878
