cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,fam_inc_10to15k,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US40027200500,0.0518309024465864,-0.2898415054145909,0.1197076989669189,0.0465937022017338,0.1022383481922211,-0.0226990133566568,-0.0444127176140817,-0.0825836080460415,0.0129365380334804,-0.124195447567522,0.0398046044384456,-0.0950472743273958,-0.1929708862909744,-0.3019353240320966,-0.1575763536987479,0.0045116645055072,-0.0660239018034846,0.1268612118737827,-0.092459939658308,-0.0055513835504,-0.1020941940706481,0.0717099087776651,-0.0753013849429761,0.0132916184997664,0.0269643657002556,0.2526797013542665,-0.0613222424052176,-1.63939058636086e-05,0.0329225622013815,0.0972810629947197,-0.0160148863970033,-0.0777030473889742,-0.0401209614814352,-0.0348031034980264,0.1205070836896352,-0.1496223789001748,-0.1731656222413061,-0.1979502525189114,0.0114499226957538,-0.0338019928237093,-0.095968535794622,-0.1292028274232861,0.1347588396764758,-0.0276074521022898,0.1577723878809732,0.1298005961872538,0.0366665185222062,-0.0531052067847501,0.1047137323639131,-0.121526824583605,-0.0496734139923761,0.0635098605896291,-0.24608794089696,0.1850575598499033,0.0893331009608355,-0.13770642852774,0.0545487587943338,0.0632425993650503,0.0383887544399216,0.1524741480467258,0.0065653008515764,-0.0271897279891249,-0.1123261186388078,0.0780094898858005,0,3636,1.987277,1829.639250089444,7.5124205018272585
1400000US40051000502,-0.0053542366621399,-0.162953713954836,0.1150679222153138,-0.0467443383459355,0.0799558465104195,0.0056804087538461,-0.0216580160328138,-0.0607990187123112,0.005079333722406,-0.1425171493817542,-0.1464907071198758,-0.1807801915312775,-0.1765014135032762,-0.2711322801252205,-0.1723183347242957,-0.0206436025734123,-0.1331733600704548,0.0899439775320063,-0.0971639215775862,-0.0350629372356314,-0.1817871484790469,-0.0302542217850422,-0.0035297695097367,0.0925471414620583,0.1001744835470865,0.0890492090846875,-0.1472247151616741,-0.1423531630585174,0.0922646366705663,0.1166444537180094,0.0023329772727074,0.0065818511602284,0.1148029250306047,-0.088892741454595,-0.0684096252818936,-0.038991363598557,-0.1260859784891524,-0.1410806141596215,0.0314106978111053,0.0741966315557504,0.005918829239749,-0.1644829612810613,0.0275739637508809,-0.0707962262564612,0.1550580402621828,0.0735158304249666,0.1156168586405072,-0.0473660243006103,0.0221627055752365,-0.1731882693430314,0.0005604057684780263,0.1112870721737677,-0.1876223912619681,0.0772678818401259,-0.0314836055482938,-0.0373966971965037,-0.0531891043469826,0.0590028501285556,0.0352483388375026,0.2298795833513061,-0.090541401813158,-0.0149591159871944,0.0034829887131491,0.1410494731284088,0,3684,19.457744,189.3333574539782,5.248777047716325
1400000US40051000702,0.0005131065637474168,-0.0940245013913521,0.0892834890102896,-0.0515280001875605,0.073273843143562,-0.0155699588376987,0.0058439228282523,-0.0067309462082646,0.0495280989209027,-0.118041175369827,-0.1438860850926614,-0.1588367535894475,-0.1595900798917656,-0.2627441357364449,-0.1409043500714908,-0.0105428575963629,-0.1775870840367704,0.0520303878972109,-0.1445726470350844,-0.0572660437227872,-0.1729777556564346,-0.0257300817750267,0.0284643845964579,0.1160743601234648,0.1380264255543363,0.0439389090680625,-0.181672520816137,-0.1153058172794917,0.1072411322938596,0.109539713752622,-0.0103257982352776,0.0334149098972493,0.1464087707364675,-0.0966357794046245,-0.072066542035206,-0.0686796159757459,-0.1046711105564185,-0.1344552782924745,0.0538077321165685,0.039574628405985,0.0434652813174082,-0.1464925772130351,0.0719981279456835,-0.1067314532204642,0.1372957320412212,0.0564206927003024,0.1426800460310978,-0.092043105390012,0.024032035842075,-0.162369095546614,-0.0158041217722402,0.1063175424953837,-0.1406717619895911,0.0703214619008693,-0.0799187613102795,0.0097011974797752,-0.0313361024122446,0.0285468242687789,0.022087338781481,0.2031419955100566,-0.1153358829083265,-0.0159413934989027,0.0385841998633327,0.1629312887842482,22,3702,576.84038,6.417719924530942,2.0038717221576547
1400000US40051000904,-0.018808235398007,-0.1366244920287258,0.1239758897963981,-0.0170051373414675,0.0738225906895234,-0.0188531060951182,-0.0405740520214237,-0.025969921549005,0.0414413627562564,-0.1502367437746359,-0.1461028988348021,-0.1852649447526277,-0.1869420247452015,-0.2782048108897321,-0.1569532870791298,0.0347777525015566,-0.1165518385009043,0.0698518231382779,-0.1106413131868476,-0.0139953218729463,-0.1658091408858615,-0.0066949529560652,0.0357440365825282,0.1223898771734236,0.1275365950707764,0.1115977126936286,-0.1988702357201509,-0.1563195129716689,0.099780252347171,0.1418516913249167,-0.0240218428734428,0.047971704561403,0.0917581863381184,-0.0748019297983647,-0.0249292559147282,-0.0597907700559282,-0.1612243813125364,-0.1382975593967345,-0.0038656629270122,0.0107186258141551,0.0212736718272754,-0.1655147532833301,0.0449806955831619,-0.0669667047807978,0.1300635051259424,0.1043455594745738,0.146146678502023,-0.0619401696242972,0.0269371196844413,-0.176021760226066,-0.0144544460544731,0.1149237566720634,-0.1841788718273272,0.1294873043302296,-0.0541481390972098,-0.0582468625360542,-0.0182222092685564,0.062267663035798,0.0199174151481004,0.2481516833526763,-0.0907166373227107,-0.0216015728565124,-8.36441052954412e-05,0.1291216808496543,14,3613,23.601597,153.08286129959765,5.03749051809804
1400000US40051000906,-0.0085352052729383,-0.1115586453937754,0.1121417736349496,-0.0572073548853679,0.0843859088377872,-0.0150213242177606,-0.0424628895047203,-0.0414106099966043,0.0607398220680744,-0.1411940239109268,-0.150162849868685,-0.1707546679536186,-0.1858926178044213,-0.2939799672826728,-0.1560662962202147,0.0054789086545183,-0.119967365453903,0.068656153273726,-0.1359764740211727,-0.0381954257016912,-0.1648222567367269,-0.0065978825895845,0.0141774022894149,0.1243607070736023,0.1153064266739199,0.0921160015910815,-0.2039185585337831,-0.138102118611562,0.1040295367139933,0.144986965341675,-0.0107634772449275,0.0543453430353333,0.116836915433071,-0.0896715660864353,-0.047820113990839,-0.0644744403116068,-0.1428670605606145,-0.1281310385944553,0.0286648683833238,0.0179377361229907,0.0227278818450259,-0.1652033542196367,0.0696473340431264,-0.0771186356539934,0.1415443198338589,0.0829240785620267,0.1554823589586655,-0.0762942804486421,0.0288273085804348,-0.1940625867522631,-0.0073830327853134,0.1054293965886402,-0.1612977848156922,0.1089733068912101,-0.0637918488455747,-0.0336513773166946,-0.0328889223438839,0.0487677573824843,0.0229814068395986,0.2422214079608616,-0.1000440589649659,-0.0220160089664679,-0.0049509653135863,0.1342478375308099,27,3098,31.856183,97.24956690511226,4.587510842649195
1400000US40081961401,-0.0276524512382409,-0.0528827578100716,0.0450610829142873,-0.0351170287959289,0.0816547571864525,-0.0424667720764519,-0.0297026261544052,0.0108155232983994,0.1022512208240489,-0.0551251835452891,-0.1150929948068565,-0.1374549000429505,-0.1293905243158152,-0.2525044243774531,-0.1630104251303607,0.059488002806443,-0.1433305974021378,0.0483555993780587,-0.1999005373863701,-0.0308688494655207,-0.1366962305432244,-0.00028338267570518635,0.0210793668024674,0.1529029090291027,0.1474499586476966,0.0510764367012449,-0.2566497258526459,-0.1352158197491668,0.1314308207791311,0.13276286976141,-0.0602137570427999,0.0674829249605046,0.0996810732746442,-0.1404290406092939,-0.0455381646625083,-0.0914317052844139,-0.1527523866306558,-0.1898124583611924,0.0454170685050501,-0.0388470086154807,0.0559712701256646,-0.0919132784418728,0.139608280690963,-0.0963521870129518,0.1047136895720872,0.0635950900258394,0.1259615273036281,-0.1272541197047172,0.0476323972969822,-0.1564131728880308,-0.0763271487521139,0.0993554152083697,-0.1208287424119266,0.1371869304741136,-0.0812181363163893,0.0326890906704331,0.0069495891474007,0.062875696406862,0.0118682520273859,0.207883600486688,-0.1194698172184241,-0.0375834882430363,-0.0392930310765189,0.122318625727935,18,2939,174.196678,16.8717339144665,2.883220353813287
1400000US40081961402,-0.0253179398603374,-0.0530512880738464,0.0416083442009853,-0.0338250451359848,0.0810352031741681,-0.0482838845830022,-0.0259955043685834,0.0201780852350547,0.1043040665441504,-0.0653922199677294,-0.1135123898628774,-0.1267018671123093,-0.1403839230246738,-0.263429167061591,-0.1510565076067954,0.0606473021247402,-0.1481921735683216,0.0479983879103487,-0.1934339424622792,-0.0372910922352671,-0.132940122938252,0.0130561912772465,0.018765871092215,0.1449016168359887,0.1419503255642074,0.0628534872846368,-0.2568434989627933,-0.1116843411482537,0.1238627765783098,0.1251654269755977,-0.0578536972390448,0.0620291301605039,0.1021877608273987,-0.1294332007606484,-0.0327505075927692,-0.1046430675254094,-0.1550324813016574,-0.1927347198133084,0.0451531566047116,-0.0469203392253087,0.0435200823788272,-0.0940285445931872,0.1437299680652306,-0.0986887330586352,0.1041224832926019,0.0674317950737769,0.1280714865992948,-0.1315858497233729,0.0526678853743535,-0.1514582308856596,-0.0688182947368848,0.0983259007725579,-0.129553321522535,0.1371477041291058,-0.0858258757820487,0.0248454188715469,0.0033315146638415,0.0603880614796961,0.0195058817118849,0.1985049417675534,-0.1063162757465056,-0.0438647205253229,-0.0397592257160779,0.114984175483833,35,5536,205.855735,26.892619727111317,3.3283621279241817
1400000US40081961500,-0.0390138157744154,-0.0571566223774013,0.0368878835240785,-0.0396288212309376,0.0813292327461755,-0.0326027791476487,-0.0372696792205508,0.0057351877010369,0.1062530011749929,-0.0536343484658737,-0.1238970113883769,-0.1458905869525239,-0.1248586092260557,-0.2429789570209084,-0.1603415863104524,0.0620498400414048,-0.1376726177090716,0.0575781575468589,-0.1993417693445115,-0.0210806191628887,-0.1506862255065993,0.0010771823607882,0.0130786304615077,0.1604912632435798,0.1381240724384207,0.0505801203176382,-0.2392351710398713,-0.1584803983472391,0.1278949172610784,0.1283896556194127,-0.072760093526337,0.057756249148189,0.0893450501368321,-0.1551434664595811,-0.0605087091402758,-0.0884423673169739,-0.1522047920495967,-0.1857209029542776,0.0491366604168807,-0.0353732735564135,0.0668426126014572,-0.0900174950711288,0.1383532529916264,-0.0993409813376324,0.1042094929158959,0.0575332022025357,0.1174147327861844,-0.1245252604333395,0.0382903060181809,-0.156226433871906,-0.080832739712258,0.1011698093287206,-0.1155396716438631,0.1341126146938449,-0.0722550072629139,0.0444838838355642,-0.0162340800479216,0.0708841966726034,0.0134507563167774,0.2062990707380899,-0.1299686840782436,-0.0258578708867517,-0.037556351275495,0.1233744559748342,29,3991,354.456876,11.259479700430468,2.5062994908171774
1400000US40081961700,-0.0210286741457666,-0.0687283102800411,0.0477446522675695,-0.0392184906990894,0.0820897449621429,-0.0337590501304904,-0.0418751568991616,0.0133568190717989,0.0760967922808503,-0.072101403009095,-0.1137005896688623,-0.1397392267029369,-0.1309771228224089,-0.2575833409582843,-0.1602683157512015,0.0590692493549627,-0.1433919453345486,0.0526978170047031,-0.1798157703248741,-0.0287477721389003,-0.1520624817442885,-0.0149537611300463,0.0230963252090258,0.1486611907913107,0.1455185272961779,0.0517420419274227,-0.2322507556898173,-0.1403025753222468,0.1225872319785948,0.1174926900633651,-0.0618437754194948,0.0518489148214881,0.1112754891972346,-0.1250405948817262,-0.0486615989078455,-0.0815125021306581,-0.1440768892821897,-0.1863201023968912,0.0473306213286463,-0.0183847447038161,0.0427606419817977,-0.0974981309017097,0.1237780406662047,-0.0798761838570888,0.1021601195760519,0.078637432403837,0.121972650244755,-0.11056737288036,0.0460067398111042,-0.1746413012507345,-0.0653037552740705,0.1069163310885637,-0.1225533280399453,0.1387841523679433,-0.0777694962891661,0.0192446783462969,0.0035517270251117,0.0730494063984997,0.0184499041169175,0.2094386369093761,-0.1154419024735609,-0.0340318514122935,-0.0286781393436709,0.1270938906660531,10,5551,171.770189,32.31643413980292,3.506050792958384
1400000US40083600101,-0.0104598977173107,-0.176949849352492,0.1270376511976493,-0.0412139743410048,0.1069117324027105,-0.010745993105693,-0.0299767369143227,-0.0485214598712254,0.0058958818514644,-0.159738451777309,-0.0999844452620163,-0.1580968214816981,-0.1752325838005338,-0.2658305186396063,-0.1787938915666605,0.016576439021749,-0.1162722473796336,0.0828827868914775,-0.1071889946635395,-0.0023267772037111,-0.148879255281811,-0.0213970688329527,0.0158920179808665,0.0952357916291986,0.1116348016778112,0.1367969305483088,-0.1688964289530075,-0.0930777241778547,0.1020722854164937,0.0914739865893318,-0.0199429012573325,0.0004640570492298393,0.0788233002310795,-0.0471199016296638,-0.0114185601617416,-0.0743040696904482,-0.1501966649550947,-0.1477622160535012,0.0318828119657242,0.0312547690154468,-0.0325058817385484,-0.1482413941333767,0.0713057730229088,-0.0575278520443033,0.1360020940558436,0.0665989431869817,0.1028867542112584,-0.0369997344048289,0.0435406075348016,-0.1792765566171753,-0.0249697805679846,0.0987842978053721,-0.1837919583154257,0.115005675387162,0.0022092488307189,-0.0453921735969661,-0.0210104749534773,0.0641127047850265,0.0192180047918939,0.2502360685720317,-0.07026179706395,-0.0436651990093832,-0.0328436349648265,0.1270728455190152,0,1917,5.663671,338.4730504296595,5.827394563670245
