rank,cbsa_code,cbsa_title,population_2020,n_tracts,n_counties,n_missing_counties,missing_fips
328,17420,"Cleveland, TN",123731,31,2,0,
329,41900,"San Germán, PR",123319,34,4,0,
330,44420,"Staunton, VA",122714,30,3,0,
331,11020,"Altoona, PA",122495,38,1,0,
332,41660,"San Angelo, TX",121472,29,3,0,
333,29940,"Lawrence, KS",121304,27,1,0,
334,31900,"Mansfield, OH",121043,30,1,0,
335,48300,"Wenatchee, WA",119173,32,2,0,
336,33540,"Missoula, MT",119062,29,1,0,
337,36980,"Owensboro, KY",118951,30,3,0,
338,15260,"Brunswick, GA",118149,39,3,0,
339,13220,"Beckley, WV",117539,30,2,0,
340,48260,"Weirton-Steubenville, WV-OH",117223,38,3,0,
341,43100,"Sheboygan, WI",115152,29,1,0,
342,34620,"Muncie, IN",114461,34,1,0,
343,11500,"Anniston-Oxford, AL",114324,38,1,0,
344,48700,"Williamsport, PA",114014,32,1,0,
345,15680,"California-Lexington Park, MD",113182,23,1,0,
346,48060,"Watertown-Fort Drum, NY",111454,36,1,0,
347,46300,"Twin Falls, ID",110272,23,2,0,
348,33140,"Michigan City-La Porte, IN",110026,31,1,0,
349,28100,"Kankakee, IL",109924,30,1,0,
350,31020,"Longview, WA",108399,30,1,0,
351,30340,"Lewiston-Auburn, ME",107958,32,1,0,
352,19500,"Decatur, IL",104688,37,1,0,
353,42700,"Sebring-Avon Park, FL",104574,35,1,0,
354,13020,"Bay City, MI",103506,28,1,0,
355,30620,"Lima, OH",102808,35,1,0,
356,23460,"Gadsden, AL",102721,33,1,0,
357,22540,"Fond du Lac, WI",102654,23,1,0,
358,23900,"Gettysburg, PA",102627,27,1,0,
359,27060,"Ithaca, NY",102237,26,1,0,
360,24220,"Grand Forks, ND-MN",101627,32,2,0,
361,31860,"Mankato, MN",101544,23,2,0,
362,47020,"Victoria, TX",99622,27,2,0,
363,16940,"Cheyenne, WY",99272,27,1,0,
364,26300,"Hot Springs, AR",99043,30,1,0,
365,21820,"Fairbanks, AK",98455,22,1,0,
366,19060,"Cumberland, MD-WV",98049,29,2,0,
367,40660,"Rome, GA",97805,26,1,0,
368,32420,"Mayagüez, PR",97198,34,3,0,
369,20220,"Dubuque, IA",97193,27,1,0,
370,16020,"Cape Girardeau, MO-IL",97026,26,3,0,
371,38540,"Pocatello, ID",94377,26,2,0,
372,36140,"Ocean City, NJ",92701,33,1,0,
373,18700,"Corvallis, OR",92168,22,1,0,
374,37620,"Parkersburg-Vienna, WV",90151,30,2,0,
375,38220,"Pine Bluff, AR",89464,30,3,0,
376,49500,"Yauco, PR",88203,32,4,0,
377,24420,"Grants Pass, OR",87097,22,1,0,
378,21300,"Elmira, NY",84115,25,1,0,
379,14100,"Bloomsburg-Berwick, PA",83568,20,2,0,
380,33220,"Midland, MI",83445,21,1,0,
381,18020,"Columbus, IN",83280,16,1,0,
382,29020,"Kokomo, IN",82486,21,1,0,
383,24500,"Great Falls, MT",81576,25,1,0,
384,25980,"Hinesville, GA",81275,23,2,0,
385,16220,"Casper, WY",80067,20,1,0,
386,19180,"Danville, IL",76704,24,1,0,
387,24260,"Grand Island, NE",75592,19,3,0,
388,25020,"Guayama, PR",74291,20,3,0,
389,30300,"Lewiston, ID-WA",63104,16,2,0,
390,21420,"Enid, OK",61555,17,1,0,
391,47460,"Walla Walla, WA",60785,14,1,0,
392,16180,"Carson City, NV",55244,15,1,0,
