cb_2020_3,cbsa_code,cbsa_title,group,county_fips,tract_name,population
1400000US36001014502,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 145.02, Albany County, New York",3424
1400000US36001014503,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 145.03, Albany County, New York",2789
1400000US36001014606,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.06, Albany County, New York",3659
1400000US36001014608,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.08, Albany County, New York",4191
1400000US36001014609,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.09, Albany County, New York",4598
1400000US36001014611,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.11, Albany County, New York",2278
1400000US36001014612,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.12, Albany County, New York",1754
1400000US36001014613,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.13, Albany County, New York",2860
1400000US36001014614,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.14, Albany County, New York",5329
1400000US36001014615,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.15, Albany County, New York",2909
1400000US36001014616,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.16, Albany County, New York",5773
1400000US36001014617,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 146.17, Albany County, New York",2383
1400000US36001014700,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 147, Albany County, New York",2738
1400000US36001014801,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 148.01, Albany County, New York",2783
1400000US36001014802,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 148.02, Albany County, New York",1771
1400000US36001014803,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 148.03, Albany County, New York",3313
1400000US36083040100,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 401, Rensselaer County, New York",4209
1400000US36083040200,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 402, Rensselaer County, New York",3871
1400000US36083040300,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 403, Rensselaer County, New York",2916
1400000US36083040400,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 404, Rensselaer County, New York",2507
1400000US36083040500,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 405, Rensselaer County, New York",1864
1400000US36083040600,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 406, Rensselaer County, New York",2215
1400000US36083040701,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 407.01, Rensselaer County, New York",4021
1400000US36083040702,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 407.02, Rensselaer County, New York",1646
1400000US36083040800,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 408, Rensselaer County, New York",1581
1400000US36083040900,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 409, Rensselaer County, New York",3170
1400000US36083041000,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 410, Rensselaer County, New York",4393
1400000US36083041101,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 411.01, Rensselaer County, New York",2671
1400000US36083041102,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 411.02, Rensselaer County, New York",2245
1400000US36083041200,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 412, Rensselaer County, New York",3148
1400000US36083041300,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 413, Rensselaer County, New York",4907
1400000US36083041400,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 414, Rensselaer County, New York",3889
1400000US36083051500,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 515, Rensselaer County, New York",2538
1400000US36083051601,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 516.01, Rensselaer County, New York",2946
1400000US36083051602,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 516.02, Rensselaer County, New York",3739
1400000US36083051701,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 517.01, Rensselaer County, New York",3396
1400000US36083051702,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 517.02, Rensselaer County, New York",3361
1400000US36083051800,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 518, Rensselaer County, New York",5608
1400000US36083051901,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 519.01, Rensselaer County, New York",4532
1400000US36083051902,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 519.02, Rensselaer County, New York",2996
1400000US36083052002,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 520.02, Rensselaer County, New York",2031
1400000US36083052003,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 520.03, Rensselaer County, New York",4176
1400000US36083052004,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 520.04, Rensselaer County, New York",6734
1400000US36083052101,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 521.01, Rensselaer County, New York",2277
1400000US36083052102,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 521.02, Rensselaer County, New York",1386
1400000US36083052103,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 521.03, Rensselaer County, New York",1781
1400000US36083052201,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 522.01, Rensselaer County, New York",4491
1400000US36083052203,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 522.03, Rensselaer County, New York",5969
1400000US36083052204,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 522.04, Rensselaer County, New York",2486
1400000US36083052301,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 523.01, Rensselaer County, New York",4656
1400000US36083052303,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 523.03, Rensselaer County, New York",1178
1400000US36083052305,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 523.05, Rensselaer County, New York",2524
1400000US36083052306,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 523.06, Rensselaer County, New York",3874
1400000US36083052402,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 524.02, Rensselaer County, New York",2454
1400000US36083052405,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 524.05, Rensselaer County, New York",2620
1400000US36083052406,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 524.06, Rensselaer County, New York",4023
1400000US36083052407,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 524.07, Rensselaer County, New York",4725
1400000US36083052408,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 524.08, Rensselaer County, New York",2463
1400000US36083052501,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 525.01, Rensselaer County, New York",6257
1400000US36083052502,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 525.02, Rensselaer County, New York",5342
1400000US36083052503,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 525.03, Rensselaer County, New York",1483
1400000US36083052601,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 526.01, Rensselaer County, New York",3710
1400000US36083052602,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 526.02, Rensselaer County, New York",1125
1400000US36083052603,10580,"Albany-Schenectady-Troy, NY",medium,36083,"Census Tract 526.03, Rensselaer County, New York",2879
1400000US36091060102,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 601.02, Saratoga County, New York",5996
1400000US36091060103,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 601.03, Saratoga County, New York",1536
1400000US36091060104,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 601.04, Saratoga County, New York",4336
1400000US36091060200,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 602, Saratoga County, New York",3612
1400000US36091060301,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 603.01, Saratoga County, New York",3194
1400000US36091060400,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 604, Saratoga County, New York",2627
1400000US36091060501,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 605.01, Saratoga County, New York",2017
1400000US36091060504,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 605.04, Saratoga County, New York",996
1400000US36091060505,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 605.05, Saratoga County, New York",1062
1400000US36091060506,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 605.06, Saratoga County, New York",1669
1400000US36091060507,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 605.07, Saratoga County, New York",379
1400000US36091060601,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 606.01, Saratoga County, New York",2842
1400000US36091060602,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 606.02, Saratoga County, New York",4907
1400000US36091060703,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 607.03, Saratoga County, New York",3199
1400000US36091060704,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 607.04, Saratoga County, New York",4381
1400000US36091060705,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 607.05, Saratoga County, New York",4387
1400000US36091060706,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 607.06, Saratoga County, New York",4953
1400000US36091060800,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 608, Saratoga County, New York",5099
1400000US36091060901,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 609.01, Saratoga County, New York",3831
