cb_2020_3,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean
1400000US36001014617,0.045454545454545456,38.3051948051948,0.045454545454545456,51.41558441558441,0.0,2.8051948051948052,1.025974025974026,3.11038961038961,3.207792207792208,0.03896103896103896,10.078475050916497
1400000US36001014700,0.45948520794867254,8.952795271939365,0.11550362108067548,47.744307020428124,0.0,0.024449671615617438,0.19896974142364537,35.33820640581396,6.707640943925942,0.4586421158239961,1.5781572512123347
1400000US36001014801,0.9688667228015633,7.275406438240818,0.12198544810760627,66.11071528812316,0.0,0.2634022065332383,0.1986311721398191,19.252110456203987,5.346309130556815,0.46257313729300253,1.2208986471977668
1400000US36001014802,0.6978715759096753,7.802350193416539,0.03312503859909159,67.4420171464183,0.0,0.10218232245821472,0.3952546978603471,21.060225811703805,2.2603628033888596,0.20661041024518145,1.0758446837418731
1400000US36001014803,1.1403884095176973,8.434952102498276,0.0992417219330148,58.49259549787254,0.0,0.04635242102260572,0.1420285721077278,22.686538781525588,8.111673678956,0.8462288145665454,1.4263472911669002
1400000US36083040100,11.826484018264841,84.29223744292239,0.0,3.881278538812785,0.0,0.0,0.0,0.0,0.0,0.0,39.7675799086758
1400000US36083040200,10.369410239792613,89.24173687621516,0.0,0.38885288399222295,0.0,0.0,0.0,0.0,0.0,0.0,52.832793259883346
1400000US36083040300,22.26099092812282,76.34333565945569,0.0,1.3956734124214933,0.0,0.0,0.0,0.0,0.0,0.0,43.12630844382414
1400000US36083040400,20.487364620938628,76.62454873646209,0.0,0.0,0.0,0.0,0.0,0.0,1.1732851985559567,1.7148014440433215,53.361913357400724
1400000US36083040500,0.0,91.84782608695652,0.0,8.152173913043478,0.0,0.0,0.0,0.0,0.0,0.0,43.17282608695652
1400000US36083040600,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.67835550181378
1400000US36083040701,12.282157676348547,87.71784232365145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.36846473029046
1400000US36083040702,0.0,88.80753138075313,0.0,11.192468619246862,0.0,0.0,0.0,0.0,0.0,0.0,30.622384937238493
1400000US36083040800,10.406091370558377,89.59390862944161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16497461928934
1400000US36083040900,6.700593723494487,80.83121289228158,0.0,12.46819338422392,0.0,0.0,0.0,0.0,0.0,0.0,51.72349448685326
1400000US36083041000,10.01908396946565,70.19720101781171,0.0,19.720101781170484,0.0,0.0,0.0,0.06361323155216285,0.0,0.0,36.00540712468193
1400000US36083041101,0.05820721769499418,66.55995343422585,0.4947613504074505,18.044237485448196,0.0,0.0,0.0,8.847497089639116,5.9953434225844005,0.0,28.464493597206054
1400000US36083041102,0.05941770647653001,68.56803327391563,0.0,23.351158645276293,0.0,0.0,0.0,2.13903743315508,4.69399881164587,1.1883541295306002,25.17706476530006
1400000US36083041200,0.0,74.94983277591973,0.0,20.869565217391305,0.0,0.0,0.06688963210702341,1.5719063545150502,2.341137123745819,0.2006688963210702,22.006020066889633
1400000US36083041300,0.0,93.25504366154773,0.0,5.088828666064439,0.0,0.0,0.0,0.09033423667570009,1.5657934357121348,0.0,35.56368563685637
1400000US36083041400,2.008765522279036,74.76260043827611,0.0,23.155588020452885,0.0,0.0,0.0,0.0547845142439737,0.0,0.018261504747991236,21.26607012417823
1400000US36083051500,13.163022299198962,80.1255683048279,0.0,3.9618965143970555,0.0,0.0,0.021649707728945658,0.021649707728945658,2.5546655120155877,0.15154795410261962,49.09222775492531
1400000US36083051601,11.42578125,62.646484375,5.17578125,18.65234375,0.0,0.0,0.1953125,0.0,1.904296875,0.0,29.07568359375
1400000US36083051602,2.4311657879320445,54.6572934973638,0.0,41.62272993555946,0.0,0.0,0.0,0.35149384885764495,0.9373169302870533,0.0,22.259812536613943
1400000US36083051701,0.4679097292346711,8.059554282225301,0.1391400324072987,51.61038442570979,0.0,0.07162482680882043,0.163210670925017,34.42160016908156,4.112556654063828,0.9540192095437146,1.369882042044755
1400000US36083051702,1.7631693513278188,71.8981279930344,0.0,17.696996081845885,0.0,0.0,0.0,6.552024379625598,1.9373095341750108,0.15237265999129299,21.997170222028732
1400000US36083051800,4.885234393431115,9.517863616224272,0.0702000702000702,50.78342127522455,0.0,0.06214432443940641,0.35215117182330297,27.14153369891075,6.343899786522737,0.8435516632237943,1.39248391744736
1400000US36083051901,4.254643106063712,13.053995326144891,1.2402115534418434,51.39088188266163,0.0,0.2029437087450289,0.6713541880201713,21.036447870116028,7.013857570415317,1.1356647943913738,2.2545355227438257
1400000US36083051902,3.484133790737564,17.845911949685533,0.8969411092052602,59.59119496855346,0.0,0.01072041166380789,0.050028587764436826,15.455260148656375,2.3441966838193253,0.3216123499142367,3.8359771573604062
1400000US36083052002,0.408666976875923,10.277367537275689,1.2725323190839386,54.741143862914484,0.0,0.1294786461389063,0.1294786461389063,25.14111149325295,6.967569645349895,0.9326508729693095,1.7856566294658525
1400000US36083052003,0.9126504289744918,21.92088443599931,0.03166925778775839,56.2215696435769,0.0,0.03742730465825991,0.0777336327517706,16.404675534058846,4.0277537859158175,0.3656359762768469,4.998603390966733
1400000US36083052004,0.3125281726117138,30.591699972954295,0.06010157165609881,37.22991856237041,0.0,0.027045707245244466,0.009015235748414821,24.524446314271117,5.9320251224569525,1.3132193406857589,6.665628682040061
1400000US36083052101,2.29477456769774,5.112772858903498,0.17239163144483846,82.31927232585042,0.0,0.14139138193063505,0.40678376191808374,1.1326432627384562,8.10467498884747,0.3152952206688493,0.5786914870290419
1400000US36083052102,0.06401775425718066,5.519183987025735,0.1468140497631343,86.27715419743075,0.0,0.4916563526951474,0.09986769664120183,5.678801587640306,1.645683069437924,0.07682130510861679,0.726317900383526
