Source,Target,L1_Dist,L2_Dist,Cos_Sim,MMD
Chicago,Chicago,0.0,0.0,0.5214706842084378,0.0
Chicago,Duluth,0.24711475,2.4531143,0.46002548794577935,0.4219241142272949
Chicago,Fort_wayne,0.1761463,1.540625,0.4732671696542685,0.1027340292930603
Chicago,Hartford,0.30846477,3.0975196,0.46664929211616,0.3637433648109436
Chicago,Jackson_MS,0.44669938,4.5997124,0.39306314729370784,0.42356008291244507
Chicago,Knoxvile,0.37542424,3.76504,0.38405467002046745,0.4310948848724365
Chicago,Lansing_east,0.26497155,2.384208,0.4372884975541107,0.17172807455062866
Chicago,Modesto,0.14582473,1.5208055,0.49099063416162003,0.3383793234825134
Chicago,Montgomery,0.53380275,5.585776,0.3919539146914055,0.4108274579048157
Chicago,newyork,0.17509016,2.0526638,0.5463161682083,0.25614702701568604
Chicago,Oklahoma,0.17786601,1.8009009,0.47564142754085925,0.29269862174987793
Duluth,Albany,0.19734447,2.3902018,0.4953797943476925,0.2961438298225403
Duluth,Atlanta,0.38584283,5.1051307,0.4835804042584644,0.44302138686180115
Duluth,Baton,0.26538402,3.7623167,0.4404151413286963,0.3145531117916107
Duluth,Bridgeport,0.2828605,3.2351503,0.5053699729189752,0.36182674765586853
Duluth,Chicago,0.5902153,7.3609943,0.48851228975591665,0.2995227873325348
Duluth,Duluth,0.0,0.0,0.47904981384424994,0.0
Duluth,Fort_wayne,0.30568063,3.8494055,0.48250716315762043,0.3482912480831146
Duluth,Hartford,0.2521417,2.9797525,0.5032600912123538,0.33802083134651184
Duluth,Jackson_MS,0.28746405,3.9511886,0.4674241864586106,0.3367384672164917
Duluth,Knoxvile,0.3740059,4.860107,0.49015540088430787,0.40142369270324707
Duluth,Lansing_east,0.22965318,2.5479362,0.47646355105121085,0.29379087686538696
Duluth,Modesto,0.33894908,4.205973,0.47462262838795477,0.4252511262893677
Duluth,Montgomery,0.2840551,3.971301,0.46783418868486204,0.3378625810146332
Duluth,newyork,0.6911243,9.178021,0.4932008954673336,0.20878931879997253
Duluth,Oklahoma,0.5423422,6.558272,0.4656449952857803,0.42503681778907776
Fort_wayne,Albany,0.15294248,1.6435792,0.48256600550442974,0.22068944573402405
Fort_wayne,Atlanta,0.19508776,2.2287037,0.5108394209728436,0.3410937786102295
Fort_wayne,Baton,0.12639624,1.3764948,0.44356846778893855,0.3019232451915741
Fort_wayne,Bridgeport,0.23552534,2.8220432,0.5066462534452681,0.3311372399330139
Fort_wayne,Chicago,0.2264812,2.5201092,0.549496099964029,0.16893340647220612
Fort_wayne,Duluth,0.12548168,1.1767288,0.415578875755798,0.3037554919719696
Fort_wayne,Fort_wayne,0.0,0.0,0.5056346662296098,0.0
Fort_wayne,Hartford,0.2513628,2.8475778,0.5289957248917365,0.2954587936401367
Fort_wayne,Jackson_MS,0.13929428,1.5806109,0.49884938758317376,0.27805817127227783
Fort_wayne,Knoxvile,0.13902996,1.5516454,0.44783449908359485,0.3001015782356262
Fort_wayne,Lansing_east,0.10563932,1.12192,0.4320066116959652,0.14574864506721497
Fort_wayne,Modesto,0.15561947,1.6076971,0.38888684899508474,0.4327491521835327
Fort_wayne,Montgomery,0.16635126,1.8944992,0.5033614361995375,0.30689144134521484
Fort_wayne,newyork,0.31055275,3.989838,0.5057614605157548,0.2520506978034973
Fort_wayne,Oklahoma,0.2024943,2.1044157,0.3809602653227936,0.29507312178611755
Hartford,Albany,0.065921016,0.7754225,0.5076424868886102,0.10315543413162231
Hartford,Atlanta,0.2528332,3.1862962,0.5059491118978918,0.41249367594718933
Hartford,Baton,0.26518476,3.6339934,0.4959368713376344,0.3647640645503998
Hartford,Bridgeport,0.061557233,0.6754779,0.48326510382574606,0.05101922154426575
Hartford,Chicago,0.28155637,3.4829931,0.48625435365917347,0.27466678619384766
Hartford,Duluth,0.16790047,1.9596136,0.49479319212765416,0.37317782640457153
Hartford,Fort_wayne,0.24436656,3.0949988,0.48555475840446594,0.3334481716156006
Hartford,Hartford,0.0,0.0,0.4953481993288066,0.0
Hartford,Jackson_MS,0.26506862,3.7298794,0.4920467904140837,0.42958953976631165
Hartford,Knoxvile,0.26310205,3.4341397,0.5109118029567625,0.39162489771842957
Hartford,Lansing_east,0.234595,3.1391957,0.47256452255404824,0.3631083071231842
Hartford,Modesto,0.44683552,5.748905,0.5048253851078189,0.41404587030410767
Hartford,Montgomery,0.23420686,3.1704688,0.4903500958664926,0.37681251764297485
Hartford,newyork,0.26664373,3.2363696,0.48087802998413876,0.13344554603099823
Hartford,Oklahoma,0.4337483,5.0354,0.517998002784287,0.36505264043807983
Jackson_MS,Albany,0.25403208,2.8996372,0.48584427304011735,0.3722079396247864
Jackson_MS,Atlanta,0.21326804,2.440599,0.4942555646430892,0.3476836085319519
Jackson_MS,Baton,0.09817206,1.0345467,0.48450786871587803,0.19639018177986145
Jackson_MS,Bridgeport,0.2508976,2.8140888,0.48143759288915566,0.33394765853881836
Jackson_MS,Chicago,1.7709333,22.320827,0.5066338538683992,0.2866992652416229
