cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,minor_ratio,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US36001002000,-0.0437899414558441,-0.169848541838498,0.0469304413698563,-0.0164162675785129,0.0431540103122606,-0.2110505847866509,-0.0562727028658046,0.0085896884573475,0.0026734626832034,-0.0759098767485412,0.1277645892365659,-0.065377243490812,-0.1305609267015229,-0.1202381948641202,-0.2346330612145133,0.0136945266974532,-0.0370205270475774,0.1230083738268703,-0.0960145773674683,0.0233687071933869,0.0083095906462309,0.0012578078046482,-0.1813559771172109,0.0034576911481283,0.0087969891565318,0.1804322381175856,-0.094557243797307,-0.11725797514347,0.1054052812661322,0.0335085633461416,-0.0332017028306844,0.0078724717491407,-0.0429828463220077,-0.0426140088697033,0.0602889071071412,0.0247799779571884,-0.0603687849558982,-0.1140386201096586,0.0152890718976437,-0.0153293496548113,-0.1061659559160283,0.0021248014956498,0.096262103671692,0.0649582112360114,0.1148311504216727,0.1075720634045049,0.1449056878325383,-0.0607927359200048,0.2508193047836222,-0.1877443402530819,-0.0688601378041763,0.0594926182917513,-0.1040111832368,0.0867840260452175,0.1503861570486409,0.0394772163229294,0.1750782698140955,0.0905128231713822,-0.0153128147970484,0.0190842695337876,0.0439451685904742,-0.0868383044680143,-0.1377976812281404,0.0134187509522341,0.315642,6067,2.891046,2098.5484146568406,7.6494775599473614
1400000US36001014615,-0.0779771381438783,-0.1257225086700009,0.0279046682559079,0.03082069342752,0.0235267525341386,-0.1830457825743721,0.0092869368189069,0.1195242169860834,0.0117903144659124,-0.053295504468164,0.1045860850986581,-0.0767453187023085,-0.1388486893159805,-0.0036103911917628,-0.2010223109034699,0.0595967960307916,-0.0779890922608476,0.0630730652336034,-0.0570566247880837,0.017140782376056,0.0467416353245103,-0.0604282884083074,-0.1557582369182119,-0.0205799185633436,0.0751469061735053,0.1205354133434429,-0.1647179724639998,-0.174302336793451,0.1345572142347187,0.0381756598847268,-0.0257546490095125,0.0677749386664856,-0.0520676233350933,-0.0037028937005959,-0.0475003569204972,0.1260200211344632,-0.0387454901334107,-0.1303937701673162,-0.0163705427581426,-0.0382030254058312,-0.0656738252727322,0.0546847722505192,0.0657714090021788,0.0643266917003721,0.0735459388302897,0.074154915092273,0.2066716483461377,-0.0699808667225537,0.2433099931537835,-0.1714559670741428,-0.1189585900542823,0.0278239039413173,-0.0702556551502337,0.1145837157975018,0.1367388717591079,0.1130547840280055,0.0947015206965314,0.1002718628611067,-0.0025794828705961,0.0274433325332385,0.0363291676347873,-0.158904405584029,-0.0747818689360786,-0.0010878728798288,0.19285,2909,5.872808,495.3337483534282,6.2072485801876685
1400000US36001000600,-5.845936486343144e-05,-0.3044873197469968,-0.0062805469921642,-0.0313492957492938,0.1023811048659338,-0.1847080721714016,-0.1156686632256949,-0.1320446310005939,-0.1305037218648571,-0.0447307742726635,0.1137800276578612,-0.0394080174315293,-0.0974373770436704,-0.1919505332166196,-0.2618497085122525,-0.0532164016412944,0.0485271726104112,0.17965466411004,-0.0285811236149076,0.0676740714308337,-0.0173477002729458,-0.0339236536424702,-0.1736708605044735,-0.0405514742243322,-0.0325970675019243,0.2737667639280781,0.058132537557063,0.0064928792417124,0.017437403702013,-0.0531087776581777,-0.0458223844364774,-0.0526175029804071,-0.0244624005400365,-0.075118932938988,0.1094237897749181,-0.0864252141544212,-0.0891466742029402,-0.0813413990238826,0.0274311199459577,0.141974314609448,-0.1124959968237001,-0.082942205258049,0.1270477359307918,0.0592993554065245,0.162141826737916,0.1199952491028866,0.0342976483927101,0.0223052576246892,0.2623327699055534,-0.1705570760876395,-0.0013110253911823,0.0695878169193275,-0.109857789654502,0.0628923809332163,0.2094474298444777,-0.0824800071432116,0.2084266188524358,0.1100505931497987,-0.0077202671467414,-0.073093152228272,0.1012431271132873,0.015791054924955,-0.1667454258250001,0.0369439722404641,0.22767,3773,0.506881,7443.561703831865,8.915239072173831
1400000US36083052603,-0.0306697126485509,0.0221754829502365,0.0436921535193374,0.0246284279110065,0.036716465616734,-0.221586905908825,0.0016793248601981,0.2400987382659931,0.102998755842362,0.0201246944834513,0.1259322515575709,-0.0720617335258035,-0.1148188648946581,0.0005593033513923833,-0.1763287749278313,0.0775096892402993,-0.0663792240749774,0.0474338829743867,-0.0596293522030534,-0.1137501158372968,0.0993707000461402,-0.0415680120610716,-0.0661793565048839,-0.0056723176032197,0.1426456185662913,0.0563633248492164,-0.258065651135725,-0.0957819580420952,0.0861847305260328,0.037386811487893,0.0111130756123303,0.0945295311191653,0.0313899804315598,0.0171824968952195,0.0124659092520515,0.0409734555280674,-0.0546301248315116,-0.1321795116959084,0.0006475998227400726,-0.10808039515551,-0.093392923242355,0.043517025638309,0.0315999250571067,0.0604518514468006,-0.0217387046388594,0.0747825134827126,0.2047912723692682,-0.1974274035824328,0.2429654824566306,-0.1817025263344097,-0.0250985195929593,0.01502587142742,-0.0684143050865937,0.1477978726396316,0.1055929248159595,0.1800871838691853,0.104674272509847,0.1154177224445808,-0.0304353738031502,-0.0134304256527786,-0.0237920555090193,-0.0926617245905429,-0.0355739829888458,-0.0048840421270338,0.139632,2879,149.931221,19.20213802567512,3.0057884416614034
1400000US36083052204,-0.0684451220047182,-0.0389727095950831,0.0287631316528872,0.0321443758482084,0.0259753903636806,-0.1961658164041782,0.0261362024444845,0.1877013883558275,0.058073566510994,-0.0086107625074259,0.1142093332500244,-0.0739588115596379,-0.1107863804802706,0.0222658316190045,-0.2038156442752853,0.0755685039431261,-0.0795553569369961,0.0437573539368256,-0.0789837027898287,-0.0470919748687577,0.0512975069986547,-0.0566307631699867,-0.1116464240716234,-0.0144931228806676,0.1151754637435254,0.0725470570805999,-0.2451596811117539,-0.1606498048310133,0.13397978408269,0.0502889214475197,-0.0199432325563736,0.0802026495251838,0.0132393989043464,-0.0301230472592649,-0.055778949225385,0.1012731746600372,-0.0594564612735491,-0.1434418263184985,-0.0017491732331353,-0.0779422041726098,-0.0599381118401793,0.0569737374976112,0.0567094980320888,0.0595480230386205,0.0197592998623888,0.0521066616627699,0.2160462110604678,-0.1335018680945185,0.2418595439071187,-0.1705206989900119,-0.0851474872202743,0.0387015629079514,-0.0576523506345768,0.1321703350753538,0.1048459580068705,0.1790822827504475,0.0986692867442638,0.0929312704113967,-0.020439111236812,0.0176328991362026,-0.0076883646432585,-0.1423202686141529,-0.058667960805327,0.007402639869859,0.287208,2486,27.390446,90.76157430952384,4.5191936294908945
1400000US36083052405,-0.0328801616792453,-0.1842391868613806,0.0778212571305273,-0.0138721195832794,0.0450948074620248,-0.1975414552786221,-0.0531538709709226,-0.0197768015107015,0.024471963775257,-0.1351057708661815,0.1329146766827948,-0.0835091331445525,-0.1541384944292218,-0.1312765276335301,-0.215857401044436,0.0476398076542652,-0.0723562933480959,0.1406981396415791,-0.0776878620527234,0.0263927332852012,0.0277756279882485,0.0078258083327006,-0.1475330569485515,0.0149652401315203,-0.0273833248132614,0.1998410936475715,-0.0609237596141454,-0.1183937585393789,0.1256053188140601,0.0223754793734896,-0.0391757958877422,0.0275952295738502,-0.0524711024183189,-0.0224712937715687,0.0766342378080467,0.0020086507066133,-0.0467109716597598,-0.1097164128846564,-0.0067927439250304,-0.0166480186863859,-0.1227299677436594,-0.0220915731865851,0.0988551193881468,0.0678818702136036,0.1461368882935215,0.1361748740253318,0.1173888356790182,-0.0241831307906021,0.2498765954962408,-0.1924019908105256,-0.0649820018130351,0.0740167057095151,-0.1497235506289784,0.0830348921602776,0.1636607845142183,0.0102977871690457,0.2095388596787903,0.0884597006715992,0.0011655446483547,0.0276534616531557,0.0413132038419567,-0.0854607585067161,-0.1174005125549208,-0.0068901418770303,0.144275,2620,2.233785,1172.8971230445186,7.0680843671143885
1400000US36083040800,0.0936485247564302,-0.2552841079005403,0.0209379544110534,-0.1544642320821791,0.0454307007329083,-0.1455082628609285,0.000624829303266476,-0.1250882449922155,-0.0986438295846999,-0.0649142265197155,0.0827407957161716,-0.1088524771928278,-0.1402350308555171,-0.2103007286391243,-0.1626549615181473,-0.1551681044256454,0.0710278135847549,0.0778529679234354,-0.0439212221955934,0.0832961134948089,0.0359672617054509,-0.0059934828466045,-0.2580279481242795,-0.065231414603099,-0.0385792507767447,0.1936779332073492,0.0193441974842853,-0.0909241365786736,0.0796250983352908,-0.0342958405944541,0.0540483186811364,0.0087299389106578,-0.0473440202583343,-0.0079375637354038,0.0852935876732764,0.0027324356588983,-0.1276994183160458,-0.0406824213299949,0.0612975888233003,-0.0053424201702358,-0.164406523848803,0.0030468935663296,0.0498907722033378,0.0527821490128999,0.1184454443683145,0.0979164009783664,-0.0493101647486305,-0.0056223237193082,0.1197528681673477,-0.0774296861745869,-0.0635899102177921,0.0535691819049617,-0.1723812296235279,0.0920892061757311,0.1885815722952666,-0.0444884639109932,0.12001491389899,0.1472016390344717,0.0015157549376224,0.0344490542589912,0.0759651375470059,-0.1190024540806204,-0.2845356807123649,0.1781462864781678,0.081594,1581,0.31532,5013.954078396549,8.520179543503971
1400000US36083052203,-0.0337366478910094,-0.0140656533222018,0.0496917688181536,0.0196448145934627,0.0192049321130959,-0.2182147403083936,-0.0180661215813599,0.2194192216239734,0.0908979177607132,0.0064156582881958,0.1354714725495556,-0.0727773656855795,-0.1250359663284175,-0.0121117271228362,-0.1757444016575619,0.0595380870316928,-0.0863187063052642,0.0452248763701471,-0.0546622912916811,-0.1080024019395719,0.0922676183608379,-0.0436238860526069,-0.08340765708743,-0.0120568970023665,0.1108382326871012,0.086192649113195,-0.2539513378599515,-0.0950919299100437,0.1101843686449012,0.0357861961984122,0.0188928878817346,0.1020483266043659,0.0320732838297283,0.0140088877890081,-0.001386813753684,0.0472041615792063,-0.052615346162847,-0.1171199574484061,0.0070183130059779,-0.0944291929354077,-0.1103713208150618,0.0349963908701889,0.0408493814125731,0.0758332356396605,0.0077206762550372,0.0842211843854534,0.1994510727519924,-0.1654901577165134,0.275061203135019,-0.1953692745815919,-0.0371353928333017,0.02677464089154,-0.0756878403183511,0.1358892016451102,0.1089243936526527,0.1577323887607226,0.1274333206795073,0.1227285109101352,-0.0321762066443116,-0.0020533639910757,-0.0038104009467026,-0.1102619676282599,-0.0334131556800869,0.0010771017447843,0.198693,5969,63.386149,94.16883805324724,4.5556525568392585
1400000US36083052502,-0.0710041048120617,-0.0282475814712624,0.0213776772882401,0.0247064648880083,0.0326276999868251,-0.1929906770907143,0.0227698377509798,0.1848005076409517,0.0592365748192139,-0.0155136438610242,0.1209865646782997,-0.0737615642341692,-0.1077994137778087,0.0086849641527116,-0.2194496350652554,0.0543603239116825,-0.0996532743322115,0.041378431206356,-0.1007976713789218,-0.0246974718652504,0.0516349943503813,-0.0465093560270177,-0.1204867641498237,-0.0137710104228434,0.1107167560404845,0.0850971452677434,-0.2281402400164223,-0.1501712977920667,0.1242609412422919,0.0639025764174461,-0.0211072037927231,0.0775545802497791,0.0116784392155818,-0.0308199864186847,-0.0438819491061294,0.0986289516233509,-0.0645423805918288,-0.1544869234989484,0.0219890335794636,-0.0908377517575738,-0.050392337063822,0.0542984684462528,0.0740123763765219,0.052694222202745,0.0366741991037927,0.052524725340819,0.2279908299839625,-0.1367453213481805,0.2426808530732217,-0.1815946763093127,-0.0949989290283571,0.0518841245276134,-0.0527777142290447,0.1126914049855278,0.0975834418616206,0.1753324598360239,0.1025558906079018,0.0862710454155693,-0.0266131148732725,0.0113163178955416,0.0017936074791438,-0.1553675049943116,-0.082602851780312,0.0070639218864026,0.201048,5342,75.01897,71.20865562403749,4.279559922702708
1400000US36083052101,-0.0077795488575254,0.0215208291817617,0.041030669401944,0.0113877798234948,0.0142235711691142,-0.2180867408791692,-0.0117522017381197,0.2506538146530055,0.1082234417935612,0.0200165433514735,0.1609427323267052,-0.0761398717159012,-0.1194961721939679,-0.0278385847270701,-0.1511886050925629,0.0655412852638571,-0.0927983225185675,0.0205631679599705,-0.045366484740943,-0.134793530932341,0.1167963876478885,-0.0515707746648561,-0.0431298226705069,-0.0134398248129853,0.1412604807992271,0.0785339160705003,-0.2564940309839463,-0.0600172208618766,0.0834408202643636,0.0328790027201298,0.0359634989708338,0.1201891286768172,0.0518643085045928,0.030069808977083,0.0244161058162176,0.0142800527879839,-0.0488945437887553,-0.120311587442287,0.0044060868381676,-0.1093733959698808,-0.1352172822328843,0.0197466602121417,0.0300244491745073,0.0762439801716905,-0.0091178194905845,0.0833071576841324,0.1934489381003903,-0.2023232204908921,0.2729546694365156,-0.1856760308664334,-0.01059674929755,0.00031251732309157563,-0.0845776223886016,0.1346481762016481,0.0993866559031585,0.1687666911153017,0.1414350189522568,0.131028944718753,-0.0437143254285429,-0.0058705206463451,-0.0198229320353751,-0.0811641407427248,-0.0187876588433825,0.0163466248939505,0.206412,2277,115.825908,19.65881415753719,3.0281420640546775
1400000US36083051702,-0.0643106226057736,-0.1218482889622187,0.1207235466086721,-0.0028378765897931,0.0556706900136193,-0.1985500122311426,-0.0130853755694238,0.0396886034942209,0.0430712707097835,-0.1026007455783035,0.1056794250853425,-0.1119523400922652,-0.1481625508117452,-0.0549639403067004,-0.2266424583215572,0.0953759016208707,-0.0351209777664595,0.1069686932063692,-0.0948550232794127,0.0108840028617727,0.0422860366645,-0.0344824978828363,-0.1239957748386046,-0.0022109779778244,0.0147404698595215,0.1271681853731836,-0.1810329803258462,-0.1771786444662179,0.1806937329041676,0.0243557079431179,-0.0409582891440367,-0.0088215041684884,-0.0366445908465181,-0.0503235246968106,-0.0101808389781243,0.057849364204532,-0.0459783313424486,-0.1083381716681833,-0.0749473649976954,-0.0450189540483958,-0.0984809555825205,0.0208702565386678,0.0421140920522778,0.0801393503481189,0.0486060823627555,0.13363965611625,0.1556025311903065,-0.037360687037676,0.213183645037575,-0.1701594793288297,-0.0751241064852868,0.0918003631771847,-0.1123349264582174,0.1211372095147861,0.1478981536370957,0.0877955645084664,0.1798640308819096,0.0757455261159349,-0.0025927770429338,0.033698360241812,0.0073404204359107,-0.1309522985322918,-0.1021375234850552,-0.014496621131997,0.233264,3361,4.133472,813.1178824968453,6.702105174309504
