cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_pub,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US26045021302,0.0238074460180029,-0.0665966351760045,0.0888102005839598,-0.0358534675677352,0.075802849538393,-0.1337468008709317,0.022282693971978,-0.0389231851269704,0.0486401699291699,-0.1169790239755846,0.08990148592054,-0.1998183491098931,-0.0890039087368873,-0.0285740802532031,-0.3640382493845983,-0.0228678664381507,-0.1469800211822064,-0.0185491241707948,-0.1062547928437963,0.0492373360305416,0.0799795501320204,-0.0704512167664665,-0.032677174375847,-0.10827778428983,0.0045769957931576,0.1337143003203893,0.0164303416649229,0.0152936019054377,0.1742035960200189,0.0241546951581631,-0.0451521810124184,0.0389613678886188,-0.0587105313120751,-0.0302355536567929,-0.0522259491899819,-0.0470317220044382,-0.0009230571139907212,-0.1049138524852798,0.0025328738437708,0.0175731845763293,-0.1284212861784747,-0.0015393744698523,0.0564237232810576,-0.0369242247929547,0.113141057933082,0.0778150082061843,0.1566586257809772,-0.1276768169170268,0.1492173952824744,-0.1575518839662642,-0.1025898932581319,0.0602761654478821,-0.1254461813894863,-0.0135750720437625,0.1447726903966925,0.1575077163403866,0.1977936070792572,0.0408560149088195,0.008053991334836,-0.0917530595188062,0.0252840197605819,-0.1996506496497035,-0.0607597868205315,0.0825332857492086,0.0,3236,6.856253,471.97791563409345,6.159048697410576
1400000US26045021402,0.0003187998500175484,0.0067005853288915,0.044214063937631,-0.0820416173870719,0.0775633900020762,-0.1240942384901997,0.0799432981233494,0.0251263424689135,0.0380620208477204,-0.1150359754535507,0.0848542403027719,-0.1771579003573982,-0.0481853665839043,0.0166755221831418,-0.3348178768324549,0.0052161960854722,-0.1817825420467471,-0.0535080004032418,-0.134586385938439,0.0518092511688447,0.0573348353886794,-0.0886704768533661,-0.0063855697493932,-0.0765011703349328,0.0438478572407549,0.0889486438170049,-0.0248500216551202,0.0094877098081985,0.1653355823375059,-0.0097061517972797,-0.0933591028568472,0.0154932246599031,-0.0026094467207525,-0.0423653856955852,-0.0632880826530177,-0.0660191793003412,-0.0003384703657970588,-0.1375929245522461,0.0091528873467705,0.0136554644450365,-0.0696289028328567,0.0438318193560498,0.0752389161648489,-0.0643720805581239,0.0614858601805294,0.0338614501862004,0.1976979483730188,-0.1161454701216108,0.1498499245381624,-0.1164777331602706,-0.1134299182698413,0.0622675170801135,-0.1018258783528378,-0.0436123542458349,0.1135919240808461,0.2280454549157212,0.1422904324094586,0.0171681293146667,0.0009872818639095567,-0.0760249677269774,-0.0469602403812803,-0.1991071496889632,-0.0692453446299854,0.1021521826979622,0.019114,4819,52.318649,92.10864753025255,4.53376706429019
1400000US26065003302,0.0597679583021582,-0.1737079429711441,0.1240193815279177,-0.0030856432218265,0.086522916103805,-0.07873644525211,-0.0128374810665057,-0.0714058529524972,0.0610950484043676,-0.1509412421391436,0.0647158198584874,-0.2289058059645533,-0.1692669173250882,-0.0777821427077735,-0.3230166582059069,0.0121817295242616,-0.0761841140549218,0.0571519641584054,-0.0259146697985115,0.0758329289746958,0.0870764671187638,-0.0255057970622347,-0.0595872042105365,-0.0937644386654619,-0.0070352502606867,0.2371045974637439,0.0189783090405767,-0.0126490708098908,0.1789730958147899,0.0308858646058015,-0.0181066225859472,0.0423858754043261,-0.149823096806436,-0.0126698506002944,0.0349865480268455,-0.075023269138032,-0.0513729866020628,-0.1008080000966227,-0.0378323693688938,0.0195105982588621,-0.2157226721706999,-0.0523570476473922,0.0616268989638343,0.0251417464261813,0.139780401959357,0.1322405914719451,0.0972542027911447,-0.1273164065906054,0.1060684000603402,-0.1481268745714102,-0.0875082737555004,-0.0225661479623889,-0.1924815931627589,0.0299802109347951,0.2096445519279746,0.0620859855114596,0.2218342554127285,0.0927798063001765,-0.0160766463261463,-0.0214757625317134,0.0972934215651411,-0.123461143448712,-0.0994695677957213,0.0614080921384748,0.0,2037,1.898313,1073.0580257312677,6.979199301292112
1400000US26065005502,0.0236946871107761,-0.0381382060780554,0.0761049252628264,-0.0746398513419951,0.0853335024494126,-0.0978508160536428,0.0504215051387282,-0.0304968859719707,0.0234333531934797,-0.125877538561979,0.0784953944614531,-0.1838069799626534,-0.0705179630952994,-0.0069041760117213,-0.3349249475947551,-0.0238211272544825,-0.1608702439390794,-0.0319760515162306,-0.1242554818246365,0.0533641837735656,0.0584159237505039,-0.1024252928965362,-0.0315521031012571,-0.0967816407593173,0.0038126177224772,0.134370182804878,0.0215859552856586,-0.0062890906427611,0.1704908807609847,0.0011361981956837,-0.0716000952686989,0.0139197728919079,-0.0384704708666357,-0.0475466955427274,-0.063709885668347,-0.055796661647754,0.0145095858183178,-0.1274184470963856,0.0083354663957238,0.0277517593177823,-0.0971337819019722,0.0253426979630809,0.0663427725519551,-0.0613426256904943,0.0917641613567033,0.0682339915247733,0.1671749510723279,-0.099795976496537,0.1378687243448067,-0.1303117143707723,-0.1049932096342769,0.0638257463573049,-0.1164764620547931,-0.029390165195526,0.1240839668013446,0.1780812778549817,0.1602896522718324,0.0273874045407467,0.00747386080241,-0.0648448156890916,-0.0264021613540901,-0.2005054134367783,-0.0759639224570127,0.0953403336454821,0.0,6610,18.237576,362.43851704853756,5.895610141122929
1400000US26065007000,0.0639009609071488,-0.196475461809889,0.1307471573900225,-0.0275934456524266,0.0807713463564495,-0.056907000415551,-0.0427141113096834,-0.1291333986241444,0.0366037358470535,-0.1408777205473633,0.0833787453527326,-0.1998678427643601,-0.1529980163778896,-0.1198815738655995,-0.3229229247223928,-0.0182259984590994,-0.0451572804866004,0.0888423309702835,-0.0281845685680768,0.0531218985060771,0.0711692379224398,0.0040695094965004,-0.0907184005042043,-0.1019992523657163,-0.0431254391022616,0.2587170603044745,0.0791636695978484,0.0035413313526895,0.1400596931234285,0.0312219004378017,-0.0003856718486435231,0.0053295992634382,-0.1303446186413021,-0.0380766886918719,0.060749834166594,-0.100025854546176,-0.0793864668726713,-0.0809585109705973,-0.0312191259126214,0.0154322224744758,-0.2162246898034333,-0.0695954059310684,0.0529410093725807,0.015656758942336,0.1693348911042544,0.1218344489502021,0.0731044636923694,-0.1011110913357818,0.1476970781566601,-0.1208920247707565,-0.0614432476300327,-0.0217453826449234,-0.2013513621294204,0.0229347657553319,0.2238096240941485,0.022877757928584,0.204650984415102,0.0732055614953293,-0.001129685599908,-0.0311898856874816,0.0931892840941585,-0.0933201664334926,-0.1277937365579868,0.0792597164785124,0.0,6401,3.29608,1942.0038348583773,7.571990423054534
1400000US26065003601,0.0608623697476185,-0.1762587622245045,0.1456795527686558,0.0060888245732213,0.0844343241599883,-0.0546177084348781,-0.0108168693540321,-0.1177970547465097,0.0686834912783689,-0.172436363134852,0.0684244574077473,-0.2263717346394201,-0.172193439973562,-0.0991175424876918,-0.3358188963674331,0.0175795998645179,-0.0645139498776472,0.0894519094974115,0.0083368542136411,0.0760497517578109,0.0702550343339513,0.0143503009099338,-0.0544083632814277,-0.0935334897664108,-0.024812137581096,0.2776852851845018,0.0655773177994486,-0.0256102948167259,0.1662785198211279,0.0299929483645578,-0.014223264862772,0.0295062045209114,-0.1736126136129002,-0.0208932635811669,0.0704806651566503,-0.0949301263030538,-0.0712052994982896,-0.0866010652674949,-0.0627982148212339,0.0032998988550024,-0.1999125017821157,-0.0611359608300574,0.0579018589030893,0.0274034995607936,0.1717964128212748,0.1349537330661574,0.0799334065035363,-0.1295698579392887,0.1380189768259545,-0.1447406468679455,-0.0825557945142564,-0.0310112654410771,-0.2040559300455373,0.027027348153852,0.2316697805888376,0.0348940679070329,0.2283961151784646,0.0746449688965334,-0.0080194602534088,-0.0411079638696171,0.1048448041134325,-0.0724364133996941,-0.0987286866895214,0.0658712244888466,0.0,3713,1.583331,2345.056087451076,7.760490936622042
1400000US26065005202,0.0297514976429686,-0.0684964737695189,0.0770190091376159,-0.0381327913104832,0.071173092823232,-0.1193081964720308,0.048998374694191,-0.0443695994636162,0.0231980167320715,-0.1175637526478298,0.0837666777429787,-0.2222303263482541,-0.0990341338880379,-0.046815345975769,-0.3574782438008169,-0.0084737326230445,-0.1534417886710921,-0.0382643109451602,-0.10059999280896,0.0644725948287241,0.0752856356393827,-0.0717660644540894,-0.054110684469314,-0.1041981461354912,0.0329567822451391,0.1371739764653841,0.0126923721800976,-0.0116298123981778,0.1877854197049387,0.050037071226642,-0.0557377458789007,0.0420167389642376,-0.0811455851527414,-0.029044627518166,-0.0519914687372861,-0.0596451606542361,0.0102582441368769,-0.119964203810955,-0.0306750806066967,0.0019944860282351,-0.1137235569620459,0.0116673961947839,0.0463613161584861,-0.0237949927073089,0.1226016299140877,0.0823394155280405,0.1466486199559756,-0.1353240099588349,0.1459308770790822,-0.1321356250945917,-0.1368472788518976,0.0428365476273802,-0.1288288708001878,-0.019486073851067,0.1341839372768375,0.1576457539876819,0.2095001469603951,0.0261863146751837,-0.0103979921807919,-0.0509328014097589,0.0260074369350521,-0.1886755788691471,-0.0667652539305873,0.1025277157145613,0.0,3981,6.930312,574.4330125396953,6.35512282267239
1400000US26065003103,0.0738189410194555,-0.1667527915658014,0.132034036362839,-0.0498727833973414,0.0877275352988145,-0.0466900633713909,-0.0177600808637467,-0.1358540815446543,0.0296112312308618,-0.1402649491112649,0.0659739545600686,-0.20946751993994,-0.1439355328044687,-0.0990773425676499,-0.3331362078256447,-0.0357656418393401,-0.0566367997112656,0.055073647346212,-0.0348741788815113,0.0494590502805842,0.0569329939176253,-0.0529499384615637,-0.0958227436489149,-0.1185935852919176,-0.044723090195959,0.2318635078125929,0.0785005762348071,-0.0183718951548618,0.1572494123149222,0.0308208373120264,-0.0035553112324863,0.0081257982190824,-0.1148801172360085,-0.0444887041677288,0.0048427216508807,-0.0552459466442619,-0.0306638988314859,-0.1029282899999766,-0.0222923904029541,0.0688574145022596,-0.1708477638740548,-0.0423174486539467,0.0344395122940775,-0.011124808698745,0.1675082531973079,0.0909910492319837,0.0788066237177751,-0.0803930744664243,0.1208747178117505,-0.1341177267848283,-0.0659247505659848,-0.0090112406605235,-0.1869651044442902,0.0028026200790337,0.1825039173554893,0.0353637144584021,0.1881880693534659,0.0543566019948624,0.0044944057303414,-0.0278039560533213,0.0648783008032311,-0.1327570855759585,-0.1304984341402489,0.0900321089643007,0.182763,5960,5.471575,1089.2658877928202,6.99417687923107
1400000US26065005800,0.0140084677797723,-0.0434924605417905,0.0917583272591686,-0.0537894653853015,0.0749771037662161,-0.1115259060716725,0.036004276676161,-0.0150909429408555,0.0305076715668925,-0.1223601900896179,0.0718978445293824,-0.1868434458337779,-0.0617365855303083,0.0100565299780472,-0.3402704244484459,-0.0173560297750668,-0.1536299175925964,-0.0283481366338487,-0.1216428808695655,0.0591789811152933,0.0554412846525534,-0.1040620556880888,-0.0132304100637536,-0.0833707799131851,0.0153328026765189,0.132989007381037,0.0064344902127044,-0.0013440666699678,0.1885655581252753,0.0054101745945815,-0.0682613792315689,0.0225216652082386,-0.057883809798377,-0.0485894048810318,-0.0656070407030262,-0.0367176963102436,0.0051684619628257,-0.1048893070667849,0.0061959211706909,0.0142370904976054,-0.1193727319294652,0.0246448662627485,0.0475987815786306,-0.0662424361466035,0.077197494220197,0.0656625086644783,0.1756993136697901,-0.1122360181296729,0.13558543637592,-0.1287758470817904,-0.1136633111637236,0.0654278933285611,-0.123842294541092,-0.0187241507963364,0.1373459853488793,0.1747487982712291,0.1606444057440708,0.0277721874116177,0.0034504299311298,-0.0746639203444708,-0.0191724700490086,-0.2116829358927842,-0.0634336749840546,0.0953669138099602,0.05397,6015,18.528667,324.63209576814137,5.785768203496744
1400000US26065002200,0.0696325251697311,-0.1762528890393684,0.1429611578737214,-0.0341454948211855,0.0844300528672909,-0.0512218240580775,-0.043980733095391,-0.1470946043672153,0.0334088396013366,-0.1354261884994111,0.0832734505522247,-0.1961370891617722,-0.1464388941717493,-0.1121355601670511,-0.3408152096413158,-0.025623576897784,-0.0345343939550813,0.0909658812234142,-0.0117830387558394,0.0679272187905334,0.0711435348469667,0.0096224900042602,-0.0893287386888649,-0.0900969627877473,-0.0346057200151061,0.2658921191297293,0.0654257691457114,-0.0039526601485206,0.148604576241857,0.0422188629694311,0.0020716783037935,0.0046051855447542,-0.1219240380936724,-0.0508701599104578,0.0761758260726472,-0.1099496579153011,-0.0884520730809365,-0.0682341878758402,-0.0328502908377021,0.0184819180370597,-0.2293139159891251,-0.083864723735477,0.0461775106521866,0.026733410448021,0.1779262575251322,0.1251051618032048,0.076473454479634,-0.114826067142186,0.1640604609957892,-0.1366721110160138,-0.0690131038376463,-0.0245616537552037,-0.180734049325788,0.0073495619217414,0.2258086314621074,0.0161636904018432,0.220095372005142,0.0699057545132764,-0.0131424181552144,-0.0500083756980613,0.1022180526521273,-0.0828515502844425,-0.1281481025349292,0.0769180258150458,0.0,1707,0.88029,1939.133694577923,7.570512164413751
