cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_trans,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US27137015300,-0.0028193452590383,-0.1921585943599572,0.0654499700657202,-0.1181763777785385,0.0055768481749164,-0.1325067053829902,-0.0933560473031583,0.0718978233587861,-0.0044447263482968,0.0002835145560298331,0.0932192995986115,-0.0777056261521621,-0.0869005651647087,-0.0737073281173105,-0.2546105045436722,0.13525957413716,0.076711601347582,0.0218438113294079,-0.0056030508710457,-0.007649881621136,0.0511319631943215,-0.0485915333340685,0.0263514167213242,-0.0703682782246765,-0.046331512969273,0.1164081521214657,-0.0633882687507682,-0.0383209751678679,0.2265663002538374,-0.1311800280351943,0.0428355078124958,0.0291196889983167,0.0583737024450194,-0.0080256431283159,-0.0665927386837783,0.1019410660349421,0.0718001696167275,-0.0434781482000774,-0.0530353980240054,0.0726522998631317,-0.1796126698031716,-0.0222049010810159,-0.0876478070384433,0.1473019047467028,-0.0060694019452843,0.1700947907051622,0.0609774561755306,-0.103940041773473,0.1087874680351861,-0.201007377163478,0.139655708393612,-0.0309088203317269,-0.0981045848142606,0.1525090416898333,0.0893199452062459,0.0508193004028226,0.1268119203500817,0.0157746345873754,0.0360627365200459,0.0051649142105847,-0.1174321597210031,-0.0161918566941773,-0.0156551107959037,0.0664213374171913,0.0,3338,7.300553,457.225637564716,6.127361721236104
1400000US27137015600,0.015860888105583,-0.2154677404524171,-0.0031694126053883,-0.2011271032385101,-0.0058146266202452,-0.0481279628707768,-0.0974104063475355,-0.0380230683199671,-0.0512957216007783,0.0463507847298861,0.0455916171878629,-0.1366482051226321,-0.0171291094533302,-0.1320496844152477,-0.2006833458705229,0.0586483914618635,0.1050518557452145,0.0270892140187965,-0.033002362346915,0.0540924118990855,-0.0239965226015616,0.0071646471870426,-0.091972193807819,0.0002899525114380761,-0.1466375742283315,0.1375200238585737,0.0591633992338341,-0.116689505314917,0.2163664156438743,-0.1392913361338376,-0.0427629673011201,0.0793537623666132,0.0146087452727595,-0.110870310400389,-0.0609282566508504,0.0856340156175884,0.0708395466219786,-0.0970672422730412,0.0048524706859078,0.1580530541617937,-0.1656919308676832,-0.0569625247453585,0.0374190437690838,0.0146192452948418,0.0515400688864629,0.2076125526719058,-0.0137393018079026,0.0067210462412564,0.0711111792530792,-0.1940734064682118,0.0904654835045712,0.0029856496109464,-0.0692870990422212,0.0929467266372985,0.0463240966102893,-0.0395605461158021,0.0634099339550339,0.0747353438071823,0.0418116253040957,-0.0116135263784688,-0.0501994819909228,-0.1184105403338605,-0.1190998579660458,0.1389995271224978,0.0,2731,5.105229,534.9417234760674,6.284025430301743
1400000US27137015700,-0.007870889403625,-0.2623826496599218,0.0805595051191278,-0.0887915057146146,0.0401827475264853,-0.1780715453193674,-0.1300543136877414,0.0081857934682197,-0.0358680656973985,-0.0469456528728795,0.1232663684173271,-0.0739362180638256,-0.1437001933548366,-0.1149044119183518,-0.3020659492978669,0.0724472162967519,0.1097889660508165,0.097235166939953,-0.0113251851133493,0.0419931731952147,0.0459792101641183,-0.0534098189712213,-0.0461362260458422,-0.1001687840721002,-0.0091124811768415,0.2077170314257707,-0.0464845354743141,-0.0496032015740517,0.2018079499614016,-0.046880257898305,0.0326140543078891,-0.0370290508921612,-0.0576505241250425,0.0008747955483562085,0.011508687599436,0.088645979903688,0.0363442765822524,-0.0775005094443953,-0.0072005193902279,0.098263586814853,-0.1855886287434711,-0.0236678638452026,-0.0616574347757689,0.1070983286915372,0.0631461921327293,0.1202137039742409,0.0973541905021523,-0.1381778390081819,0.1642612607365225,-0.1931890756903302,0.0808970733867788,-0.0233033891768879,-0.1091908696288118,0.1516875998713725,0.1576025659005205,-0.0041229658492479,0.1754500978833763,0.0701700713920154,0.027749847202617,0.0270121717327171,-0.0257136505610578,0.0104790726150855,-0.1112474738312887,0.0100119611676513,0.0,5136,1.874979,2739.230679383609,7.915797385394436
1400000US27075370400,0.0012966106614239,-0.1332449406266484,0.1057584206310435,-0.0883923156332748,-0.0260340046000655,-0.1738234651030016,-0.1234236675901525,0.1341958232711724,0.0214193951469137,0.0058630587366863,0.1432482403208754,-0.0394286379167244,-0.1245770142667748,-0.0509444982828149,-0.2691893066226269,0.071182231220501,0.0283024574598639,0.0475335293866402,-0.0285690427251959,-0.0126312408778911,0.0634081870223277,-0.0437673637011545,-0.0020759990646801,-0.0450413133864392,0.0349692672387105,0.1411855949949771,-0.1321295213220822,-0.0256957575694783,0.2562139848581294,-0.0589719229290257,0.0555225113781074,0.0429087769974567,0.0197630601957736,0.0359167293492586,-0.0708414357855701,0.1101012102433386,0.1003123457537456,-0.0738736989339175,-0.0311133759049952,0.0351197557127268,-0.1833982551208906,-0.0092377811840338,-0.0940937254506129,0.1563548295837739,0.0111357219347557,0.1004108507770425,0.1556184023363211,-0.2139378322215559,0.2150406073011303,-0.2045454184754195,0.0610507379773871,-0.0372465104270884,-0.0289535715507291,0.1400111214080856,0.0588345905200933,0.0699956784331271,0.1894938680703235,0.0407967701763282,-0.0053974158837627,0.0064872932547637,-0.1111329091545359,0.0012277175874511,-0.0004797047109464212,0.0267386962413192,0.054126,3677,18.475386,199.02155224253502,5.29842512195489
1400000US27017940000,0.0198040614350798,-0.1042239675080673,0.0695246690187771,-0.1238031061430882,-0.0496972036117257,-0.1968719870181977,-0.0555262752478676,0.1753937307398025,-0.0044392127075448,0.0512363458846394,0.184941051526857,-0.0842819709711082,-0.0371365913804336,-0.0612803824277733,-0.2530469810576091,0.0910521088840421,-0.0511816132125138,-0.0383821975650241,-0.0478040872121346,-0.0669543652507045,0.0516224517702966,-0.068089090683119,-0.0071755690444158,-0.0806817347643011,0.0836884652719402,0.1010043018212096,-0.102446938774993,0.0329256845392181,0.2188796553584643,-0.0330760339343947,0.0232132901354887,0.0387506831146218,0.0092992168061365,0.0197605177916762,-0.0502299563171693,0.1083278233171703,0.1190226054857679,-0.0772841234140403,-0.0581392163368339,-0.0546180074795892,-0.1519034984359009,-0.0158615536088713,-0.1079378661281953,0.1427136492946235,-0.0202808875398953,0.096805667483269,0.1368888178762618,-0.2505470256711505,0.1762368307369957,-0.1554326612669415,0.053086964459363,-0.0549810465738698,-0.0435789675633772,0.1064480492825632,0.0467859097152775,0.1919875044398457,0.1694166940235055,-0.0127033604456847,-0.0285475616142021,0.0079007275417322,-0.1604134029432575,0.0461959244197478,0.0381039140891645,0.0711349744563154,0.0,2902,213.35637,13.601656233652644,2.6811349629415253
1400000US55031020700,-0.0056210679539123,-0.1291876403193386,0.0341428261650837,-0.1282256732846222,-0.0275410043522788,-0.1602764449755335,-0.0815716785550378,0.1702530627018056,0.0156863548990603,0.0443055016516886,0.1472833936876919,-0.0870005238531853,-0.0595003305478038,-0.0619428438726121,-0.2330377993064105,0.1818047336801242,-0.0097028930061172,-0.0523978781565656,-0.0747583836082607,-0.0081041884511941,0.0527120788931756,-0.013744225050385,-0.0331931368577333,-0.0265040459404744,0.0011866158983561,0.0963551024262442,-0.0380713050915271,-0.0270113758341266,0.1995460638094898,-0.11058925562126,-0.0418976078179421,0.0731003264409485,0.0039594406317249,0.0008494835273920163,-0.0323326067423332,0.1079394545326923,0.0908150144333906,-0.098163716497663,-0.062617085488615,-0.0159893688894537,-0.1646667267666913,-0.020768442238197,-0.0219468225617465,0.0945883066265708,-0.0308522712001062,0.1577444366919409,0.1237890276429812,-0.1534996683282641,0.1059014583588905,-0.1936997451362601,0.0707779349596328,-0.021946789056018,-0.0365750497040936,0.1315930149082683,0.0149652915867491,0.1431016666072101,0.1308516207760035,0.0277186412276355,0.0191630044465338,0.0101288093861363,-0.1306468874567063,-0.0306681652367495,-0.0057707058352026,0.1018419928640281,0.0,3956,28.227983,140.144621739357,4.949785050816325
1400000US27137000302,-0.0503560534485176,-0.1489826558464958,0.059299380961993,-0.0861513078368088,0.0219607095846266,-0.2062644860983972,-0.0898767589919929,0.1104220100917115,0.0140553334178669,0.0289045605458498,0.1593322311151689,-0.0803543050796707,-0.1077163336671639,-0.0750077611303799,-0.3359425363056072,0.1700710601425745,0.0278738125894874,-0.0192289807220027,-0.1188049611558195,-0.0264042484370243,0.0453495583988929,-0.0313811659576385,-0.0258343206544477,-0.0770600346624209,0.0390565304515442,0.1272643124733388,-0.0796953956210874,-0.0145572373773885,0.2017073040074647,-0.0400494732381832,0.0016607539287839,-0.0207456266512306,-0.0132484194083706,-0.0161163280515717,-0.0148649905354026,0.11245872441826,0.1100305552541723,-0.0817123728518247,-0.0549619141267854,-0.0310774482536143,-0.1038955550516378,0.0013358353071043,-0.0863143389116761,0.1176181728023457,-0.0076956828437007,0.1251195552440496,0.1598996990579353,-0.2281590594874483,0.1435537429010737,-0.1855244631110584,0.0819831684926806,0.0007738236070667074,-0.0657796139651444,0.1422305948986588,0.0750841188753774,0.1329116360403784,0.1632091038748442,-0.0205573646781565,0.0323153137839217,0.0209011494693541,-0.1222293264981234,0.0296378719706066,-0.0335023149729405,0.0252909534036777,0.0,2947,31.554153,93.3949962149198,4.547488065548693
1400000US27137001400,-0.0042064369804376,-0.329240157039941,0.0689123217802464,-0.0769958336525764,0.0322363782987675,-0.1357109190109546,-0.207984039578488,-0.0450582213716829,-0.0930988681250226,0.0190289233940401,0.083117254046499,-0.0860431619435315,-0.1004514879253611,-0.1292954012869537,-0.2812652368540856,0.0051767389069364,0.1209771310709697,0.1381833047693098,-0.0004861746204088196,0.0528230956408556,0.0027948072152091,-0.0253293668886075,-0.1031211004337781,-0.0600828668722704,-0.0497328423015607,0.2798773495333505,0.025461174718312,-0.0268711576604562,0.1531131930011942,-0.074362055191857,-0.014188186102573,-0.0303803790205742,-0.0980547561732433,-0.0698169958741019,0.0244395158446154,0.026388378183962,0.0327402260382595,-0.0535669919095507,0.0284763801706762,0.1897479267556906,-0.1859198178014321,-0.0510663095231674,0.00476716211233,0.0843622646270733,0.1121758379038006,0.1758048529919249,0.0903046334050616,-0.1040472103094369,0.2313738421449425,-0.2140770048942557,0.0738303061807348,0.021955669312139,-0.0367002690558075,0.1342225524144078,0.1569624924901315,-0.0702847328581228,0.2104121947877562,0.1124896572051264,-0.0070856128285927,-0.0130216777989602,0.0415515245008285,0.0247736084735875,-0.1303606000871702,-0.0038959367909455,0.0,2389,0.634629,3764.4040849062994,8.23361046114324
1400000US27137002600,-0.021652919612406,-0.1617707823583981,0.1338556539549378,-0.0520062015118055,0.0396792601521542,-0.2003769558566855,-0.164435036235186,0.1055370877462021,0.0325333408374199,0.0045763702825373,0.0577255889092857,-0.0479334006751095,-0.1575989038735735,-0.0681115280335289,-0.341844717105337,0.1449207329298886,0.0834289748392828,0.0877927778581838,-0.1082315595980635,0.0762915770190498,0.0578155935453273,0.0109647491514679,-0.0252900491520488,-0.0330342552070088,0.0168420261113914,0.1531276361490119,-0.0903936786670555,-0.0594172569212225,0.2211255760389313,-0.0494361330240871,0.0001893511340200824,0.0140305463301954,-0.0628379579382939,0.0068071478107075,0.0219142231140904,0.1175767718851368,0.0805583801797024,-0.1105707043101059,-0.0634496900998377,0.0414016313034068,-0.1495956826831824,0.0248288196728466,-0.0619940043722492,0.0792141361508192,0.0255110239465677,0.1570232686758877,0.1851481620258389,-0.2298133198228813,0.0767245709557422,-0.195860193994427,0.0899339513813995,-0.0234149142017331,-0.0519957857473859,0.1630780318784611,0.0804384917899591,0.0495736805354944,0.180199087393088,0.0371427668221169,-0.0044001709008621,0.0175645834607433,-0.0437266149837269,-0.0066354793781381,-0.1399028737575083,-0.012022872553773,0.0,2115,2.035311,1039.1532301451718,6.947123317960486
1400000US27137002900,-0.0626804575770345,-0.0958445451043649,0.0774320474488581,-0.0445740561267788,0.032858252405462,-0.2456581259635757,-0.10509694504094,0.1593904480868787,0.0891365566892498,0.0276003809434382,0.1601920455406531,-0.0462252664899516,-0.1470745380068657,-0.0721973191670268,-0.3539010727374751,0.1725594809957126,0.0393182261381065,-0.019490733067011,-0.1589312569194017,-0.0263214923907568,0.099687378275184,0.0051371886913026,-0.0107815938325117,-0.0572464154169031,0.0526001492915757,0.1160188207944162,-0.1147366550820293,0.0069203991482501,0.1978540468179143,-0.0138777868775165,-0.0005354663442768564,-0.0036513771598257,-0.0075567111363248,-0.0211316199057686,0.0604912527443248,0.07965943505728,0.0914703118775819,-0.1153831964784508,-0.0472186603681714,-0.0528648062733185,-0.118922695991065,-0.0058557454185596,-0.0516542548316698,0.0823272865031365,0.0121733707201022,0.1479339728671072,0.1953180557638825,-0.2698883436365146,0.1315021046986339,-0.1678660600649048,0.0702900432459098,0.0263495245522573,-0.0737532835481528,0.1433238609000409,0.0792297457558083,0.1532058556694684,0.2043251900510707,0.0086507537968119,0.0219779803292975,-0.0010549781835072,-0.0966881136191808,0.0216937758549763,-0.0670104910786649,-0.0014072111932643,0.0,1478,4.889872,302.2574006027151,5.7145819518222245
1400000US27137003400,-0.0104455033644318,-0.2259873758240007,0.0592115699293862,-0.1425230227610865,-0.0064647585147188,-0.1209743157045887,-0.12001608890869,0.001793481562681,-0.0356623577342492,-0.001726442331505,0.0763281296879795,-0.1193666293858053,-0.1006167915095398,-0.0779073835914318,-0.275161487923152,0.1519405944482835,0.0848495884576198,0.0217143351905938,-0.0520639342480952,0.0603612090464579,-0.0024748287410069,-0.0184090625151072,-0.0456121167367263,-0.026794705337795,-0.0822309961484808,0.1630786468187176,0.0085307710282506,-0.0978541531653349,0.2264390494456865,-0.1123718269026845,-0.0287368417772772,-0.0041963963926544,-0.0351144054738644,-0.0490276092342997,-0.0254306499945791,0.117777577756847,0.0692278552851521,-0.078641238091656,-0.0502592228371705,0.0749987128066514,-0.1975223943655652,-0.0172112821516542,-0.0336922342195697,0.0780039940591342,0.0157833737282098,0.1817243335433288,0.0835996341546939,-0.0814688401790761,0.0993103944803179,-0.2164121983519446,0.095331044667887,-0.0201622260216303,-0.0693697492361641,0.1552319357524915,0.0739309474848765,0.013269340307602,0.1175749822883651,0.0486889021052535,0.0423119340176715,0.0321417640470304,-0.0669791782012347,-0.0513626707161462,-0.0960059360528762,0.072677569554276,0.0,1452,1.868541,777.0768744169917,6.656825329601592
