cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,ndvi_mean,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US13151070206,-0.1003946399836194,-0.0868745969671395,-0.0549861124129423,0.2027451082192449,0.0364543806866297,-0.088647391573769,0.0122289948035441,0.0394035689666473,0.1384436707704583,-0.1080462498803799,-0.0588597330850812,-0.0784509040340968,-0.2554027914832173,0.0238039173416393,-0.0650655500196143,0.0646947509718588,-0.0989810157527968,0.0673808290929509,-0.0723902177652772,0.0126223626991169,0.0353804776346016,0.0460972673864449,0.0161038165259327,0.0938158960157735,-0.00021202655922574403,0.1509234571194923,-0.1778918818179692,-0.1271375695288683,0.0385091533158457,0.1191355670886199,-0.0442382958183704,0.0429660770355303,-0.033761501522533,-0.0539109731430809,-0.0933928276211974,-0.1207897494027789,-0.2386631430652638,-0.171001489845286,0.0343118791044575,-0.0406036295944317,-0.0636505411338832,0.0270860142047323,0.1612588595775886,-0.0213384756422948,0.0292140571652529,0.0939532817440157,-0.0319181066537756,-0.0983321031646036,0.1444540737255144,-0.1461811358179739,-0.1702916927334554,0.1011226449696375,-0.1106034577921163,0.1783396512136342,0.1473592339520773,0.0529152510199377,-0.0578517081808291,0.1996287903919508,0.0515719098097714,-0.1274522541934967,-0.0132193712094355,-0.1537789089811187,-0.0178015144775954,-0.0088106875110728,0.7256835113896865,4167,15.20069,274.13229267881917,5.617252046278859
1400000US13151070113,-0.0794189433937351,-0.1424306370771923,-0.0535267233213278,0.2194992091514828,0.0423654331645214,-0.1268149414898247,0.0020092453990725,-0.0127771313160496,0.0933700878960371,-0.1153650121612531,0.0105679788055416,-0.091822218628529,-0.2784616174102655,-0.0144515571898855,-0.0797042837072477,0.0584802250326666,-0.0887159039515572,0.0741173273760913,-0.085614194311815,0.014292551531028,0.0488680220376556,0.0667251962525894,-0.0372191279567305,0.0676948046705658,-0.0251659439776414,0.1684325423977606,-0.1188097616326971,-0.0745234079301378,0.018409372087565,0.0955167977901976,-0.0250829693901043,0.0132541328649495,-0.0724987418244553,-0.0185577761059945,-0.0554062377645684,-0.1457345779552032,-0.2236085810370108,-0.1491891035577223,0.0101580817292054,-0.0450811561104751,-0.112700368113979,0.0048783579785755,0.1565500499867342,-0.0018594427926677,0.0413865142840718,0.1283349180442777,-0.0113861660003689,-0.0817435215649873,0.1769137338698777,-0.1446337550775222,-0.1648128026641615,0.0804575233466909,-0.1388594354880501,0.1814382534283215,0.1795017605202087,0.0116081556870222,-0.0236700958108667,0.1779460075758522,0.0618352940196938,-0.1309249939232575,0.0191769709078415,-0.1610757226029528,-0.016255846667314,-0.0149113364195915,0.6820155014567862,4699,6.738304,697.356486142507,6.548729697519213
1400000US13151070410,-0.0567235059570423,-0.0712665025096261,-0.1029560486330007,0.1620698062499515,0.0259102222484892,-0.0947177278092869,0.0173518054361313,0.0831700293614678,0.1298859961319929,-0.0629807267234758,-0.0550805058998837,-0.0499664202579315,-0.2110119842767828,0.0216072620734409,-0.0490531920980418,0.05344861621316,-0.1001096198396886,0.0177252771213555,-0.0492899979860114,-0.0205434516799578,0.0059086093872596,0.0336908354154794,0.0057100482163918,0.0999931420538728,0.0124783272569132,0.137257198573742,-0.1798766935104078,-0.1024280496799901,0.012472949301984,0.1365789928230185,-0.0345211265896215,0.0638763342790658,-0.0175604418786046,-0.0754956413894089,-0.1064262150125691,-0.1106371222533164,-0.2265461272637103,-0.1624762108400333,0.0902225456691881,-0.0088136927283485,-0.0845446227978745,0.0334176449080712,0.1850753441797032,-0.0260962168259936,0.0260596070440489,0.0789234768818779,-0.0491699156961365,-0.1014110641353795,0.1393492588979639,-0.1502497429450726,-0.1573305461534601,0.0658389953115473,-0.0854032414270468,0.1593746693710885,0.1171478380615757,0.080258440845444,-0.0735007481124691,0.2066240083817009,0.0438100099400783,-0.1236882319331623,-0.0265780097380373,-0.1351546079082549,-0.0135539195421426,0.055834472323713,0.7033593354587422,4692,39.912482,117.55720929607936,4.7753956229448296
1400000US13151070126,-0.0713016818522247,-0.1056602668862568,-0.0650136154820835,0.2134752324618685,0.0220794278763564,-0.1451326693308102,0.0122744178792045,-0.0021754106468826,0.0826295188398212,-0.0991588144270845,0.0022104194577559,-0.0815510334049322,-0.2659666149882047,0.0007434761155268016,-0.0838607620969296,0.044532868898716,-0.0985157008329992,0.0547657260701696,-0.080856633505324,-0.005153294399734,0.0213771576521111,0.063889065297549,-0.0469711274828571,0.0678821390930257,-0.0057613669442833,0.1620696318527614,-0.1368420480643891,-0.0901679884172214,0.0244478943321769,0.1327672930058989,-0.0170308195823739,0.0165652481624868,-0.05745196834659,-0.033808458360673,-0.0809405138852741,-0.1314076080219338,-0.2109325260515833,-0.1373351605506364,0.0173606950651504,-0.0726471538653773,-0.1154970835606044,0.0126113714749986,0.1518514975310262,0.0108423509994962,0.0558115204576759,0.1157048670425016,-0.006059767520121,-0.0948931209738066,0.2074596839119805,-0.1435548296588576,-0.1785953102383503,0.0569362774186034,-0.1128100504873434,0.1733131127931799,0.1745050437603329,0.033628187962627,-0.0296895717647438,0.1629267206749352,0.0601583891229439,-0.1418254270509402,0.0048071245837736,-0.1610592044073669,-0.001669702835284,0.0065320805865272,0.7269304492038947,3017,6.748104,447.08854516765007,6.104990858349199
1400000US13151070119,-0.0636687413961757,-0.1630923097004722,-0.0475785784184393,0.1986411316411847,0.0282865880022538,-0.1491619628486553,-0.0133314615249784,-0.0338604887157833,0.0661027987234467,-0.1000499398867642,0.0060885451650314,-0.0850956757879388,-0.2683511348769258,-0.0404116328767519,-0.089553025132039,0.0293088460888508,-0.0915916405855092,0.0719577953895029,-0.0805312713899592,0.0068520434078594,0.0197153519971999,0.0656860549743916,-0.0501970523401833,0.0576796313675228,-0.0279637343329861,0.189439437296984,-0.10667111305168,-0.0666802664223921,0.0236903715616107,0.1135312270776488,-0.01524810488188,-0.0069712250768327,-0.0655122450759094,-0.0335539134310465,-0.0640153598758395,-0.1468652354830726,-0.1989852592388447,-0.1457655138952044,0.0278787235216118,-0.0299725556402823,-0.120751958789335,0.0063307082357156,0.1469506330651015,0.0068714155069503,0.0556685268258259,0.1124430112913525,-0.0169478757773289,-0.082692987103991,0.1920064152970572,-0.147884435789821,-0.1554462064718987,0.0639831793640852,-0.1342389100347872,0.1703486701976466,0.1716201433008551,0.0061851347150582,-0.0175165588823932,0.1596570425350218,0.048532975566593,-0.1267154649498429,0.0178404530853047,-0.1495308906002297,-0.0410978044308955,0.010625745080706,0.6811471315573108,6673,6.60238,1010.696142906043,6.919383550716728
1400000US13151070313,-0.1186432684834615,-0.1147144965651075,-0.0320862756324485,0.1725410197287024,0.0102713872911331,-0.0898677196428832,-0.0090078404992005,-0.0215486751898039,0.0750837473021807,-0.1059221207331823,-0.036711399257626,-0.0951923049615392,-0.2436112438476441,-0.0024625824260311,-0.0781762932889119,0.0313235564973459,-0.1027742164555093,0.0607122008513357,-0.0756372126660815,0.0061814270038259,0.0087281026311517,0.0378823747315738,-0.0185810969211155,0.0717569268208282,-0.0429227440007096,0.1517495544232555,-0.1230179320002594,-0.1243500243819646,0.0239057548635534,0.1199528877985788,-0.0385641750603226,-9.548944666259468e-05,-0.016880881524069,-0.0498321307521502,-0.1284941412308126,-0.1159351373576524,-0.200458255594775,-0.1398991274885914,0.0218764717871812,-0.0203479037324633,-0.065336984781458,0.0336967511749365,0.1289881464088204,-0.0038411066890664,0.0545017846012898,0.1124304962362875,-0.0314793902351224,-0.0876723271021937,0.1686165327669259,-0.1443366519017835,-0.1643862767787711,0.1164654798103621,-0.1115264472102494,0.1552487740947549,0.1590375254477147,0.0240241170176368,-0.0734675876723819,0.1769466899085553,0.0849092877904997,-0.1471379458948076,-0.0247751472035616,-0.1506012971797649,-0.0095223928686356,0.0104008936720622,0.6608357631040791,8180,22.557988,362.6209926168947,5.896112096106703
1400000US13151070506,-0.1315620101542598,-0.073497079959745,-0.0310632276922751,0.1530485817244289,0.0164650776297838,-0.0833102739152849,0.0016036783451569,-0.0024738727712611,0.0576145876870448,-0.1180525007915078,-0.0607163525003245,-0.0761422586129767,-0.2316086372028536,0.0098355824768824,-0.0809448489157675,0.0384481250828589,-0.1245781725985869,0.062658628804,-0.0798006603438769,0.0065341037632822,-0.0149135769524263,0.0454409420956175,0.0034912009193755,0.072708897434521,-0.0266871454974935,0.1157055090621936,-0.1190379757237205,-0.1369202958722762,0.0177966265176295,0.1068114114390025,-0.0567832981050874,-0.0024179849270385,0.0233026665670831,-0.0497627442974011,-0.1571039254786055,-0.1218031845923865,-0.1772361276116801,-0.1441824778351213,0.0214560681363623,-0.0132497329958069,-0.0312335234404299,0.0444321237259724,0.1276629304394184,0.0047438198174176,0.07546410753389,0.0986715168701074,-0.0340207551507721,-0.0845741943093646,0.1827598777084378,-0.1319459356857232,-0.1662978329843348,0.1194001778186157,-0.0970014584420524,0.1253075870752211,0.144376514186499,0.0692459659982968,-0.0895060358920656,0.1733134087374857,0.0685941723357745,-0.1453651285037141,-0.0623194294812106,-0.1346591898040505,0.0073057147199573,0.035724836252752,0.6856253122279201,2561,19.121994,133.92954730557912,4.904752770405415
1400000US13151070121,-0.0916420687641179,-0.0645942398400161,-0.0831761917154049,0.1972946999038785,0.0558716767852201,-0.122575578201419,0.0277630829184757,0.0630348012885926,0.1586372037366383,-0.1025541605384422,-0.0060880911761757,-0.0855900102268081,-0.2530641159574927,-0.0021409646828398,-0.0684593326989188,0.0771617068327355,-0.1085658068783566,0.0480464198232375,-0.12181366787004,0.0067243341187851,0.0527165683147229,0.0752565377180825,-0.0260593763245393,0.103582169011384,0.0158550058749308,0.144796928054687,-0.1649826921052144,-0.0993755900686182,0.009995389611211,0.1131810028667568,-0.0580990399695394,0.0487324201519723,-0.0604453047396396,-0.0363370083132361,-0.0263401153009532,-0.1484549891554913,-0.2441431843236726,-0.1760124366692603,0.039172731278409,-0.0838225694198748,-0.0910627414800518,0.0184943600114157,0.1890929725510388,-0.0390943496963712,0.0198017628938647,0.1083946280374832,0.0081195763418876,-0.114144462751318,0.1534353671626748,-0.135548490824023,-0.1704514123041237,0.0836510120985386,-0.1060513024241786,0.1856860368293448,0.1459935487090225,0.0752099635638406,-0.0388923529897094,0.1868529566998204,0.0429190434641306,-0.10261123658113,0.00032720437891177483,-0.1756512103313105,-0.0294744711744746,-0.0160224840970113,0.758771015648047,4338,15.164382,286.06507010968204,5.659708915182208
1400000US13151070316,-0.0890625577510315,-0.1737857637918633,-0.0280020492056401,0.2112824837619985,0.0262268690126396,-0.1140685506651187,-0.0300939326670338,-0.0637856593392294,0.061938638798043,-0.1111154890440426,-0.0026492048070656,-0.0910282679807514,-0.2666930565913192,-0.0270902981413616,-0.0941201604057108,0.0239663627993657,-0.0855914189395813,0.0817511599316142,-0.0859169495461702,0.0016145029816588,0.0161024313649896,0.0491084595783382,-0.0303820573217447,0.0482245081896385,-0.0503061872362113,0.19884595376001,-0.0949826673345756,-0.0740401968686193,0.0185706615515082,0.1084699365089093,-0.0141124244885371,-0.0108325012345846,-0.0347287507159581,-0.0389753484733949,-0.0772787113862845,-0.1467856986305848,-0.2064741350395728,-0.1358650406903066,0.0266457487601533,-0.0076982991225216,-0.1042076892559975,-0.0055830657790945,0.1434779923498991,0.0080583458326644,0.0634254120798255,0.1385313512132878,-0.0277722876319156,-0.0697223251246856,0.1894446063463101,-0.1549427809459016,-0.1343822781787876,0.1034451426020294,-0.1441915622764259,0.1630918170214964,0.1844242156559744,-0.0293942787031714,-0.0358111324538068,0.1481634614422845,0.0871224927728829,-0.1555727421229029,0.0288040938533767,-0.1421117199822782,-0.0124985667168123,-0.0099216332254951,0.6321297738207478,2601,3.71731,699.699513895801,6.552079141635418
1400000US13151070317,-0.0866331066470933,-0.241906155961007,-0.0057492440611492,0.246866595804017,0.0132271978998136,-0.1244848169502544,-0.0401897125469229,-0.1135615815626317,0.0058174008283903,-0.1210314376479877,-0.0218609555654191,-0.0946523078575202,-0.2716956057514518,-0.0591066057885675,-0.1146310541955515,0.0185570966715032,-0.0716239541451101,0.1057950684341333,-0.040515872227284,0.0269989728064589,-0.004063675484356,0.0619980117050026,-0.037578989272469,0.013013360558717,-0.0680948389933127,0.2324442260995525,-0.0522657251493395,-0.0717244415773758,0.0370659296258168,0.0952683434151056,-0.0099039533631381,-0.0446331863290255,-0.0720280644799028,-0.0291635205458369,-0.0867767728025835,-0.1342159985370695,-0.1492161152168299,-0.1329460988059704,-0.0158432610775739,0.0120723409877786,-0.0858116763368829,-0.0166075607345349,0.1228068036337542,0.0469857466565371,0.1018782177283433,0.1311886536448741,-0.0573175492801822,-0.0655100095391169,0.2030111733329034,-0.1551027902253549,-0.1346130095166384,0.0823900887919763,-0.1610557153211339,0.147647243761706,0.203064946277418,-0.0640080685767556,-0.012842561509087,0.1343893234482607,0.0796753545807521,-0.1864254250897328,0.0451906423494849,-0.0903649109588781,-0.0176292434186582,0.0064822224166556,0.5880510076830157,5583,3.152297,1771.0894626997392,7.4799146167414765
