cb_2020_3,elev_mean,slope_mean
1400000US36091062409,91.2471689776626,1.966936456419402
1400000US36091062410,90.39038671241009,2.75020650386081
1400000US36091062501,78.57132577399442,3.2923880986421916
1400000US36091062503,93.10333832166133,1.8547721188642632
1400000US36091062505,84.10169983012459,4.025622796219975
1400000US36091062506,84.34687090915813,2.5316936041438347
1400000US36091062507,73.89362872263062,1.9693355113170705
1400000US36091062508,87.58439898350942,3.8060840998824137
1400000US36091062509,89.17060374605352,3.2248873172178487
1400000US36091062601,103.110344930921,2.0050006594059746
1400000US36091062602,99.72029633144558,2.2516629314255656
1400000US36091062700,45.862059820766305,4.2561007308999255
1400000US36091062800,11.961131309704086,2.464609415810688
1400000US36091062900,442.3597616860104,7.393645874121597
1400000US36093020101,117.92822030700087,2.211294311173046
1400000US36093020102,107.06171312881727,2.9038096730363256
1400000US36093020200,76.29887044475538,2.1398314124031765
1400000US36093020300,71.43799047261567,0.9177796499051725
1400000US36093020500,114.37108628693424,1.1413445549153833
1400000US36093020600,115.71575065367577,1.9720840352569893
1400000US36093020700,115.17741045051238,2.384080168735551
1400000US36093020800,99.57883098385261,2.8802978731854534
1400000US36093020900,101.87787598568207,1.565086739851143
1400000US36093021001,76.86825272671855,1.966288601303725
1400000US36093021002,96.54110681799907,4.80688846310914
1400000US36093021200,102.4019324219594,3.622587100084752
1400000US36093021400,96.1598167701701,4.088362390337981
1400000US36093021500,100.20356820456558,2.478376526119699
1400000US36093021600,103.04716164859823,1.1989907895661052
1400000US36093021700,105.87140448202285,1.7183765237072999
1400000US36093021801,122.3712748569014,1.8088748081954966
1400000US36093021802,111.17181500601325,1.5822056476153046
1400000US36093031901,99.7105678822698,2.2777060066103476
1400000US36093031902,122.81228190137806,2.188722310491361
1400000US36093032000,111.73689417566483,2.5521134998276875
1400000US36093032101,105.97538864503412,3.4484462857217397
1400000US36093032102,77.7586075179604,3.455646848899359
1400000US36093032200,76.94452972276473,1.4431088252773263
1400000US36093032300,77.02036177723453,1.4267655840919293
1400000US36093032402,86.66026700577835,2.0593668853806877
1400000US36093032403,77.13398874064387,1.6476638900329346
1400000US36093032404,130.65202303816932,3.0456352037082217
1400000US36093032502,96.51196899111325,3.1192398792247613
1400000US36093032503,114.0196066367137,1.9341649817381015
1400000US36093032504,207.8631320982365,4.864646163178542
1400000US36093032601,101.99488791954072,1.9785012399041646
1400000US36093032602,192.2893130577293,5.663881169025201
1400000US36093032700,103.41333828177811,1.3424803310870776
1400000US36093032901,107.14025695473465,0.7052576970546406
1400000US36093032902,103.57586863407032,0.744276220957082
1400000US36093033002,96.94597906615789,1.541505874488975
1400000US36093033003,105.21700025434505,1.0836223894839796
1400000US36093033004,101.18403342959108,0.5824707265513308
1400000US36093033101,248.27170908912274,5.396827925616328
1400000US36093033102,314.8035188852017,4.248344115991724
1400000US36093033200,98.98306597036026,2.6702705238952893
1400000US36093033300,100.50847456351852,1.8711998204777431
1400000US36093033400,98.77728413380089,2.1274292512483735
1400000US36093033500,70.86243536758943,1.5409641082168302
1400000US36095740100,283.6703180713067,6.033121553472987
1400000US36095740200,371.9785084881839,7.179314984865367
1400000US36095740300,287.7510008369521,3.1298506449920165
1400000US36095740400,395.53417281697295,5.790144394523645
1400000US36095740500,532.0914370783083,8.788560826829375
1400000US36095740600,518.7541798068935,9.33621303221878
