cb_2020_3,building_count,building_area_m2,building_density,coverage_ratio
1400000US36091061401,6.0,1220.48,0.098395,2e-05
1400000US36091061403,2.0,1127.04,0.131342,7.4e-05
1400000US36091061404,2.0,1968.85,0.156086,0.000154
1400000US36091061500,3.0,20890.51,0.026433,0.000184
1400000US36091061600,2.0,7316.67,0.023562,8.6e-05
1400000US36091061701,84.0,98780.24,1.649476,0.00194
1400000US36091061702,92.0,62460.34,3.730099,0.002532
1400000US36091061800,8.0,6713.13,1.806101,0.001516
1400000US36091061904,20.0,18780.39,0.711848,0.000668
1400000US36091061905,44.0,43729.82,2.027001,0.002015
1400000US36091061906,353.0,96382.18,50.137167,0.013689
1400000US36091061907,69.0,179714.24,4.458862,0.011613
1400000US36091062001,12.0,24404.22,0.268781,0.000547
1400000US36091062002,13.0,3589.56,0.221167,6.1e-05
1400000US36091062100,10.0,5949.63,3.069116,0.001826
1400000US36091062200,38.0,26161.46,26.588692,0.018305
1400000US36091062300,2.0,518.77,2.690675,0.000698
1400000US36091062404,13.0,22720.63,0.468822,0.000819
1400000US36091062406,12.0,11321.68,1.654547,0.001561
1400000US36091062407,6.0,4611.45,0.589335,0.000453
1400000US36091062408,6.0,3827.56,1.557505,0.000994
1400000US36091062409,17.0,59923.42,2.701685,0.009523
1400000US36091062410,36.0,52231.99,10.942402,0.015876
1400000US36091062501,2.0,9117.72,0.159462,0.000727
1400000US36091062503,13.0,5215.75,1.765029,0.000708
1400000US36091062505,8.0,32578.82,0.310204,0.001263
1400000US36091062506,328.0,70978.12,36.068288,0.007805
1400000US36091062507,313.0,94857.61,18.537937,0.005618
1400000US36091062508,51.0,143906.82,5.65755,0.015964
1400000US36091062509,38.0,60059.36,4.254141,0.006724
1400000US36091062601,8.0,9165.09,0.443467,0.000508
1400000US36091062602,30.0,22404.31,0.698145,0.000521
1400000US36091062700,34.0,32135.55,2.089071,0.001975
1400000US36091062800,2.0,793.41,2.730185,0.001083
1400000US36091062900,1.0,5452.32,0.010096,5.5e-05
1400000US36093020101,117.0,45199.99,98.539427,0.038068
1400000US36093020102,96.0,38185.36,112.293179,0.044666
1400000US36093020200,27.0,62443.05,15.006261,0.034705
1400000US36093020300,22.0,19155.41,44.896768,0.039092
1400000US36093020500,205.0,67898.54,116.706043,0.038654
1400000US36093020600,35.0,19212.66,17.298601,0.009496
1400000US36093020700,6.0,8075.22,4.317855,0.005811
1400000US36093020800,224.0,39486.32,191.001282,0.033669
1400000US36093020900,7.0,8921.32,9.491706,0.012097
1400000US36093021001,140.0,108525.13,319.531111,0.247694
1400000US36093021002,14.0,14133.26,28.156154,0.028424
1400000US36093021200,10.0,5609.22,8.961939,0.005027
1400000US36093021400,9.0,7474.83,10.587575,0.008793
1400000US36093021500,11.0,22121.49,12.924314,0.025991
1400000US36093021600,9.0,11458.71,7.137125,0.009087
1400000US36093021700,27.0,35916.63,21.261684,0.028283
1400000US36093021801,24.0,19006.13,11.594147,0.009182
1400000US36093021802,39.0,46900.45,11.634946,0.013992
1400000US36093031901,16.0,10238.91,2.755428,0.001763
1400000US36093031902,42.0,84931.38,9.358485,0.018925
1400000US36093032000,1321.0,265816.97,211.509512,0.042561
1400000US36093032101,1226.0,465914.8,91.219912,0.034666
1400000US36093032102,42.0,11174.66,6.81393,0.001813
1400000US36093032200,11.0,4782.18,3.213822,0.001397
1400000US36093032300,6.0,1470.82,6.429642,0.001576
1400000US36093032402,76.0,131196.61,6.690944,0.01155
1400000US36093032403,1.0,866.29,0.147436,0.000128
1400000US36093032404,8.0,8725.88,0.371167,0.000405
1400000US36093032502,16.0,14482.14,2.220279,0.00201
1400000US36093032503,17.0,24959.65,1.652641,0.002426
1400000US36093032504,1.0,312.24,0.015152,5e-06
1400000US36093032601,12.0,28747.26,2.026649,0.004855
1400000US36093032602,65.0,218686.35,1.082488,0.003642
1400000US36093032700,18.0,34794.91,7.853797,0.015182
1400000US36093032901,12.0,20132.17,2.712421,0.004551
1400000US36093032902,37.0,57619.87,12.34467,0.019224
1400000US36093033002,1.0,667.85,0.131946,8.8e-05
1400000US36093033003,12.0,35945.37,3.317776,0.009938
1400000US36093033004,33.0,521672.27,8.23933,0.130249
1400000US36093033101,0.0,0.0,0.0,0.0
1400000US36093033102,9.0,15723.63,0.049092,8.6e-05
1400000US36093033200,27.0,19854.89,17.635175,0.012968
1400000US36093033300,20.0,16450.31,13.075451,0.010755
1400000US36093033400,66.0,89994.68,52.948213,0.072198
1400000US36093033500,103.0,136996.57,40.226188,0.053503
1400000US36095740100,26.0,12313.25,0.202814,9.6e-05
1400000US36095740200,23.0,76106.17,0.292256,0.000967
1400000US36095740300,0.0,0.0,0.0,0.0
1400000US36095740400,2.0,6286.88,0.007048,2.2e-05
1400000US36095740500,1.0,10229.34,0.005742,5.9e-05
1400000US36095740600,17.0,8985.15,0.046173,2.4e-05
1400000US36095740700,26.0,9987.13,0.12912,5e-05
1400000US36095740800,18.0,2677.02,0.047925,7e-06
1400000US13013180103,58.0,59987.17,1.901274,0.001966
1400000US13013180104,4.0,7083.36,0.455198,0.000806
1400000US13013180105,4.0,1685.77,0.245599,0.000104
1400000US13013180106,14.0,22594.8,1.157188,0.001868
1400000US13013180107,23.0,8544.57,1.227348,0.000456
1400000US13013180108,19.0,167539.51,0.934451,0.00824
1400000US13013180203,10.0,3330.94,1.768909,0.000589
1400000US13013180204,401.0,161001.93,26.617869,0.010687
1400000US13013180205,223.0,70780.92,20.39087,0.006472
1400000US13013180206,0.0,0.0,0.0,0.0
1400000US13013180301,35.0,84536.26,1.634977,0.003949
1400000US13013180302,0.0,0.0,0.0,0.0
1400000US13013180303,0.0,0.0,0.0,0.0
1400000US13013180401,14.0,3595.82,0.254877,6.5e-05
1400000US13013180402,12.0,94209.66,0.287904,0.00226
1400000US13013180501,36.0,45791.07,1.347865,0.001714
1400000US13013180502,88.0,30742.44,1.926883,0.000673
1400000US13013180503,73.0,57715.46,3.167232,0.002504
1400000US13015960101,26.0,11581.08,0.278347,0.000124
1400000US13015960103,15.0,7985.14,0.336712,0.000179
1400000US13015960104,21.0,204624.19,0.209923,0.002045
1400000US13015960105,51.0,69700.93,0.674388,0.000922
1400000US13015960201,11.0,16896.69,0.142752,0.000219
1400000US13015960202,85.0,206647.02,8.18492,0.019899
1400000US13015960203,83.0,128850.25,0.939185,0.001458
1400000US13015960301,0.0,0.0,0.0,0.0
1400000US13015960302,12.0,19353.81,0.166966,0.000269
1400000US13015960403,77.0,122173.77,9.680193,0.015359
1400000US13015960404,9.0,101325.63,0.951807,0.010716
1400000US13015960405,63.0,87774.56,3.328737,0.004638
1400000US13015960406,6.0,6786.36,0.466708,0.000528
1400000US13015960407,28.0,162598.46,1.413795,0.00821
1400000US13015960501,2.0,466.95,0.265463,6.2e-05
1400000US13015960502,0.0,0.0,0.0,0.0
1400000US13015960601,52.0,111025.27,3.079018,0.006574
1400000US13015960602,61.0,48557.32,8.029248,0.006391
1400000US13015960701,80.0,108468.91,15.483933,0.020994
1400000US13015960702,76.0,125993.89,1.25606,0.002082
1400000US13015960801,22.0,11700.73,1.131722,0.000602
1400000US13015960802,15.0,2165.3,1.082921,0.000156
1400000US13015960804,8.0,12040.57,0.166663,0.000251
1400000US13015960805,29.0,70135.54,0.992477,0.0024
1400000US13015960901,30.0,26927.71,0.89785,0.000806
1400000US13015960902,6.0,10615.33,0.163683,0.00029
1400000US13015961001,15.0,3124.57,0.178418,3.7e-05
1400000US13015961002,128.0,36571.58,1.371099,0.000392
1400000US13035150101,6.0,1066.17,0.121075,2.2e-05
1400000US13035150102,26.0,5123.13,0.149127,2.9e-05
1400000US13035150201,52.0,121667.2,0.912669,0.002135
1400000US13035150202,15.0,40105.13,0.36057,0.000964
1400000US13035150300,60.0,76069.07,0.391455,0.000496
1400000US13045910101,163.0,167860.48,9.799037,0.010091
1400000US13045910103,100.0,43473.6,1.80482,0.000785
1400000US13045910105,26.0,9839.94,1.254765,0.000475
1400000US13045910106,41.0,187443.4,1.734624,0.00793
1400000US13045910201,15.0,7573.63,0.394466,0.000199
1400000US13045910202,58.0,32703.33,2.46782,0.001391
1400000US13045910203,7.0,27234.82,0.122518,0.000477
1400000US13045910301,55.0,44244.46,0.984355,0.000792
1400000US13045910302,58.0,12042.86,0.634454,0.000132
1400000US13045910400,5.0,2812.57,0.044862,2.5e-05
1400000US13045910502,62.0,26951.19,14.610967,0.006351
1400000US13045910503,40.0,261451.06,2.151195,0.014061
1400000US13045910504,129.0,141473.66,11.472887,0.012582
1400000US13045910600,230.0,95230.99,7.052159,0.00292
1400000US13045910704,3.0,5509.85,0.076329,0.00014
1400000US13045910705,79.0,43183.57,3.065259,0.001676
1400000US13045910706,0.0,0.0,0.0,0.0
1400000US13045910707,3.0,866.03,0.059871,1.7e-05
1400000US13045910708,215.0,51311.25,30.142901,0.007194
1400000US13045910709,0.0,0.0,0.0,0.0
1400000US13045910800,88.0,12579.12,0.515195,7.4e-05
1400000US13045910900,4.0,3983.42,0.030769,3.1e-05
1400000US13045911001,2.0,427.89,0.07433,1.6e-05
1400000US13045911002,61.0,212179.69,2.56872,0.008935
1400000US13045911101,134.0,217114.25,10.440948,0.016917
1400000US13045911102,20.0,10968.19,0.514114,0.000282
1400000US13045911201,10.0,6545.69,0.194641,0.000127
1400000US13045911202,8.0,1583.04,0.06799,1.3e-05
1400000US13057090101,54.0,18131.66,0.645916,0.000217
1400000US13057090102,18.0,27273.69,0.238906,0.000362
1400000US13057090103,70.0,39834.0,3.52078,0.002004
1400000US13057090201,29.0,7272.62,0.781284,0.000196
1400000US13057090202,54.0,34741.34,0.296787,0.000191
1400000US13057090301,1.0,289.33,0.094614,2.7e-05
1400000US13057090302,13.0,3689.01,0.240178,6.8e-05
1400000US13057090303,0.0,0.0,0.0,0.0
1400000US13057090401,25.0,105843.31,4.894211,0.020721
1400000US13057090402,22.0,49395.92,0.560873,0.001259
1400000US13057090503,82.0,39776.82,2.05372,0.000996
1400000US13057090504,27.0,24512.03,1.688884,0.001533
1400000US13057090505,104.0,45483.55,4.284989,0.001874
1400000US13057090506,14.0,11586.66,0.196736,0.000163
1400000US13057090507,18.0,10302.6,0.725217,0.000415
1400000US13057090603,24.0,80256.37,1.042724,0.003487
1400000US13057090604,15.0,35675.35,1.131045,0.00269
1400000US13057090605,5.0,16241.14,0.739651,0.002403
1400000US13057090606,8.0,2945.29,0.533775,0.000197
1400000US13057090703,26.0,34297.28,3.070762,0.004051
1400000US13057090704,0.0,0.0,0.0,0.0
1400000US13057090705,7.0,2542.32,0.886366,0.000322
1400000US13057090706,1.0,939.31,0.134485,0.000126
1400000US13057090707,0.0,0.0,0.0,0.0
1400000US13057090708,1.0,5875.94,0.154874,0.00091
1400000US13057090709,8.0,12909.83,2.274484,0.00367
1400000US13057090710,2.0,3742.05,0.222239,0.000416
1400000US13057090805,21.0,7273.0,1.083606,0.000375
1400000US13057090806,0.0,0.0,0.0,0.0
1400000US13057090807,0.0,0.0,0.0,0.0
1400000US13057090808,42.0,63903.77,2.829506,0.004305
1400000US13057090809,0.0,0.0,0.0,0.0
1400000US13057090810,82.0,28322.71,4.206455,0.001453
1400000US13057090905,71.0,35874.08,17.1153,0.008648
1400000US13057090906,358.0,71844.86,39.338705,0.007895
1400000US13057090907,36.0,9131.66,6.124819,0.001554
1400000US13057090908,10.0,12280.05,2.631126,0.003231
1400000US13057090909,20.0,10011.77,4.284098,0.002145
1400000US13057090910,21.0,17265.01,2.705909,0.002225
1400000US13057090911,63.0,19245.25,4.495592,0.001373
1400000US13057090912,2.0,2639.64,0.236042,0.000312
1400000US13057091001,151.0,199445.92,16.980848,0.022429
1400000US13057091006,24.0,43762.79,4.950991,0.009028
1400000US13057091007,3.0,506.59,0.34352,5.8e-05
1400000US13057091009,53.0,41247.07,9.533081,0.007419
1400000US13057091010,8.0,9562.14,1.927024,0.002303
1400000US13057091011,23.0,26179.02,7.28135,0.008288
1400000US13057091012,8.0,23263.69,1.852768,0.005388
1400000US13057091013,70.0,137819.11,12.2713,0.02416
1400000US13057091014,21.0,23243.53,4.909458,0.005434
1400000US13057091101,31.0,14463.3,2.230203,0.001041
1400000US13057091104,33.0,104100.16,2.315207,0.007303
1400000US13057091105,44.0,53455.94,8.115361,0.009859
1400000US13057091106,30.0,18624.41,5.446061,0.003381
1400000US13057091107,6.0,3427.43,1.296008,0.00074
1400000US13057091108,7.0,68124.96,1.096447,0.010671
1400000US13063040202,3.0,26162.23,0.292376,0.00255
1400000US13063040203,74.0,12749.54,25.374079,0.004372
1400000US13063040204,2.0,2379.45,0.732301,0.000871
1400000US13063040302,17.0,47833.75,2.99164,0.008418
1400000US13063040306,0.0,0.0,0.0,0.0
1400000US13063040307,0.0,0.0,0.0,0.0
1400000US13063040308,26.0,48503.02,2.838284,0.005295
1400000US13063040309,142.0,32969.13,55.143447,0.012803
1400000US13063040310,0.0,0.0,0.0,0.0
1400000US13063040407,14.0,18799.99,1.535388,0.002062
1400000US13063040409,1.0,666.92,0.267667,0.000179
1400000US13063040410,161.0,252436.06,7.397188,0.011598
1400000US13063040414,5.0,6351.89,2.321871,0.00295
1400000US13063040416,0.0,0.0,0.0,0.0
1400000US13063040417,2.0,336.74,0.386576,6.5e-05
1400000US13063040418,20.0,9798.17,7.170913,0.003513
1400000US13063040419,28.0,14539.49,7.504272,0.003897
1400000US13063040420,0.0,0.0,0.0,0.0
1400000US13063040421,0.0,0.0,0.0,0.0
1400000US13063040422,0.0,0.0,0.0,0.0
1400000US13063040423,1.0,698.03,0.398445,0.000278
1400000US13063040424,3.0,8944.91,0.789595,0.002354
1400000US13063040425,0.0,0.0,0.0,0.0
1400000US13063040426,0.0,0.0,0.0,0.0
1400000US13063040427,0.0,0.0,0.0,0.0
1400000US13063040509,23.0,1959.22,4.436852,0.000378
1400000US13063040510,0.0,0.0,0.0,0.0
1400000US13063040512,0.0,0.0,0.0,0.0
1400000US13063040513,15.0,10024.61,2.170974,0.001451
1400000US13063040518,0.0,0.0,0.0,0.0
1400000US13063040519,0.0,0.0,0.0,0.0
1400000US13063040521,0.0,0.0,0.0,0.0
1400000US13063040522,2.0,716.76,0.403085,0.000144
1400000US13063040523,1.0,1193.01,0.375203,0.000448
1400000US13063040525,0.0,0.0,0.0,0.0
1400000US13063040527,0.0,0.0,0.0,0.0
1400000US13063040528,0.0,0.0,0.0,0.0
1400000US13063040529,0.0,0.0,0.0,0.0
1400000US13063040530,0.0,0.0,0.0,0.0
1400000US13063040531,0.0,0.0,0.0,0.0
1400000US13063040532,6.0,46659.98,5.498922,0.042763
1400000US13063040533,0.0,0.0,0.0,0.0
1400000US13063040534,0.0,0.0,0.0,0.0
1400000US13063040535,0.0,0.0,0.0,0.0
1400000US13063040536,0.0,0.0,0.0,0.0
1400000US13063040537,0.0,0.0,0.0,0.0
1400000US13063040538,0.0,0.0,0.0,0.0
1400000US13063040606,0.0,0.0,0.0,0.0
1400000US13063040609,15.0,39875.6,1.612247,0.004286
1400000US13063040614,4.0,4224.88,0.336839,0.000356
1400000US13063040615,0.0,0.0,0.0,0.0
1400000US13063040617,0.0,0.0,0.0,0.0
1400000US13063040623,0.0,0.0,0.0,0.0
1400000US13063040624,0.0,0.0,0.0,0.0
1400000US13063040625,0.0,0.0,0.0,0.0
1400000US13063040626,0.0,0.0,0.0,0.0
1400000US13063040627,2.0,205.15,0.26601,2.7e-05
1400000US13063040628,0.0,0.0,0.0,0.0
1400000US13063040629,0.0,0.0,0.0,0.0
1400000US13063040630,0.0,0.0,0.0,0.0
1400000US13063040631,0.0,0.0,0.0,0.0
1400000US13063040632,0.0,0.0,0.0,0.0
