cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,grassland_pct,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US47093004800,-0.1140379207004462,-0.1525225717048701,0.039920916341557,0.1359238083483256,0.1016823385377225,-0.0676178941908673,-0.032790706043142,-0.0709751072473376,0.0562874803217676,-0.1528091744625513,0.0422388128815183,-0.064974620123607,-0.2550814952527375,-0.0830498297596608,-0.0944622586112158,0.0673603269880962,-0.0486457716324888,0.1350656969506646,-0.1082338960860634,0.0241942205063552,0.0139629435164957,0.0174861515430676,-0.1022780116205399,0.0670591206406739,-0.0105085260328095,0.1790343604325745,-0.1316713518059071,-0.1788232861219016,0.0672596062740115,0.0105844746607642,-0.1178156306143034,-0.0166419156378164,-0.0904805637595654,-0.0012336016218163,-0.0143942313696531,-0.1402810936267994,-0.156588100568234,-0.1903519294779773,-0.0422356678299593,0.0412153706323149,-0.0461304829439195,0.0351029722070987,0.1632870012232126,0.0064866650144064,0.0596233333871824,0.126209355033331,0.0338093163150588,-0.0252463788592494,0.1938011515201042,-0.1449615722633219,-0.0820056882000496,0.0858197088504561,-0.1361993308982632,0.201450082319473,0.1803944015828887,0.001996722779472,0.0422444647118486,0.1498740338801621,0.03651493372571,-0.0527744499526705,-0.0051996459024764,-0.1525044485955314,-0.1260996395827914,-0.0706205263969163,0.0,5700,9.676681,589.0449421656041,6.380198707160778
1400000US47093005302,-0.1276626517784221,0.0027603382403604,-0.016065586967784,0.1009240643666222,0.0858976662532407,-0.0843938730513196,-0.0041738828763337,0.0639380603695282,0.1124007599210477,-0.0998867943610044,-0.0019367433144341,-0.0590871378344135,-0.2103300933550595,-0.0002375596660961512,-0.0846967647854319,0.1085522318461508,-0.0600248924717448,0.0962864722212248,-0.1102697968393685,-0.003692918724017,0.0223411440584276,-0.0120943056833341,-0.0668670049196542,0.113718164953758,0.069548682180083,0.0582382708464112,-0.2447063622375337,-0.2398535561368095,0.0712870497405601,0.0490254516319512,-0.1390676525309375,0.060408378115888,-0.0105138872321732,-0.0295497043806767,-0.0694478015227116,-0.0817833401470661,-0.199739052445865,-0.2039768865765591,-0.0297449395517005,-0.0292856609321987,0.0033535841897228,0.0843499971606964,0.1558752805637591,-0.00025236887270840044,0.0056440364222151,0.0727149544775654,0.0669445002398184,-0.0709033788476838,0.1770743816315549,-0.1287904321567014,-0.1064093744271032,0.0835211127965144,-0.0769300548419849,0.2014177018109177,0.1337866527516752,0.1225626071939076,-0.0079956957768232,0.1796167137819265,0.023547562174019,-0.0312791468001715,-0.0510723513196599,-0.1697815931752018,-0.1201522307550345,-0.036861235216721,0.0818330605564648,3859,37.389221,103.21156463784041,4.6464231081689515
1400000US47093005402,-0.1253001626966055,0.0073140408891255,-0.0196401707991023,0.086420459656866,0.0839727946307913,-0.0941221415437698,-0.0108222993396803,0.0766353007955683,0.1174408339558995,-0.0817732151834683,0.0028069807280714,-0.0599727152814807,-0.1989749299206064,-0.0159604572839734,-0.0881892169909171,0.0951711926448512,-0.0694662796145072,0.0833753252739354,-0.1364718608223456,-0.0150432410943767,0.0202646433162395,0.0090732538193943,-0.0829171500568839,0.1206956663010297,0.0692768647918173,0.0558746310069913,-0.235247924199388,-0.2184196492132192,0.0524588250462932,0.0528456400483884,-0.1341128550603781,0.0583458544283835,-0.0067576506486133,-0.0390244674850585,-0.0564002252189858,-0.0977852680601504,-0.1838806285858301,-0.203555605569773,-0.0128034798879201,-0.0392726651155637,-0.0072792217074966,0.0753614519638385,0.1675673837866498,-0.0154001142308184,0.0071575755670084,0.0848375365542944,0.0719420014543535,-0.087313526653317,0.1694114110214914,-0.1265973902249701,-0.1041901202235851,0.0870037194991896,-0.0702840785514759,0.1903955809647811,0.1220922794326823,0.1330020593898734,-0.0077586147686431,0.1773861320327869,0.0210315105619905,-0.0322011031836879,-0.051628297345883,-0.1733323478524062,-0.1201409082606535,-0.0240856142198822,0.1052268131073149,3479,53.64861,64.84790565869274,4.187347622955988
1400000US47093005711,-0.1037859085668412,-0.1517329118382107,0.0580401852691704,0.1529730926015438,0.0994814102859551,-0.0639649364386621,-0.0334549879653511,-0.0694395888476288,0.0917434187168548,-0.1842998251608517,0.0327513142210137,-0.0537223194071183,-0.2604388292577519,-0.0496556819731323,-0.0667199013281447,0.1043259957912911,-0.0584844697086859,0.1434516256099668,-0.0692872696884623,0.0401205375088681,0.0320607028795355,0.019443165616228,-0.0649951854432911,0.0892557554469807,-0.0188864874331229,0.1817521842838928,-0.1264989508208267,-0.192635491033913,0.0972932741616563,-1.3597893460041224e-05,-0.1088500932008697,-0.0274149250584303,-0.1115714088973299,0.0023182600065955,-0.0033320736977746,-0.1251406096191543,-0.1601558966566899,-0.1876124869585883,-0.0601162068557715,0.0306417274867886,-0.0727249917353641,0.0261859078174849,0.1581718040409414,0.0144994117595145,0.0454028610442272,0.1345124757706177,0.0250464263471704,-0.0138523580512796,0.1882307727192831,-0.155673216072998,-0.0873460987326632,0.0670833135772163,-0.1686452359058243,0.201267451479631,0.1986753382815356,-0.0103162380503954,0.0455370843236429,0.1579831630163447,0.0293924137628167,-0.0606496726924188,-0.0053354610505312,-0.1393544849822238,-0.1037842440156446,-0.0935969690714044,0.0,5870,6.0931,963.3848123286997,6.871490397871832
1400000US47093005907,-0.1453018466468424,-0.0552556437886814,0.0104005952525446,0.0985562385762409,0.086158523719478,-0.0741668664969475,-0.0341736460389579,0.0274772150895613,0.0942156525293789,-0.1144790521032073,0.0153073631043936,-0.0488814963304877,-0.2051666403160113,-0.0232688233138507,-0.0660998957490083,0.0924782491877736,-0.0498063058876036,0.0841436860600329,-0.1448213772101757,-0.0088845550735346,0.0177032279785726,0.0086999187162814,-0.0853979000024761,0.1252830431217404,0.0155648130726734,0.0735129476312994,-0.1797329856477064,-0.219877472452703,0.0670175421665144,0.0202777065475627,-0.1432177536192367,0.0279418282694933,-0.0300920638597717,-0.0409556685517657,-0.0567933936767794,-0.1145196420355297,-0.1504548098940256,-0.1796464727265189,-0.0284895164428499,0.0014123859536867,-0.0360415042002934,0.0415695338213764,0.1712337392687806,-0.0114561004452114,0.0229016575572019,0.1249319101210814,0.0319488630628008,-0.0362321608827117,0.1625691608233062,-0.1227869151462651,-0.1070150681324994,0.1068729828997104,-0.0910654375987289,0.1853410855530989,0.1491008974016839,0.0883027521795964,-0.0025151099307539,0.1578601372188462,0.0207601481626973,-0.0485222957145322,-0.0425112256650924,-0.1813944984595467,-0.0979240815678555,-0.0302180056043207,0.0206675622610313,5305,15.931403,332.9901327585524,5.811111449901244
1400000US47093005909,-0.1413975311149067,0.0115346002688896,-0.0042187057384845,0.0929218107366034,0.0759273088972483,-0.0985183179258396,-0.0247811568694602,0.0451658526639691,0.111432031016869,-0.1007290122693087,0.0077913674407019,-0.0371957601851393,-0.2089100234303689,-0.0375933143746987,-0.1019164563804629,0.0790339806717015,-0.054217009503641,0.0885616017945752,-0.1905926693191781,-0.0232277112166316,0.0143165114029213,0.0203906270186449,-0.1016755915552107,0.1228138845663931,0.0522729800672068,0.0685528406379477,-0.2121735995418105,-0.2003110850311867,0.0468636380530348,0.0619710656001846,-0.1285571118318801,0.0432228265069796,-0.0013284991513263,-0.0380953218499558,-0.0360027243148792,-0.1226558858146292,-0.1647994550617319,-0.1869745123633026,-0.0097587211034258,-0.0527325444403898,-0.0082031916497851,0.0571573263097378,0.1782987133434897,-0.0292383543315477,0.0443858999511932,0.1133345420978136,0.0782603538254796,-0.0720100902034637,0.1806311677211122,-0.1074948923465657,-0.1037564278154372,0.1079186236972958,-0.0648076266823793,0.1733741459076589,0.1403851521714074,0.1138947520471779,0.0053501494288611,0.1374276869954631,0.0315540883738576,-0.0343027324586977,-0.0369445246910508,-0.1807694664339864,-0.1190803159942847,-0.040296494925462,0.0741939835424254,1428,13.311403,107.27644561583779,4.684687638346937
1400000US47093005910,-0.1372526767362268,-0.0532840916190075,0.0104689529013971,0.1251053811015768,0.0873404122218227,-0.1186108447337486,-0.043372035611252,0.0107295495966328,0.1338579218775374,-0.1282250093848023,0.0307430473002089,-0.0435739203079224,-0.2277977982163741,-0.0659923610981872,-0.1044131705961105,0.0780730279362746,-0.0650712141750348,0.0953161468104973,-0.194415244233678,-0.0149801927229133,0.0322557408850168,0.030647283535988,-0.0978515001751891,0.1175543529667206,0.0205995810053468,0.1169410843690667,-0.1649360051795299,-0.1560384502544899,0.0318756196447561,0.0396491289725169,-0.1258807026255508,0.021696649644623,-0.0388616014707036,-0.0200001501198776,0.0180136675060018,-0.14521792729565,-0.1573345910847997,-0.188603539426954,-0.0135493968445545,-0.0434262094842161,-0.0386876432871039,0.0330300177423834,0.189338558930944,-0.0445774678568657,0.0401948421573803,0.1304439684328871,0.0643375151738269,-0.0668263550540713,0.1726482305712587,-0.1232754919579451,-0.0835990795785135,0.1160030858030745,-0.0986153380594938,0.1800329485850656,0.1626718071415326,0.0699735872098922,0.038472236424372,0.1363620848051427,0.0195821579065812,-0.049172066217725,0.0056467429831905,-0.1779552048225651,-0.1231412479114398,-0.054899963053667,0.3526818515797208,1618,6.126315,264.1065632439729,5.580131870604407
1400000US47093006202,-0.1273645294159424,-0.0835267515527188,0.0543237585312621,0.1245804500731641,0.0979275014971975,-0.0437783998409954,-0.0317092518251769,-0.0314633776825973,0.0625159952626752,-0.1502375735507706,-0.0232266052764103,-0.0662207939102957,-0.2396363126828966,-0.0157432554521621,-0.0748037279748136,0.0867032280780166,-0.0497987457544142,0.1332391416122616,-0.0551466571537564,0.0228261917677801,0.002756443578847,-0.0123343522027139,-0.0572112257533812,0.0824972545927834,0.005411302042524,0.1280062735760616,-0.2009580263244646,-0.2751443852880441,0.1025679505660225,0.0161866787260808,-0.1386078329343872,-0.0030737686850806,-0.072717041987413,-0.0215403017312999,-0.095868061985824,-0.0681072850535514,-0.17015589941023,-0.2020277367312324,-0.0692621261897769,0.0364993021147208,-0.0163044846725214,0.0705879009054531,0.1168750820002297,0.0260987496281208,0.0215721672900077,0.1142804327183063,0.0242008201623257,-0.0222480896279373,0.1829232910352493,-0.1444619510519618,-0.0849040252780472,0.0785973130157575,-0.1042167578632286,0.2079299589663815,0.1591091616670465,0.0282877039749229,0.0051490490950556,0.1784671298944221,0.0118042585385934,-0.0553641134053542,-0.0410668338764975,-0.1456638787715112,-0.121097007222799,-0.0861196140547238,0.0,4653,10.82315,429.9118094085363,6.065903450624838
1400000US47093006205,-0.133997427586529,-0.0501666578029046,0.0337914566926709,0.118945500570383,0.0994893110449317,-0.0819320317426001,-0.0179342769744397,0.0082716950860585,0.1081496201905883,-0.1484883293512477,0.0099415741647039,-0.0534499503370807,-0.2209261864215796,-0.0350213618433975,-0.0944843937618391,0.1028878284200982,-0.0543893680845003,0.1147229893045478,-0.1244502642075784,-0.0009766813297168522,0.0195368861302498,0.0027563587296033,-0.0782835174816185,0.0998103114972487,0.0367706726767247,0.1075383461850489,-0.1927787112413574,-0.2292561259506624,0.0707454498085375,0.0230247170393061,-0.1402790289298349,0.011513818874705,-0.0587103613865543,-0.021968868237926,-0.0397005513378415,-0.1035014580125316,-0.1713485193334198,-0.2165135970097167,-0.0430067754308955,-0.0146693289740763,-0.0188213083424317,0.0494750589135797,0.1592826403082524,-0.0036907688596049,0.0235286600667654,0.1109325436343568,0.0617709901687171,-0.041148443965265,0.1833357830819818,-0.1356749010098351,-0.0867889438201288,0.0787114700048692,-0.0985196579812367,0.185187229482661,0.1600650642548255,0.0736940763071291,0.0313418669633571,0.1504423496952777,0.0107884305048912,-0.0373248183671266,-0.0240989233652974,-0.1504272006267871,-0.1228431333926388,-0.0708481979513769,0.0,5097,12.422107,410.3168649247668,6.01936387834606
1400000US47093006206,-0.1358338865176057,-0.0503735486385071,0.030067177401984,0.1222037168173371,0.0965141490051242,-0.0596672471492089,-0.0311918077865727,-0.0104946786660912,0.0991145874996511,-0.1537403747507362,-0.0071436982336471,-0.0547537115262435,-0.2283561469308041,-0.0327232799133905,-0.0874878926855389,0.0949810245006724,-0.0490397765901746,0.1259728925211027,-0.1110312756427587,0.0081280756615685,0.0081704349550107,-0.0011473011822445,-0.0723773056555513,0.0980497427668418,0.0148907804179555,0.1165020832293446,-0.1863234761222343,-0.2522361626542081,0.0690516094480105,0.0282199419300821,-0.1465045017434512,0.0071194693864323,-0.0570726898418427,-0.0223300340643631,-0.0693276115491753,-0.0917007339891729,-0.1643935567662181,-0.20315064676837,-0.0525339787651384,0.0024296339317502,-0.0094184956405441,0.0579260782977008,0.150652426797272,-0.0013308678499812,0.0332435884529731,0.11487386640092,0.0430381806991818,-0.0399240219127133,0.1718370737196786,-0.1287159773224888,-0.0834486923989073,0.0904103014543693,-0.093082109792939,0.1881802611008059,0.1632733832738095,0.0630844165470014,0.0063328814174198,0.1643188680467726,0.0219978550017401,-0.0484721392937979,-0.027693352338554,-0.147305659277869,-0.119717499097968,-0.0755904076044329,0.4390032770667161,5849,14.609706,400.35028767861587,5.994834581354745
