Source,Target,L1_Dist,L2_Dist,Cos_Sim,MMD
Bridgeport,Lansing_east,0.22466055,2.8827655,0.43670381596744057,0.3087974488735199
Bridgeport,Modesto,0.26055855,3.1056614,0.4458173137556577,0.40552276372909546
Bridgeport,Montgomery,0.24800824,3.0477662,0.4301977195760138,0.3314635753631592
Bridgeport,newyork,0.24667515,2.5151346,0.4755155474303776,0.12054327130317688
Bridgeport,Oklahoma,0.35737735,3.9648027,0.4487039607744713,0.4064243733882904
Chicago,Albany,0.33333534,3.113062,0.4560915814317873,0.5643191337585449
Chicago,Atlanta,0.09190967,0.8192147,0.4496080066177065,0.17824316024780273
Chicago,Baton,0.32671016,3.180164,0.43587880878459273,0.4026866555213928
Chicago,Bridgeport,0.38451338,3.8351674,0.46802339173438634,0.701251208782196
Chicago,Chicago,0.0,0.0,0.5972157990027802,0.0
Chicago,Duluth,0.21442825,2.0430484,0.5238611232627959,0.4722064137458801
Chicago,Fort_wayne,0.10810346,0.9202901,0.5907010232740737,0.08318185806274414
Chicago,Hartford,0.46082222,4.5993958,0.4487455769448535,0.7444466352462769
Chicago,Jackson_MS,0.31232405,3.1636243,0.4270312510359786,0.5317993760108948
Chicago,Knoxvile,0.13464819,1.2363547,0.4012235820674547,0.2988056540489197
Chicago,Lansing_east,0.16417478,1.4202307,0.5516976127824258,0.14591240882873535
Chicago,Modesto,0.1788683,1.710433,0.48736257603955113,0.4786332845687866
Chicago,Montgomery,0.46336502,4.800506,0.4406228242106762,0.5822466015815735
Chicago,newyork,0.25311992,2.5210278,0.49952939404513996,0.30379095673561096
Chicago,Oklahoma,0.14821921,1.519725,0.5791585287160275,0.4342581629753113
Duluth,Albany,0.191891,2.3245258,0.498364478300955,0.28559690713882446
Duluth,Atlanta,0.39616954,5.113692,0.49424310278531625,0.43911075592041016
Duluth,Baton,0.26866287,3.8444407,0.43821874187538834,0.3142300248146057
Duluth,Bridgeport,0.28468698,3.219534,0.5082609658732791,0.3645862936973572
Duluth,Chicago,0.43692994,5.124007,0.4966247373444346,0.3966901898384094
Duluth,Duluth,0.0,0.0,0.47944817431802067,0.0
Duluth,Fort_wayne,0.30634385,3.8560426,0.4891071797891112,0.3553272485733032
Duluth,Hartford,0.2515234,2.9406588,0.5060075996370149,0.3340306580066681
Duluth,Jackson_MS,0.2955466,4.0313187,0.4731786349201992,0.3345697522163391
Duluth,Knoxvile,0.37491447,4.7419806,0.49999179554203155,0.3854149281978607
Duluth,Lansing_east,0.22016455,2.4492462,0.48399324938390276,0.315265029668808
Duluth,Modesto,0.33389726,4.1058054,0.4797199472673256,0.4133325517177582
Duluth,Montgomery,0.29410917,4.0890913,0.4719547683599935,0.33561471104621887
Duluth,newyork,0.33015686,3.6809034,0.5079163284694971,0.27713486552238464
Duluth,Oklahoma,0.5368005,6.395948,0.46901164757320635,0.4402802586555481
Fort_wayne,Albany,0.2377127,3.2538664,0.47253545293318133,0.3165575861930847
Fort_wayne,Atlanta,0.19963647,2.222652,0.5217640043549553,0.3359331488609314
Fort_wayne,Baton,0.2730425,3.7372446,0.47418411799835625,0.38118672370910645
Fort_wayne,Bridgeport,0.35777283,5.025095,0.5057453553780313,0.3293389678001404
Fort_wayne,Chicago,0.23758844,2.6816914,0.5560488079438707,0.2415197491645813
Fort_wayne,Duluth,0.12524563,1.3769236,0.3721410168670384,0.2123161107301712
Fort_wayne,Fort_wayne,0.0,0.0,0.5057144205654855,0.0
Fort_wayne,Hartford,0.3619156,4.933104,0.5172398563538754,0.3616115152835846
Fort_wayne,Jackson_MS,0.23308477,3.0023959,0.49384845783109566,0.4146423935890198
Fort_wayne,Knoxvile,0.1575743,1.7830514,0.44552084973983686,0.2908431887626648
Fort_wayne,Lansing_east,0.118500486,1.2326078,0.42878560012203004,0.15701112151145935
Fort_wayne,Modesto,0.18719214,2.0749602,0.4423321246282609,0.4500260353088379
Fort_wayne,Montgomery,0.28916335,3.709975,0.5178795659956208,0.3995310366153717
Fort_wayne,newyork,0.41093534,5.873897,0.509941996921601,0.32267650961875916
Fort_wayne,Oklahoma,0.26618207,2.897279,0.3416542207640534,0.355114609003067
Hartford,Albany,0.0911762,0.96417105,0.4486716907147178,0.10059729218482971
Hartford,Atlanta,0.12337482,1.3666037,0.4431674975271098,0.3920045495033264
Hartford,Baton,0.22194219,2.5862024,0.3928267458142426,0.444926917552948
Hartford,Bridgeport,0.058277275,0.6310993,0.48010732794956534,0.04548487067222595
Hartford,Chicago,0.13831724,1.5371715,0.43018404756968653,0.29758167266845703
Hartford,Duluth,0.3510604,3.9987886,0.39261916998001245,0.3880179226398468
Hartford,Fort_wayne,0.2793958,3.5107594,0.3688197200367329,0.41040369868278503
Hartford,Hartford,0.0,0.0,0.49350308612850713,0.0
Hartford,Jackson_MS,0.24061841,2.7938106,0.3970117612012387,0.4475649893283844
Hartford,Knoxvile,0.13722807,1.47005,0.457513407640331,0.348964124917984
Hartford,Lansing_east,0.5434082,6.5306044,0.3729060838000089,0.4645439386367798
Hartford,Modesto,0.32886052,4.0920906,0.41707979409571894,0.4378502666950226
Hartford,Montgomery,0.24046087,2.8472352,0.39658009193649313,0.4290604889392853
Hartford,newyork,0.2828827,3.051272,0.4983518027301591,0.22011889517307281
Hartford,Oklahoma,0.32969078,3.8080754,0.4156084638820293,0.3947257101535797
Jackson_MS,Albany,0.25230503,2.8397346,0.4870449288271764,0.37649238109588623
Jackson_MS,Atlanta,0.2227523,2.5461242,0.5042062069647952,0.37918272614479065
Jackson_MS,Baton,0.09792763,1.0500109,0.47194202827074194,0.20114296674728394
Jackson_MS,Bridgeport,0.27011737,2.869658,0.48185069060162533,0.3399159908294678
Jackson_MS,Chicago,0.34872144,3.7842739,0.5252490449996992,0.3679695725440979
Jackson_MS,Duluth,0.28461993,3.38096,0.4893306537144414,0.3696017265319824
Jackson_MS,Fort_wayne,0.2938175,3.2999265,0.494870113946988,0.3964727222919464
Jackson_MS,Hartford,0.27060926,2.9196408,0.488306022872653,0.35212597250938416
Jackson_MS,Jackson_MS,0.0,0.0,0.5101114089429725,0.0
Jackson_MS,Knoxvile,0.24309863,2.9859884,0.5113333539711176,0.3702167570590973
Jackson_MS,Lansing_east,0.2938097,3.2181396,0.46306102013397143,0.42226478457450867
Jackson_MS,Modesto,0.3502305,4.4133377,0.44201024446713255,0.4847419857978821
Jackson_MS,Montgomery,0.057054587,0.5742019,0.488067204694838,0.09453177452087402
Jackson_MS,newyork,0.30288973,3.3814638,0.4809973348523193,0.2931952178478241
Jackson_MS,Oklahoma,0.3293674,3.7609844,0.4708616890987676,0.466506689786911
Knoxvile,Albany,0.19525805,2.1492457,0.4084527385314718,0.24968813359737396
Knoxvile,Atlanta,0.1570178,1.5715755,0.4706845389915939,0.1914084106683731
Knoxvile,Baton,0.36037385,3.9010909,0.4165412121435117,0.2859603762626648
Knoxvile,Bridgeport,0.19780159,2.3495977,0.43158503283183236,0.2866976261138916
Knoxvile,Chicago,0.3917384,4.8621545,0.4887306920366199,0.23600980639457703
Knoxvile,Duluth,0.19514276,2.2942865,0.3603760115733836,0.2851899266242981
Knoxvile,Fort_wayne,0.16309477,1.7338884,0.3987171518303795,0.24296675622463226
Knoxvile,Hartford,0.24000742,2.625564,0.42666887229212236,0.29910850524902344
Knoxvile,Jackson_MS,0.54882336,6.229962,0.41357377388480554,0.28409355878829956
Knoxvile,Knoxvile,0.0,0.0,0.47292443522414673,0.0
Knoxvile,Lansing_east,0.22951688,2.621655,0.37675693404331045,0.27872228622436523
Knoxvile,Modesto,0.43696356,5.4268155,0.43354585559708103,0.35659900307655334
Knoxvile,Montgomery,0.4721746,5.170501,0.4235127392557928,0.29279986023902893
Knoxvile,newyork,0.35061502,4.728663,0.48668968639393384,0.2595403790473938
Knoxvile,Oklahoma,0.3547927,4.42914,0.39794214871103206,0.31955352425575256
Lansing_east,Albany,0.2063316,2.3387477,0.5342370323783525,0.29457417130470276
Lansing_east,Atlanta,0.33849382,4.3432,0.5119799846422861,0.3476945161819458
Lansing_east,Baton,0.3477127,4.8587656,0.5246435240877556,0.2946658730506897
Lansing_east,Bridgeport,0.24200411,2.8149273,0.5249657302616288,0.31632712483406067
Lansing_east,Chicago,0.20173357,2.348132,0.4884072564197397,0.23188574612140656
Lansing_east,Duluth,0.17555478,2.0264976,0.5045172928602307,0.33788058161735535
Lansing_east,Fort_wayne,0.12476712,1.4930661,0.487029049844957,0.23673751950263977
Lansing_east,Hartford,0.25246784,2.9301488,0.5353586704852316,0.30745792388916016
Lansing_east,Jackson_MS,0.36272314,4.814042,0.5293177518944059,0.3470929265022278
Lansing_east,Knoxvile,0.37574273,4.6732836,0.5210935911122286,0.3428044021129608
Lansing_east,Lansing_east,0.0,0.0,0.48580513993300534,0.0
Lansing_east,Modesto,0.34201038,4.4088182,0.5051494161530592,0.38811174035072327
Lansing_east,Montgomery,0.31783128,4.4111247,0.5205090092317013,0.31731459498405457
Lansing_east,newyork,0.2769199,3.245258,0.5259380639292474,0.23825354874134064
Lansing_east,Oklahoma,0.3898664,4.7085886,0.517193536855272,0.34383609890937805
Modesto,Albany,0.31559822,3.6765263,0.3909213629615622,0.4302178621292114
Modesto,Atlanta,0.44574404,5.6199036,0.35902617506187295,0.5180168747901917
Modesto,Baton,0.37156013,4.927585,0.3852804064962815,0.42625123262405396
Modesto,Bridgeport,0.31958002,3.7673242,0.3975249712479062,0.43452274799346924
Modesto,Chicago,0.21068342,2.4848282,0.4606090365204265,0.4890277087688446
Modesto,Duluth,0.3774426,4.496525,0.365393721276826,0.4600081145763397
Modesto,Fort_wayne,0.24857114,2.8680446,0.38879034823411684,0.47729650139808655
Modesto,Hartford,0.3014434,3.5029457,0.41920694437462724,0.44900861382484436
Modesto,Jackson_MS,0.44979203,5.893141,0.3629730832700998,0.4628915786743164
Modesto,Knoxvile,0.45668012,5.549005,0.3777038916079548,0.4693215787410736
Modesto,Lansing_east,0.31507948,3.8424683,0.32899795921980524,0.5057633519172668
Modesto,Modesto,0.0,0.0,0.5356595086606915,0.0
Modesto,Montgomery,0.43204206,5.6524696,0.3690173240549497,0.4741332530975342
Modesto,newyork,0.24225251,2.8170297,0.44432987526140866,0.3857506513595581
Modesto,Oklahoma,0.50248563,6.0266223,0.3754768657985409,0.453875333070755
Montgomery,Albany,0.17284027,1.6601427,0.4647116732049228,0.4732346832752228
Montgomery,Atlanta,0.12112303,1.1463022,0.4820711263380707,0.2268885374069214
Montgomery,Baton,0.13888393,1.3784297,0.45152350518922224,0.1662137359380722
Montgomery,Bridgeport,0.16641039,1.5543875,0.45880152148755204,0.49591299891471863
Montgomery,Chicago,0.23197667,2.4262161,0.5075071275728258,0.39389994740486145
Montgomery,Duluth,0.19568023,2.078005,0.4559911483688015,0.36094218492507935
Montgomery,Fort_wayne,0.18673512,1.9480349,0.46127616116104153,0.44767576456069946
Montgomery,Hartford,0.17191961,1.6058123,0.46468496427980144,0.5119381546974182
Montgomery,Jackson_MS,0.10367213,0.9607786,0.4707166679334732,0.07215365767478943
Montgomery,Knoxvile,0.12911081,1.2357241,0.48329176047088573,0.250840961933136
