cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,dist_water_m,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US09003405700,-0.0822359968945526,-0.124723988963508,0.0656855552065594,0.0268609589886636,0.0173054790022106,-0.2341480104289827,-0.0673847157152896,0.0376448902120137,0.0617297050868607,-0.1245534994440926,0.1017813613216294,-0.0298109165633518,-0.1393064029933697,-0.0726364753942078,-0.2164772618630815,0.0634367231347542,-0.0841872532421037,0.1550665872944574,-0.110010455836239,-0.0152765321735025,0.0438371103332502,-0.0281177912082803,-0.1026323320476207,0.0054897452497171,-0.0250179662039256,0.0504821170707143,-0.1499979116299238,-0.1166514904117678,0.1053382980387427,0.0183911568552299,-0.013545654726974,0.0475944170325622,-0.0160444696725302,0.0005067413242546415,-0.0225762401828686,0.1063468098387258,-0.062117487948956,-0.1203220583775547,0.014402110320747,-0.034303092276315,-0.0628562844316952,0.0077465928830467,0.057100259045095,0.0607828009196512,0.133493783817361,0.1145249060571776,0.1522768134576329,-0.0546308323668384,0.2609876499879845,-0.2082317176722938,-0.0562892131296751,0.1137300701098046,-0.1288563031532375,0.083333617199095,0.1480148088153166,-0.005089755528372,0.1167241506191564,0.113865826260498,-0.0040458981653425,-0.0049790427907414,0.0464116790683451,-0.138158590768011,-0.0971227901394255,-0.0672981978842635,478.0164560522049,2075,3.590069,577.9833200977474,6.361273669036699
1400000US09003496900,0.0199154577044201,-0.2666762970584161,0.0855001264656525,-0.0557861513131123,-0.0020674769636139,-0.1838887581559221,-0.0559430845362319,-0.1410983216769511,0.0143427436686626,-0.207380429770016,0.1447592142713603,-0.028789289364034,-0.167773956730406,-0.1808283111912674,-0.1261720226273308,0.1037501341138101,-0.0315577027211544,0.2057214229294152,0.0163219668731007,0.011053978247111,0.0396937162670055,0.0805305408973669,-0.1313902558604624,0.0500183219276515,-0.0764142110688436,0.1844395294777659,0.0050134313365599,-0.0833192222626029,0.1218258053227745,0.0301884024085184,0.0129760319723593,-0.0263200207653581,-0.1341973473390093,-0.0337307188518006,0.0956247126306867,-0.0279712375741752,-0.1204901865941314,-0.0530528212857221,-0.0277927729704486,-0.0200968882381429,-0.1974995137697346,-0.0732831344294613,0.0551340433754024,0.0615139075213329,0.202171588525435,0.1258243022873625,0.000476074606884156,-0.0112179039147739,0.2565040575567364,-0.1387461596190784,-0.0632865546130736,-0.0186673289414998,-0.2217272527172011,0.0661530922031143,0.1921919200852557,-0.1211383078630838,0.1780734541313025,0.0957287015137393,0.0291435110389411,0.0259879439551569,0.0485042306462708,-0.0099983613687727,-0.1343087402860903,-0.0370329737383742,1581.9335041476963,6221,2.142871,2903.1145598591797,7.9738838241539165
1400000US09003492200,-0.0140926991705068,-0.2279747841919676,0.0953561476417126,-0.0241620153881431,-0.0107579749747154,-0.1766253888334365,-0.0601289829090203,-0.1254834621261061,0.0195709119030197,-0.2224086689454958,0.1317817222108662,-0.0471042512459665,-0.1859639849399736,-0.159937166733174,-0.130948859334257,0.1431306199474903,-0.0660018491649916,0.1925154782055813,0.001416630272303,-0.0031701898862751,0.0496945153666514,0.0673857434779941,-0.1275826132884886,0.045436606930946,-0.0881617387840214,0.1672127209469737,-0.0310612954287831,-0.1238666530182465,0.1401784587035592,0.0390819043976256,3.375915267342812e-05,-0.0096907878638419,-0.1269096183818854,-0.031638879404206,0.0459535172562323,0.0128810445440502,-0.0836249030475178,-0.0638109149561718,-0.051547270046082,-0.0322998194283155,-0.1763969784079762,-0.0462827243627325,0.0528632431145211,0.0809513554506221,0.2118864694104017,0.1493501408835243,0.0463194163631471,-0.0104574701531866,0.2878693284689163,-0.1660900344272235,-0.0630821008638958,0.0031115024614289,-0.2143967147539282,0.0759830627483768,0.1854978088511596,-0.0980711275168112,0.1755276733085304,0.0903021568037004,0.0408676231124303,0.0361078778833308,0.0287315024435551,-0.0306687646782451,-0.1065291883310276,-0.062118361694806,909.130500426642,4122,2.703223,1524.8464518095623,7.33030458542496
1400000US09003503000,0.0363016844035902,-0.3519460894485686,0.0181075467273186,-0.0769954357006038,0.0450822116737793,-0.2157741769498211,-0.1018651960230503,-0.1906916774159087,-0.0798451116284333,-0.1066376146843112,0.1262395272401404,-0.0093215979175545,-0.139656665176325,-0.2043741892229678,-0.1655345530092271,-0.045020494193228,0.0594721599732137,0.1801633045947135,-0.0200752896092779,0.0420597279694196,0.0118147152141664,0.0002133548047506929,-0.1817338147149985,-0.0215262443278254,-0.1085461521977639,0.2100388712444264,0.0243493632969073,-0.010333205028577,0.067234847543529,0.0115332534167781,-0.0051723847539281,-0.1157872300218991,-0.0398154520199504,-0.0923672041769615,0.100511572169075,-0.0735106143714439,-0.1438152335336614,-0.0477303840193786,0.0328278881324147,0.086109861365525,-0.1969472073637515,-0.0762497186504111,0.0501981841811113,0.0370701284431393,0.1565089339823356,0.0910379730068856,-0.0243849627197858,0.0129004959738504,0.2350769007809073,-0.1133462887146503,-0.0204194926298367,0.0371839366197811,-0.1682302956937495,0.0785874541700845,0.2214533186563413,-0.1075802960840987,0.1670024115806549,0.0953209113867727,0.0125250403971227,-0.045912709564327,0.0946732892293011,-0.0255203983844258,-0.1985455979590437,0.0301443006510109,322.36715632010066,2662,0.484878,5490.04079376668,8.610873096456645
1400000US09003504500,0.0043001615683128,-0.2215500350148919,0.1352201937596587,-0.0554966938903361,-0.0126263443099985,-0.2192330580671155,-0.0485536664736464,-0.1230719903194056,0.0225434154112439,-0.201188919242219,0.1467609803165309,-0.0238187293023874,-0.1406722820506358,-0.1655977040827043,-0.1275624448880903,0.0887861075924662,-0.0279119907391912,0.217036961000486,-0.0199291279556908,-0.0275517452262266,0.0504549726949069,0.0864909857189904,-0.1340426682935052,0.0557028051815339,-0.0870227595501613,0.1782910930456756,-0.0279452086811768,-0.0970301392146138,0.1409482882918568,0.0368461204765691,0.0072701780586645,-0.0104861922097968,-0.1025296568544935,-0.0354685256120907,0.0984087835692859,-0.0533574765765682,-0.1164688832795527,-0.0369820952929658,-0.0170296086452652,-0.0818282380387986,-0.2143983030504378,-0.0780589469685221,0.0553441023568104,0.0517336177998323,0.190742207931009,0.1510276201208628,0.022327438612223,0.0261037366432223,0.2889935092130884,-0.1231297418349163,-0.0582075661548303,0.0083749158087555,-0.2198315925340583,0.061968980447058,0.1922515728541941,-0.0941982999747441,0.1873657893358428,0.0592373373799029,0.03505471716934,0.0283130719160648,0.0425235357277818,-0.0343601313339138,-0.1170908545561267,-0.0504373861520877,1499.9943624145983,3108,0.772018,4025.812869648117,8.300730490848998
1400000US09003515102,-0.0995856911569434,-0.0889877047760174,0.0345714406085797,0.0271728025411897,0.0026421567987105,-0.2293098306571374,-0.0324932689724933,0.0284351335454933,0.0414645352995736,-0.1274234034403403,0.1286219465638371,-0.0467374068854574,-0.129314465340008,-0.0564909125568472,-0.2289573109360557,0.0801000466760885,-0.1214632547980944,0.0986300536556031,-0.1253102669901538,-0.0286024565296406,0.0300075116120233,-0.032924736434425,-0.1089389856697903,-0.0022229512313947,-0.000784889860508858,0.0662842195241384,-0.1497938437669233,-0.1182124677526047,0.1195412767208089,0.0535918654172764,-0.0269408983541664,0.0386196884671096,-0.006077561057322,-0.0172584546021082,-0.0127448198446393,0.0983314202612029,-0.0620293235218071,-0.1422133458627667,0.0194183685012464,-0.0692294564671424,-0.070501965099346,0.0010579058272007,0.0845088847189804,0.0635448929694584,0.1372492223778986,0.0892450504162742,0.1612912441632212,-0.0656634122629506,0.2966832121968231,-0.2090279676852759,-0.0943279051418953,0.083290055660607,-0.101630163905256,0.0763856239588436,0.1410520423703493,0.0537121708072197,0.1215005775464679,0.0858024471976307,0.0010096086129602,-0.0080318932975358,0.0159308859171591,-0.1302761266922054,-0.0663813137649161,-0.0352784060239293,1086.6749312221982,6008,14.425579,416.482416407688,6.034242427015219
1400000US09003524200,-0.074972209509102,-0.1407296500758217,0.0582613724585427,-0.0033571387402523,0.0058361631961964,-0.2186610117711889,-0.0229217853764799,-0.0610456103205524,0.0039951514653719,-0.1734118083192813,0.1050901102781582,-0.0494413954924051,-0.1582322881103529,-0.0847584532345826,-0.2161833205210611,0.0971553218508584,-0.1089736244229573,0.1329026525346412,-0.0810886703832214,0.0045456377676935,0.0197670298049591,-0.0099445915121149,-0.118345091156909,0.0082360485768087,-0.0484226259070892,0.0928194045170682,-0.1007254645451818,-0.1570480547584242,0.1564421515487897,0.0485510101221808,-0.0216924501382836,0.0092863495107636,-0.0458771721208971,-0.0260727626033213,-0.0159882500587381,0.0917214795818721,-0.049215683781432,-0.1287336901344414,-0.0162120264504729,-0.0422849282125264,-0.0886931827307986,0.0020702937889023,0.0531335316319006,0.0778545811675537,0.1653180689125514,0.1031390932056733,0.1171287460376752,-0.0248950953271032,0.2875598256162774,-0.2075968808730553,-0.0963384578737547,0.064497365941349,-0.1310010152632015,0.0662363466433943,0.1484407339061352,-0.007069444160052,0.1372115656473486,0.0766809796042003,0.0241082571305246,0.0180836993361765,0.0023383514846285,-0.1077491382627662,-0.0871338817009841,-0.0382139753505415,765.8065816332133,6623,11.573262,572.2673521086795,6.3513521909853985
1400000US09003430202,-0.0838906713457917,-0.0622103906433491,0.0187474505227784,0.0330506915792539,0.017125914146356,-0.2361676541398516,0.0017288643996065,0.0741646634520579,0.09239876062776,-0.1024400799405081,0.1290821687763044,-0.077830264750846,-0.1235364833054715,-0.084386328680236,-0.2108410523583562,0.1032263330733619,-0.1106195771310924,0.065168948973679,-0.1616718135279866,-0.0328666526844112,0.051953789063291,0.0120724963711871,-0.1129345700001783,0.0294872648759298,0.0281365373122589,0.0445952001127528,-0.1573821882659773,-0.1053818445595222,0.1226283140452572,0.0602916861366832,-0.0622266898681127,0.0531246397229331,-0.0095721753069695,-0.0154256541104161,0.0168686711744635,0.0346540741472555,-0.0635149052645263,-0.1612058477824689,-0.0123579160099125,-0.0924364613565833,-0.0460125423325336,-0.0059543896926475,0.1265896369664988,0.0271228297064649,0.0980486205756876,0.1133222601730916,0.1475034017682802,-0.0966247172610061,0.23689297235601,-0.1769106573216841,-0.0935894094429478,0.0868077975976796,-0.0937237400398172,0.0639725338183987,0.1097940083090474,0.0872268875499605,0.1517649685180122,0.090746010912809,-0.0062196248748515,-0.0063394025698637,0.0274205993444983,-0.127679265220508,-0.086788706195203,-0.0116179750165908,477.1593052546815,4770,16.291943,292.7827577103603,5.682840574850703
1400000US09003464101,-0.0713710084378793,0.0307731712222257,0.0259224044809795,0.0655892341444328,0.0156814349710994,-0.2315904862461895,0.0007750738682336523,0.1958822908528596,0.10622621888155,-0.0351069514745673,0.1575120388203693,-0.0512012406819352,-0.124303533265127,-0.0262150310072272,-0.1875517265736692,0.0901448411848132,-0.0928124959724211,0.0619525378745488,-0.1077199523156735,-0.0967854522897283,0.0860426628099375,0.0006203408751875788,-0.1150793124037221,-0.0024881808388762,0.1265559308567665,0.0351468671880454,-0.2402026073253957,-0.0865459310177615,0.0672243933595098,0.0413176084846027,-0.0032796103271852,0.1055719828083478,-0.0097799855477921,0.0023966449127972,0.0134545863610716,0.0300211434888011,-0.0896716002507845,-0.1774732791979794,0.0241365427821898,-0.1461213552518285,-0.0708967511968799,0.0159819998154237,0.1042095038504054,0.0505952594527088,0.0450049257698891,0.0814455955245364,0.219116835498655,-0.17047087425761,0.2945795856800252,-0.1831129412757135,-0.072835471644022,0.0174432140444962,-0.0833935123167044,0.0978565187767157,0.1044651364597293,0.142473773689945,0.137988757019575,0.1142261199509025,-0.0534048851472986,-0.0244400090546654,0.0224782451599896,-0.1103297481389355,-0.0778243817896126,-0.0343615596760849,1780.599987162874,5376,52.828107,101.76400982908586,4.63243519278327
1400000US09003460202,-0.0915116067231291,-0.0571322242401802,0.0054319240168595,0.0533316725642634,0.0005472879817840565,-0.2539605591963261,-0.0126461678028301,0.0912660174848839,0.0761467726091887,-0.084175449649261,0.1553535344981827,-0.0726127826556912,-0.1219398147620642,-0.0996279700351962,-0.2212055871869486,0.1000578533020118,-0.1089553776776578,0.0796478539692611,-0.1615368636484297,-0.0529403457001907,0.0476415387125733,0.0013859531455781,-0.161725429009076,0.0117442559905924,0.058314635595013,0.0622908385186844,-0.1730627073711684,-0.0906780757325751,0.0862296927155111,0.069396543687625,-0.0399177768184123,0.0606359889157101,-0.0402780723388282,-0.0085396197075017,0.0411332322678751,0.0416015994685749,-0.0719538187574687,-0.1622898065996137,0.0122568327290163,-0.1417936975411742,-0.0708299844848278,-0.0101650862045226,0.1212018719228433,0.0605791291510271,0.1109756465650597,0.1075352959144919,0.1792683482854211,-0.1310801177492044,0.2808606403375577,-0.1886976488596921,-0.1023179795916982,0.0583664369728016,-0.0939859694278674,0.0852221530747324,0.1234660506422628,0.1006962441005414,0.1654038102018123,0.0970422639751187,-0.0196771147947191,0.0174506789142079,0.023795576343163,-0.1117500257592696,-0.0843661051940521,-0.020048642139868,787.7183849105824,4867,20.19001,241.05981126309496,5.489184849598904
