cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_comm,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US18003002000,0.0450342098312352,-0.2653262743681813,0.1362664802858399,-0.0564368899140987,0.0948541663473847,-0.0433755297077185,-0.0716304949476036,-0.1461549627662735,0.0112052993832216,-0.1685835115564205,0.0823691852757197,-0.1401640920925999,-0.1443682210464102,-0.1611881196821615,-0.2661550452727869,-0.058030642832655,-0.0341372297091759,0.1635180461008045,-0.0263773138715172,0.0388045588884356,0.0102492935474172,0.0071596591205167,-0.0932769503426697,-0.0760313956458042,-0.0855974440268635,0.2884513314099327,0.0707618566104043,-0.0149158333632951,0.0939881834460344,0.0059453540263366,-0.0108253930682059,-0.0720534195624049,-0.0991730362659717,-0.046939773599263,0.085275927693155,-0.0870829337405949,-0.1227669677361311,-0.1030743638950209,0.0088383290374974,-0.012956234061114,-0.2037784262934864,-0.0904393613742767,0.0762080631016892,0.0201202272348184,0.1684324670973802,0.1123546754437763,0.0436632307599917,-0.034265753070654,0.1406473383505414,-0.1380513798507016,-0.014110822919007,-0.0019137680798367,-0.2376830484431316,0.0614692639494362,0.2389569365903237,-0.0574318028484767,0.1326325707928504,0.0735010257353454,0.0319205903077191,0.0091304450589283,0.0587146692695537,-0.0686383535469657,-0.1751863084895934,0.0536670598610641,0.684809,3490,1.460262,2389.982071710419,7.779459469191157
1400000US18003004103,0.0232832115786709,-0.2062501925509723,0.091032068572819,-0.0655796783073178,0.1101573391499761,-0.0658275368620097,-0.0227284337723493,-0.1339384695623668,-0.009353750889314,-0.1681274756591816,0.0740583667336653,-0.1859916576361,-0.1531618837156206,-0.1379642914079642,-0.2627358390042512,-0.0299342971552111,-0.1038737309765839,0.0771306976558749,-0.0725951348149188,0.0496767850984364,0.0132244417113386,-0.0736250217745812,-0.1130883773963083,-0.0840632546477101,-0.0700512513190571,0.2231768952927416,0.029489332821637,-0.0649446772711219,0.1134551032945985,0.0336050871673001,-0.0465539929218484,-0.0454434353958615,-0.0648959591464376,-0.0392567167592444,-0.000243529319691148,-0.045691509524385,-0.0533524815867199,-0.1500070998827245,-0.0029029920685957,0.0402396232509538,-0.1558109025028023,-0.0468176745695142,0.0722493537966667,0.0274563942491781,0.1559768195892125,0.1075163439282937,0.0663310548876544,-0.0070464105366204,0.1225552339906254,-0.182976771408309,-0.0777982014045541,0.0197974700026561,-0.1949401694207012,0.024181936854657,0.1718063983672686,0.0027069593104548,0.1525983507914181,0.0799196415691016,0.0087521209091235,0.0465898350359443,0.0236525431567299,-0.1550124363650988,-0.1459884099127374,0.0720989978407167,1.821103,6102,2.196471,2778.0926768439012,7.929879778176687
1400000US18003001000,0.0238495965604815,-0.172096964441992,0.1100481889833306,-0.0311080901607294,0.102233352904747,-0.0844533063801407,0.0127203865704821,-0.0840188960812704,0.0043977265365502,-0.1909857946798799,0.0720733529792552,-0.2093065778716698,-0.1573172419161755,-0.1106925428035211,-0.271974085171073,0.0050445703465276,-0.1260358446545956,0.0615111094528467,-0.077608367878682,0.0637443195088517,0.0354805266138056,-0.0605412736868539,-0.0904707318714237,-0.0932737875936954,-0.0193457141203245,0.2020733250086627,-0.0186912272373874,-0.0671109411998487,0.1458852810847995,0.0145914504663685,-0.049798230051779,-0.012136432358073,-0.0993027845647178,-0.0090580922187496,-0.0058095859801726,-0.0339169188607609,-0.0485232874883158,-0.1629256176403589,-0.0376615598338807,-0.0186225762893622,-0.1361876640146212,-0.0361085227930556,0.0748704431843008,0.0171317486174391,0.1443497452583948,0.1249400274450659,0.1198799633904242,-0.0285593118430366,0.107873967884938,-0.1568229264355329,-0.0894279849267069,0.0368878750426782,-0.2013653015800002,0.0326986497647077,0.1689878726297576,0.0400424794997786,0.1705032022954798,0.0809644449490881,0.0206078317250945,0.0500092377909218,0.0251610349540363,-0.166478687633685,-0.1175580134984418,0.0369199363946656,0.491703,1275,2.033749,626.9210212273,6.442414396182537
1400000US18003001200,0.0623717470194292,-0.2219593601205048,0.1632418696334907,-0.158305550394683,0.0649254234087444,-0.1064730747218631,-0.0677461180258098,-0.2122753098606039,-0.0941637862979996,-0.1202639780320218,0.0757593041033835,-0.0508576472853503,-0.0785768665560845,-0.1504288964486843,-0.2662839546142613,-0.1080549562631157,0.01993590265162,0.1719434502460432,-0.0332735367737661,-0.0282527991063701,0.0406945124630006,-0.0174428356494999,-0.1316235576917059,-0.0852924140153745,-0.1328776841418228,0.1836344167582902,0.0368611773678276,-0.0105615618718209,0.0959837419013088,0.021904586595654,0.0535502962432092,-0.0914036919076513,0.0307177745179084,-0.1220800201249903,0.0020518551435669,-0.0805421167591186,-0.1356677271485692,-0.0809890725113876,0.034766537226832,0.007611176853112,-0.1986607049166661,-0.0752740508578676,0.0109513880713683,-0.0520897177185006,0.1648214530419454,0.1277138064362706,0.0103187421170775,0.0726086295119665,0.1968972738635868,-0.0853682339055615,-0.0027486742021073,0.0681019885590103,-0.2486795614344073,0.0100198088864161,0.189672904070551,-0.05496141674746,0.0732397724115898,0.0232382392825159,0.1090654323514033,-0.0310459891910812,-0.0043540295283771,-0.136855469018052,-0.2006423680938223,0.0570669696033339,2.844734,1175,1.05458,1114.1876386808017,7.016777955548128
1400000US18003010815,-0.0105362217535669,-0.0383865565390758,0.0765118877154975,-0.1031594870200142,0.1111940870911273,-0.0403815695072445,0.0547712575225734,-0.0424960401087275,0.0172143492977972,-0.1877696180995268,0.0605231360044656,-0.1876323180856508,-0.0820942558859358,-0.0103417963668396,-0.2976643180350651,-0.0206844013210774,-0.1755782897762471,0.0028250257915722,-0.1081955259690275,0.0840923634085254,0.0005689994171706843,-0.1181215980073051,0.0033821344099505,-0.0669879313573697,-0.0219744325253188,0.1759996572421915,-0.0251267503435963,-0.0867112047486887,0.1545090225223168,-0.0428346332360973,-0.1265239034619397,-0.0451084717484474,0.0017275124408053,-0.0360812510113695,-0.1079685949805881,-0.0256259851042017,0.0087631763959535,-0.176466184419463,0.030349676422405,0.0133881376351601,-0.0558022409680295,0.0232385394526963,0.1133258209317461,-0.05445489032907,0.069837867080491,0.0516221550856355,0.1462822328938092,-0.0031976763891653,0.1124978225583229,-0.1540888005683568,-0.0939494029549835,0.0732462064246692,-0.1271469219992697,-0.01236463240424,0.1276484508213376,0.1440027465287131,0.0942573358841903,0.0557185114475531,0.0193520850570457,-0.009664518965909,-0.0379663549230219,-0.210867422991799,-0.1165180913534476,0.0399837573872908,0.0,5318,16.292574,326.4063738486012,5.791202132825118
1400000US18003002100,0.0348327119068751,-0.2336381203994618,0.1217190379428981,-0.0739377443188731,0.0946420483756813,-0.0812689394365373,-0.0579872149164549,-0.1395785926798841,-0.0133814696045957,-0.1541594421068364,0.0836331685763101,-0.1537893571099026,-0.1353825360142776,-0.1496573208958771,-0.2760201987554602,-0.050525746906596,-0.0620401044050907,0.1303095087774327,-0.0578061026425963,0.0356617956694287,0.0202211843077144,0.0030023990853948,-0.1029915348616571,-0.0713629911866102,-0.0937188889868888,0.2569550759930657,0.0376825220448116,-0.0178261045732297,0.0983632048416414,0.0047005676833694,-0.0196589293688098,-0.063510809848244,-0.0583134938265863,-0.0542992045486644,0.0792938508906584,-0.0919477835320792,-0.1028243320339239,-0.0948486363528575,0.0029782630980337,-0.0149694332573573,-0.1954859910292053,-0.0831237303545005,0.0856534971805482,0.0313537809717386,0.1488091081364803,0.1396715239463132,0.0562307564207606,-0.0216051229135195,0.1491392066060724,-0.1562432569355672,-0.0309663978192024,0.0294637939231211,-0.2114496937856954,0.0450473863494078,0.2151343141758653,-0.0215268900961379,0.1501010760762203,0.0754730553042007,0.0363307956901872,0.0059361556044314,0.0425115494109979,-0.096681140474671,-0.1630186648603238,0.0562531663802046,0.836884,2386,1.194909,1996.804777602311,7.59980424552692
1400000US18003004101,0.020032907314025,-0.1668765814024575,0.0928887317062686,-0.0416121090343452,0.1047189569523733,-0.0631776635455164,0.0332072718700519,-0.0672562939605509,0.0154346137104852,-0.2061880488808618,0.0616581507868284,-0.2342200537710843,-0.1573864033317565,-0.1043514596953139,-0.2372289643262757,0.0468701892056485,-0.1388387444296464,0.0388748654631742,-0.0554803190119682,0.0768884880046042,0.0159475545227305,-0.1031443235581881,-0.0665217151527525,-0.0700876923070212,4.589327216662822e-05,0.1839677896273276,-0.0300362170160343,-0.1135374523441865,0.1573676658423981,0.014995910005656,-0.0751570327769491,0.0037420004764132,-0.115556124898315,-0.002152064809425,-0.0456707505355424,-0.0077110879039818,-0.0263594353938631,-0.173864720898255,-0.0453409378701496,0.0136928604776521,-0.1062143078934265,-0.03349888010951,0.073263789123854,0.0369347424783551,0.1334046517195009,0.1124009537221262,0.0940370157702613,-0.0135490686227495,0.0780531432112574,-0.1780059658461837,-0.113711992569259,0.0130871555163298,-0.1909975773424592,0.0261159182774543,0.1466032922380075,0.0423639848111448,0.1668830830798057,0.0843513867908593,-0.0096013248071718,0.0852763457776778,0.0161261767965363,-0.1588524463839442,-0.1089615560751025,0.0526781016687151,0.0,2316,3.660238,632.7457394847002,6.451647832176208
1400000US18003002800,0.0445475568131189,-0.2527359141101175,0.1426792139295634,-0.0228328563600032,0.1026148822172494,-0.0234947442440093,-0.0367013592930113,-0.1310976279436507,0.0464828255774594,-0.221925661436986,0.0583990884226121,-0.1683040396859866,-0.180860445885068,-0.1446194170862778,-0.2419406917163978,-0.0039554662353236,-0.06561757003545,0.1532840802052182,0.0089591607484728,0.0658393449656353,0.0109689870952364,0.0145045242793476,-0.0595841227549443,-0.0577404923231872,-0.0628944120294661,0.3228461567281451,0.0546001085590861,-0.0568474524929221,0.1208193079593863,0.0016793430933973,-0.0253253172661114,-0.0551595040895362,-0.1543649311392898,-0.0109827732671045,0.1055724510335887,-0.0734009862208185,-0.1187304142630497,-0.1152488127878968,-0.0191988659624114,-0.0220682803361416,-0.188267022673062,-0.0893983500220945,0.0863693246049924,0.0358446592649786,0.1668257980411583,0.1152543865248488,0.0524180344770989,-0.0433636395688542,0.1256565178048283,-0.1626491596565895,-0.0318926491524083,-0.0382084365486923,-0.2472847858173794,0.0681886141485343,0.2512707295729221,-0.0664899407445537,0.1459507593001255,0.0897941524891659,0.0229674952308141,0.0286403326693892,0.0621347137875735,-0.0404275368364215,-0.1574912860184266,0.0377390324392081,0.0,2522,0.963391,2617.8363717327647,7.870485365172477
1400000US18003000900,0.0372450775169577,-0.2150561482666059,0.1324315412480199,-0.0654904778291301,0.117576106152989,-0.0303082475309603,-0.0219515310170725,-0.1572468377296952,0.0149715048824218,-0.2066882858983115,0.0449886744605652,-0.167827082589194,-0.169995457550114,-0.13600053827579,-0.2625787521224336,-0.0401316045969863,-0.0737229070534271,0.1258422584235597,-0.0142988254295129,0.0503487832829849,0.0130965495456612,-0.0342244066348776,-0.0857452491152964,-0.0819608671782426,-0.0877105282711347,0.2772757682720851,0.0366442840909061,-0.0695911944971977,0.1174897453375225,0.0005228116928110383,-0.030088448855338,-0.0628193682134708,-0.0917678026859692,-0.0443339500230514,0.0421445578007233,-0.0538315980901698,-0.0959815428544753,-0.1347891311397729,-0.0210320436502751,0.0266360866913201,-0.1543538182616124,-0.0713641835885314,0.0699448313968343,0.0337977411479077,0.1695987981754845,0.1077197155697912,0.0564534032336218,0.0060352131623936,0.1187933076579765,-0.1677915976505155,-0.0374434006382843,0.0099784010585704,-0.2333021701520837,0.0234529555482954,0.201708609655577,-0.036645139676251,0.1334030215996051,0.0759367796618415,0.0317583861797904,0.0360953602701415,0.0413014199453918,-0.1022667342516274,-0.1691828766259128,0.0346204487542632,0.0,3191,2.038752,1565.1732039993092,7.356390473243974
1400000US18003010400,-0.0293872725470631,0.006146993342543,0.0538512437612136,-0.1279769166816655,0.0757259707649503,-0.1030811243482107,0.035140508866265,0.0304867685149378,0.012059404199958,-0.1817032355939045,0.0826501678832304,-0.1045776198234227,-0.0040880969830167,0.0322559972074424,-0.2458349475814148,0.0003037016338825725,-0.1833765224843356,0.0111662705996331,-0.142368719265265,0.0703244274696801,-0.0167681608437872,-0.0837832661835373,0.0350987273119217,-0.0044670181661129,-0.0348033597769088,0.1439130315556777,-0.0068731106512822,-0.0111896130591741,0.1006675900964758,-0.1160851554568813,-0.1654109765697339,-0.0569839582172069,0.0260702879038362,-0.0126002487868032,-0.0801023420768006,-0.0479229763497232,-0.0102975936896898,-0.1143074818108827,0.0882295899825107,-0.0245949781090793,-0.0361520154234016,0.0793718232731636,0.1371190783984298,-0.1319110957920456,-0.0041129556631402,0.0295082556933759,0.2036399914595419,-0.0636771604733867,0.1334845614357238,-0.1186263480160983,-0.0383839457351677,0.0922869173720617,-0.1263085135692919,0.0055946694352309,0.1512171652415222,0.2108573306472355,0.0456451392207485,0.0731892465534085,0.0044178151212867,-0.079318297374345,-0.0951838353414666,-0.1853891900905038,-0.1066888746072336,0.0574728068786246,0.0,3824,94.604392,40.42095635475359,3.7237869449030496
