component,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
PC11,-0.04987667744507997,-0.07594363299973633,-0.03675731899153004,0.1425602931112192,0.08533740944775242,-0.03263943758544538,-0.17812159988629195,0.07828050304697473,-0.04088339819370923,0.21180133591348985,-0.005400518917153395,0.06978967556830122,-0.1660880129386214,0.11492291315160305,0.03686433662950393,0.012102165194959196,0.13734419803402684,0.026513641847982626,0.19222597279265988,-0.03994937431928335,0.14448188006294424,-0.21316668797003277,0.03134245087228439,-0.19051931012251322,-0.0020012705135194746,0.0413773475941078,-0.12607684362444505,0.02962956940864336,0.021087950895900938,-0.13211916566147142,0.07012019315211919,-0.013463584183591493,0.10211702641579527,0.014943444448368936,-0.11138673855645453,0.1944586936540365,0.07091962945930784,0.07879009108329157,-0.24715349964628444,0.33832349573114645,0.0899957769491822,0.0728737715860531,-0.29693638367744,0.16606516115049735,-0.05279704807293512,-0.16039380982533727,0.011457655755368383,-0.013136031729211309,0.06811627628628676,-0.040733419769060385,0.16195101251822472,0.11332597763279603,0.2049422244131764,0.16675703826394922,-0.029233724835454153,-0.06313546371000997,0.030571809254492825,0.11834387986861888,-0.05509402762800503,-0.1701582633308548,0.12061164813704518,-0.008003427931844477,0.008256527977441846,-0.19919968359162765
PC12,0.12633887757046466,0.09164720758293461,-0.1391966784364155,-0.02589179920240431,0.0023671012909125266,0.0708611713451736,-0.14126239453743678,0.10686387133542842,0.14439663161716565,0.12127324849945133,-0.04373252055567678,0.04117823977425424,0.0685544206763401,-0.0020777546992002682,0.03537267534969858,0.0025928158358125217,0.01114519163839368,-0.08211357860321453,0.1764031870474507,-0.18716553817313722,-0.026442225497210092,0.13282214875484857,0.2226096717137965,0.05720026484372818,0.04970667032336381,0.07673065562341948,0.05331312224506444,0.2307254619302162,-0.14999968250829268,-0.1038049626522207,0.01815546353617778,0.17610477602109242,0.034596451024889494,0.031023686479032662,0.11427343423913155,-0.13999133467610755,0.042316055041157596,0.11086764077626242,0.30591254483813585,0.07607815927866045,-0.09306513658205981,-0.10145419421387854,0.12811290523203964,0.0014198826417127358,-0.06391143385350449,-0.14890252757727,-0.021751013528855515,-0.22345882301735198,-0.044740544791684225,-0.06434472219395126,0.31060213159377403,-0.258865114100428,0.09510573309215332,-0.01960768301117307,-0.056927768133937004,0.046457428396320465,-0.007014978477281393,0.07551286562824742,-0.16538251856337066,-0.15538816284843548,-0.010628705712476965,0.2740771171167223,0.05531991058950119,0.14328731937510264
PC13,0.15290839600185469,-0.011256491099674594,-0.021068679431805293,-0.10744139289678772,-0.017544732416666098,-0.12516931667305445,0.19535376327069348,0.026752751423723464,-0.11334415486124412,-0.07836696708678231,-0.25004091113579346,0.07407510486067956,-0.028315607853596048,0.06780379055236256,-0.007799563093074032,-0.04596031186127096,0.05180786856141112,0.10111529174370897,0.31114807976509334,0.11285814542821691,0.06994003044281652,-0.19883472677823144,0.1966040138788454,0.015864211286747216,0.23736749273722943,-0.11137147961982032,-0.06596566642690942,-0.11752068103270442,0.15044025305495318,-0.0437061478125869,0.1923552051076261,0.2756438232502031,-0.015570974928365316,0.20729196412869605,-0.03544068088022763,0.07741967949036255,-0.1245180883279686,0.021288383636497585,0.23136474236656435,-0.11119009355368495,0.03175276586282395,0.04991645087261658,-0.22425441413426617,0.08331394743787725,0.015485117755030517,-0.08883045398122869,-0.0875087520015329,0.09510791325634292,0.0055505802219133794,-0.08406713296168929,-0.11021171934627233,-0.08932404155672145,-0.1355465060925568,-0.02228044887179964,0.09991243198815897,-0.035259119558258334,-0.08748729540166733,0.12695758644275443,0.17326414970946774,0.12451973963473303,-0.12268638987433655,0.0316644602141329,0.1112521090067968,0.10924424710868845
PC14,-0.15632891362049922,0.004952949731674814,0.12605450552727335,-0.1160635018100799,0.05189775200373903,0.05624842134710403,-0.12835550284579048,0.023155341212718727,-0.15347488216928803,0.2540177764001296,-0.16796184687963178,0.04955812648192767,0.15159579093738967,0.0325471295219352,-0.11392471808811391,0.11745961418839448,0.19800763810905386,0.06122233487304274,-0.0441847872731688,0.10453621455530492,-0.23461472619101825,0.04181977062335719,-0.025734616966482354,0.10201843813865491,0.24247991775907513,0.13485554445084716,-0.08090194152180857,-0.18907923538824098,0.020487902640204878,-0.10782949857233959,-0.1378110146961144,-0.009141403294799288,-0.14132925926442721,-0.08023182942411206,0.06299479292007228,-0.0742171088635271,0.0568343494390115,0.056147037931375404,-0.010638041897496203,-0.11784480774557224,-0.021812718688981506,0.07166022779141816,-0.07862428674698559,0.10091622030897388,-0.15664806249056334,0.3162945714146832,0.042369450446466436,-0.04702371387205252,0.031976314337432594,0.027873483916341757,0.07116526187152343,-0.17088539782591908,0.12221661096966283,0.2752210534935959,0.14360467572892696,0.021668982290139707,-0.053865577116809574,-0.158136349152163,0.07021295469872113,0.015711325288710193,-0.18153395414812407,0.17220628319877623,-0.016111339989035703,-0.1703376169369319
PC15,0.014020002155093579,-0.06718264838747057,-0.030808859920699053,0.1801968454698471,0.05376197143182513,-0.04738553130819696,-0.11701449254007963,0.016443384557002432,-0.09454325661730287,0.04383985551601287,-0.0005139124420516852,-0.08802871735564928,0.021471081898203195,0.02538224429083171,-0.16282355745022992,-0.0037205060646347266,-0.15657726032086752,-0.07591614087519094,-0.006875861622846525,0.017027208566008957,-0.06927272119651434,-0.18206145372207796,0.24745063526604402,-0.021332170779912098,0.13099638973229355,0.09062109019928252,0.05078349111877801,0.28590644017185507,0.03930876734965393,0.09678969670443027,0.04737778556781908,0.06663027480474841,-0.014206866049896537,-0.00689594413580133,-0.061426552403349315,-0.10618500114199102,0.02781911874954418,0.029894298233993997,-0.08878438745977257,-0.008705379083532555,-0.012802940826551215,-0.18784809163529376,0.10180538276967299,0.020216035309676177,0.13384711285348413,0.32141546535634646,0.008999857451406003,-0.06256654311195178,0.06625992245002442,-0.20908634774112056,-0.2526101977550733,0.14024818644729747,0.16787480629990237,-0.10104257129400479,-0.015944285589184093,-0.07085509148466221,0.11341994285125995,-0.1229792807874659,0.1863708323183303,-0.09920194256908348,0.08169455403619152,0.0488448845010951,0.43092055324639134,-0.00734454227738587
PC16,-0.03510923240008224,0.17171515708065738,-0.04098404472207867,-0.005103099059764811,0.10835803187967426,0.1671590839630798,0.010480015689991549,-0.04306137091186351,0.11812026704882601,0.0683138361434781,-0.13761029363268557,-0.0500245260222756,0.130887577193058,0.07483933830334201,-0.07122446786687686,-0.07682738216723854,0.08939625575089544,0.04391949856343836,0.18164261391385259,-0.026978091160365578,0.05191331235981838,0.035549213764626386,-0.008626614079255746,0.1455411995415457,0.03901941796686703,-0.015360227827419137,-0.0002112839384487944,-0.2810513923997231,0.1767220398752755,0.16174147050950405,-0.1171984867331611,0.23298009542701684,-0.033434386457389595,-0.46608790184074445,-0.05779569779088318,0.013354019671780942,-0.03390677942071586,0.05126845709161132,-0.025168995561117482,0.04513143905114106,0.1135571299704822,0.014886263475488586,0.06480732929682789,0.010715100124243145,0.23747862430758226,-0.06279563200880997,-0.13697281511787537,-0.0062711800861468305,0.09757428199913937,0.03956369395372146,-0.2189434619234627,-0.008071863995839366,0.17466771606164888,-0.24657675655651526,0.04941225520459025,-0.023863026897518284,0.10520034167846748,0.07042595954512097,-0.1753342223358217,-0.09943831229813135,0.16780778864129395,0.04840509027859424,-0.10351316556804453,-0.03118700631942234
PC17,0.10228760812634409,-0.10174368094067321,-0.054468075360514685,-0.03563227792164904,0.010338721211502144,-0.09029461925449256,-0.19081169843357831,-0.004317639368186717,0.056772621947897894,0.0129175485811951,-0.15143166560824384,0.054669187802724895,-0.12282844106283827,0.01383054030429974,0.16968516849773013,-0.13002759423635596,-0.11178668124735584,-0.014950511095604496,-0.18418881355891478,0.16660883264504872,-0.07901110734921815,-0.015440810388474495,-0.05886004100106631,0.2143198947725734,-0.02560946400362127,0.0894412799124225,-0.11342286251688882,0.08899289669155616,0.32286278848704325,0.02847002394297017,0.014405912168011167,-0.12112877566475488,-0.051584291911465074,-0.01705674347418025,0.037262909930605215,0.06260051545048737,-0.06734190475115742,0.2694935505878526,0.2699398341961717,-0.028887099896982148,-0.3145728789103917,0.06532074713667067,-0.14774505176515276,-0.14715701869685827,0.039444933077242755,-0.10767998564125131,-0.0051360694952278865,-0.012955205688709268,-0.00011818099625026269,0.04098476289332373,-0.147724365561819,0.10849324249733187,0.1972365931925102,0.16742978016127497,-0.06520454799763281,-0.06537691387320557,0.005054689032684634,-0.08455055193461371,-0.31275951463442325,0.06497135485421464,0.016645235083600704,-0.1166866414707882,0.08525067314146667,0.006027162442189912
PC18,-0.08385266719861527,-0.18179123248095258,-0.08666566176109122,0.07032207524247712,-0.06335945083830904,-0.25768470738474514,0.040514703865851015,-0.08234125654710567,-0.019656280421268296,-0.1547054153761356,-0.0011347940688466208,0.12677592377580563,0.1318769393376328,0.055476166177737075,-0.061520617964653704,0.040191753563663994,0.1232254707716111,0.03241122197533911,0.12221604901693425,-0.17100417925874747,-0.06407318017059804,-0.1999907574287939,-0.059554685536625324,0.05856723910967221,-0.0812778148119076,-0.12623403499685049,0.0175430119447536,-0.0100106691294881,0.028556849255284456,0.07970335394293288,-0.0826336978725121,-0.32721628419033566,0.016191296961345338,-0.2429011295577709,0.1139074963306814,0.08722206557775757,-0.12913000546160605,-0.26597634867980324,-0.07446729048549257,0.026928670462205227,-0.26976618846295186,-0.023236714083044972,-0.013960443471937888,0.09925128258135063,-0.09727097524346709,-0.12293976161225767,-0.1822670894839959,-0.027489120184319128,-0.0469690686437266,-0.1344371651378774,-0.065833581354542,-0.03905222178312136,0.06490072165083688,0.01981060818890271,0.09583134268922855,0.13290857779549103,0.03607100943843316,-0.03498697179108022,-0.05359432955093679,-0.17046431908711396,-0.22430001722234055,0.19681949375639002,0.09120372466881044,0.20492791854792802
PC19,0.031486775656571785,-0.023032381240391357,-0.2048078335415697,-0.041838013326552785,-0.02523989883365347,-0.12495936628396184,0.0004512732575599615,-0.11177287924813706,0.04356857306211627,0.07280584923173228,-0.0022972896365180753,-0.10336169244113692,-0.10148931516761175,-0.13940585079260756,-0.018654981278821713,0.06926234079891333,0.07472582948760906,-0.009655671672956105,-0.12888178439896653,0.3510230932928117,0.16904443214792209,0.2373718990304247,0.2173480357085476,0.08546256497336449,-0.06657474543769426,-0.04616358597093523,0.10583184767399532,0.08864446564150784,0.16611361612358436,0.08594912361134717,0.023964784804937314,-0.05029819138089896,0.003033840471715614,0.001033245672118952,0.06125173308639657,-0.17386182148084375,-0.010613994796403181,0.07956589391161319,-0.21719168758429483,-0.012384289662739911,0.20625054466614914,0.10985500146406663,-0.14687305010538576,0.16066892678297237,0.0013782080483928007,-0.06899428311080927,-0.15685615126511732,-0.3496593767580073,-0.08065922219433379,0.11797749951992105,-0.03236255976303379,0.12729912187411702,0.03563203358335533,-0.029987684122958515,-0.06011344254063225,0.06873562560244585,0.07242432526942427,0.050586054699859925,0.130988719967345,-0.029940652711224477,-0.2590557376095922,0.1513566678796976,-0.11086491797678806,0.0828197089466884
PC20,-0.06856483898708189,-0.08996509988813273,0.07012501871176487,0.17571030924210732,-0.02014449975748564,-0.04497917690692089,-0.005043488182784078,0.10540698904854742,0.12688893977663263,-0.0024667080687761876,-0.19518218443676788,0.06032140501069225,0.06313539476706867,0.015174319131238533,-0.03341419279395745,-0.10767911530432367,0.056665643136244864,0.05570221024704647,-0.03646210566390372,-0.060380965833315335,0.010579060541387391,0.18746938873015356,-0.14922303918476523,-0.002707812715399413,-0.08514408937428494,-0.024450095667072427,0.12845712017641944,-0.07279509708232064,0.09523747081122405,0.07138626732246822,0.06550573580447559,0.0010154838960178998,-0.13094814329241836,0.1330329984850011,0.02773816565548249,0.32049313806827645,0.12081706739362205,-0.03442062447389352,0.15840356073916423,-0.20141682456181229,0.27051728289710797,0.022505314923251793,-0.08810452089229368,-0.11748832762981347,-0.03202925711441536,0.09322034112275335,-0.0379377341595718,-0.12919906846779042,-0.22483303856368708,-0.11602780608122908,0.08995406131011865,0.25887931344719445,-0.10155517370298567,0.046160232268508454,0.06978800882609484,-0.12354926052807598,-0.04788280831129701,-0.13961554975553106,0.039987493366267515,-0.3028985181324233,0.23506361930800845,0.2209594296406489,0.03313292063109612,0.10616780376092504
