cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_med,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US01101006100,-0.0681788519125908,-0.1051743572953231,-0.0168537004418603,0.1987144994085087,-0.0753797016486115,-0.1286683380919153,-0.0061316328024631,-0.0216867052136003,-0.0255165380715164,-0.0243867144488422,-0.0297450896126888,-0.0388443363894203,-0.2384543016621738,0.0036879511192463,-0.0689878128315554,-0.0013737650010723,-0.0892222879599969,0.0053437425181272,-0.0505053424110828,-0.0426464927014042,-0.1263087522645159,0.0826334287702904,-0.1221113818547896,-0.0067391341349351,-0.0331211519002203,0.1789762752061529,-0.1327409892944463,-0.1056739550845926,0.0452703101103505,0.1914114966683314,0.0559948117461746,-0.0533082086343923,-0.0581309180157669,-0.063309270186766,-0.1887076718988893,-0.0185191716758438,-0.1208969831088311,-0.1121564290317836,-0.0022610705417777,-0.0936461071356968,-0.0782112467286521,0.0453179810737345,0.1215551723443915,0.0883854567752482,0.0922862453926462,0.0849652738377517,-0.005429485740655,-0.084258843127284,0.2660889822682503,-0.1195310349928019,-0.1932738888845935,-0.0453287561306695,-0.0884205336025214,0.1465134548347663,0.1423467762681302,-0.0314788451112992,-0.0736229007202159,0.0760801598619801,0.1029013292950125,-0.1698380333993841,-0.0475045186347387,-0.1375224843612031,0.0075147577007437,0.0573268347928851,0.0,2138,7.293155,293.1515921435922,5.684095253988634
1400000US01101005700,-0.0184735892644525,-0.007794521077528,-0.0857588551959546,0.1978062056319373,-0.0521944235754704,-0.1405154350753614,0.0365624613582988,0.0710195094156412,0.0886462546577347,-0.0250362236935138,-0.0797358871100104,-0.0096785288616362,-0.2125037347795749,0.0271684893725639,-0.0587552843646328,0.0342993421425204,-0.1257380619547971,-0.0154765382249857,-0.0351752111076504,-0.0773298011973545,-0.0952695828715797,0.0636266862795931,-0.0540424690771405,0.0470504928950777,0.0342557962414838,0.1401272903296244,-0.1976043725618715,-0.0725537296557662,0.0165771598343692,0.219363682739243,0.054446880031391,0.0406663015995982,-0.0302224114646159,-0.0728655063709836,-0.1682106482515617,-0.0165701141252427,-0.1630466643514789,-0.1170677767474978,0.0895948348348372,-0.1030251830097261,-0.0493575558591951,0.0810315183281317,0.1645525831950059,0.0023082881851459,0.1023196965339571,0.0617244104328985,-0.0192043207640913,-0.1568702230457796,0.197404789435985,-0.129169597680903,-0.1833985183790273,-0.0267162837814234,-0.0370933031773646,0.1360535598505084,0.1072467240437775,0.0724521043719344,-0.0537493831417145,0.1209998743998812,0.0914867958965456,-0.1730428698301309,-0.0469408142683871,-0.1047672883350589,0.0605340432469312,0.0703671884497594,0.0,1464,322.817892,4.535064617793862,1.7111032404906232
1400000US01101002800,-0.0184160569456145,-0.2727639921843142,0.045031946764791,0.2031867384605821,-0.030245928616237,-0.0623389965263898,-0.0387280800292388,-0.1437875243210993,-0.0353024196109655,-0.0761745759030445,0.0477934100753879,-0.0627338612111566,-0.2464368623126801,-0.1081295969055992,-0.0930635807084845,0.0368000985478436,-0.0147016679413279,0.1066389587271753,0.0026054023534244,-0.0058786282419327,-0.0468173037377184,0.1432651893870803,-0.1221252616211269,-0.0364739251856942,-0.1164851615713064,0.2819180744850528,-0.0043444456599363,-0.0297885274376981,0.0138286997047776,0.1191485874734958,0.0840175113252535,-0.095019046651583,-0.1447177360328622,-0.0033759315591981,-0.0661468293343528,-0.0873224297436026,-0.1258050870984368,-0.0957020904581966,-0.0227854654772101,0.0380145601380587,-0.0756119113459152,-0.0152090656900488,0.1315868532527065,0.0827111340125079,0.1300525924095296,0.1043522306229618,-0.0349865279039051,-0.0374555316257928,0.2105924333620232,-0.1136119984515793,-0.0824981951599117,-0.0220719346819765,-0.2449832290107177,0.1359051294809674,0.1893763190901694,-0.1617612317689492,-0.0144446185592716,0.0826475750643178,0.1172522452300513,-0.1575873770173953,0.058488119707868,-0.0257941763921017,-0.1029008831727374,0.0007927223604991117,0.0,5152,3.489421,1476.462714014732,7.29808151310039
1400000US01101005301,-0.0639062357452906,-0.3083330454657728,0.0513854401942528,0.23740769492805,-0.0462006047714491,-0.0573814421301389,-0.0580820232087327,-0.1421691244173183,-0.0425827595563113,-0.0969524379584565,-0.0443952462614875,-0.059083758401645,-0.2062440654907346,-0.0762667045941095,-0.1097295383402782,0.0390875532981104,-0.0401569631663329,0.1372738599233146,0.0274660228547685,-0.0046454235050261,-0.03872134085684,0.1031421362847384,-0.0719712643522559,-0.042865347705563,-0.1387150766481613,0.2240026929866649,0.0607964169907537,-0.0602303918717995,0.0066882303827961,0.1368481009730676,0.1163458980528606,-0.1037518203273499,-0.0995216422851313,-0.0145703841498208,-0.159287218729596,-0.0340878716987225,-0.0855113879646451,-0.0638427611727465,-0.0194790712981992,0.0470173053223095,0.0057075042528712,-0.0180146062984654,0.0830792141313512,0.0954047537312977,0.1750256402741832,0.0831748263133759,-0.0605319176276476,-0.0531871875729135,0.1752851045981132,-0.1225515975175165,-0.0861482637235186,0.0245675659001834,-0.242859606450785,0.104834907510749,0.2107286833674412,-0.1318215053782707,-0.0581629122377731,0.0956867008405907,0.1178232097526264,-0.2054384598499107,0.0656538666358069,-0.0014611804034966,-0.0437114928018816,0.0231112252523409,0.0,994,1.534586,647.7317009278072,6.475019227419944
1400000US01101005904,-0.1360395652978775,-0.0480596168325806,-0.0248162648331044,0.1534595179029544,-0.0641863979659417,-0.0577089418100882,0.040914811079595,0.028920194371811,-0.0055625217089431,-0.0063169459327492,-0.0679951528585823,-0.06563429784229,-0.1834613072019661,0.0201254395883034,-0.0656053121190302,0.0476849671080618,-0.0922206206229046,0.0344612767977045,-0.0757187630663748,-0.0554825979327081,-0.1262082945333235,0.0607514159157872,-0.106787335280802,0.0567553449431737,-0.0113442590748945,0.0799439724146553,-0.1756488234077722,-0.1887940613062412,0.0157779077280375,0.173943408234263,-0.0219830963531465,-0.0737989620042666,0.0041394278966945,-0.1496430257945718,-0.2740338495626028,-0.037321199889985,-0.1355026852771092,-0.1520346952647823,-0.0253638056967126,-0.0677586499512753,0.0060726869538217,0.038082549802401,0.1058845421781852,0.0407212065228782,0.0881775879938687,0.0334023567100941,-0.0359737504806082,-0.1173774270469491,0.2131047024561873,-0.0398898510497764,-0.2003743840431626,-0.011841857393918,-0.0818439856306868,0.1306173918266187,0.0981136089628703,0.0793570361590401,-0.1215272102111428,0.1103054293847246,0.0878960799172825,-0.1450487419884832,-0.1208463730962164,-0.0924385058211369,-0.0158346276561456,0.0589702680059886,0.0,2751,217.850818,12.627907598676082,2.61211971952009
1400000US01001021100,-0.0600597015599903,-0.0191541034187665,-0.0598295586525376,0.1853660095540694,-0.0473659261316138,-0.1524018473741446,0.0123528002745668,0.0633049458355988,0.0486566822992795,-0.0502100975445291,-0.0729550130431311,-0.0002570179272136706,-0.1934722305319345,0.0183917061901946,-0.0563346686405839,0.0310603561688268,-0.1255159641048644,0.0155510665089159,-0.0461952851591381,-0.0722243649024734,-0.0964748016076247,0.0755646785925782,-0.0358803825689729,0.0445048859013119,0.0349767709650093,0.0948001195412596,-0.1573459345607072,-0.0828646050306335,0.002026011817884,0.1702517784331547,0.0419080287574693,0.011237555772376,0.0078093996232473,-0.0587740831241302,-0.1818105569245526,-0.044365295048999,-0.1225011425684052,-0.1343824838497769,0.0607956919889738,-0.0697892311742634,-0.0327170062483875,0.078277301963783,0.1587498015705088,0.0102705156172532,0.0957550800938781,0.0561842802200761,-0.025250103604658,-0.1392218223247006,0.2311470017497934,-0.1156654446704378,-0.1699559840314148,-0.0136369838602139,-0.0596744022031847,0.1166223833330766,0.1130845782863546,0.0772651943090528,-0.0540859952051848,0.1283497462250137,0.0757011771986439,-0.1752768728575991,-0.0702261162412255,-0.0911682908815714,0.0628562670953709,0.0984133419285113,0.0,3497,478.151753,7.313577704273313,2.117890046212698
1400000US01001020502,-0.0504148927169426,-0.2572315355933814,0.07023068624234,0.2409346278094503,-0.0359417161764074,-0.092922023033338,-0.0483980107909397,-0.124895374025336,0.0073741847776392,-0.081364806034525,-0.0315101210192295,-0.0431354817346408,-0.2693441127746112,-0.0985854618559833,-0.1245011226725155,-0.0025430774012208,-0.0237716887039071,0.1444953373278798,0.0156670181218937,-0.0655069888965288,-0.0578806156855016,0.1402299451034274,-0.0890306249461759,-0.0122761472638137,-0.0855126561882819,0.2284537427844119,-0.0594342248204972,-0.0430526218324006,0.0134957718262791,0.141406605260839,0.1134139906749582,-0.0626050478156639,-0.0620400790893514,-0.0290952394802219,-0.1046647865910269,-0.0399427142886762,-0.1332047541472444,-0.0891815035521372,0.0153059380474555,0.0255326327064246,-0.0703173060079244,-0.0351347263239266,0.0982584286839842,0.082957023897872,0.137490830196533,0.0622896853661221,-0.0595275267398446,-0.0592886980661507,0.1838900468383113,-0.1254257546765465,-0.0775656408502479,0.0400113773064013,-0.214820926630692,0.1543923556391378,0.189828580024962,-0.1687903153580417,-0.02470390244529,0.0746704887733062,0.1001551632144858,-0.1825993922796296,0.0487139713706555,-0.0541135558903774,-0.051898458086432,0.0334483784262633,0.0,3100,2.09739,1478.027453167985,7.299140024518234
1400000US01001020400,-0.0466188719673601,-0.1617919940100668,0.0211533212646092,0.276136037852687,-0.0363197063894457,-0.1200255232457249,0.0180130022556955,-0.0180205261540168,0.0473358322400358,-0.0992019323051033,-0.029060797967302,-0.0406841165935527,-0.2575524825833151,-0.0277517893410441,-0.0875425233174066,0.0498069762126803,-0.0794553812161118,0.0884648664966352,0.0092563749858749,-0.051360383036281,-0.0549972474139365,0.1325055167422869,-0.0497944499158657,-0.0271445488264901,-0.0018643660041368,0.1626264197345679,-0.1125225329270935,-0.0696060472767801,0.0065851928958494,0.1420247126595142,0.0899904083749798,-0.0387419495530131,-0.0762292672922309,-0.0284078918041006,-0.1521112406990381,-0.054131986387172,-0.1457510503303378,-0.1467079878185587,-0.0112078524846973,-0.0647097433308201,-0.0537551274047314,0.0003246263396786285,0.1311322430404974,0.072127926041754,0.1030792200170682,0.0673201460751619,-0.011066080230754,-0.095057681577139,0.2179622804421261,-0.1207916033143131,-0.1400756031915335,-0.029529228162474,-0.1734481999905496,0.1360783810327294,0.1621875704101766,-0.0558403437839654,-0.0211353170548566,0.0912736441384854,0.0845626358996453,-0.1997075569662855,0.0206206769653317,-0.0812682125822796,0.0144149684902429,0.0364847190909211,0.0,3539,6.384282,554.3301502032648,6.319562802115357
1400000US01001020902,-0.0526034015324219,-0.0404196536471281,-0.0692564884467875,0.2076459869672584,-0.046802187706043,-0.1363162365455607,0.0125574064275242,0.0454422517260617,0.0776532249108345,-0.0506832397687939,-0.1142453978313644,0.0020092242027025,-0.2046723904653785,0.039639739949071,-0.0655897409429158,0.0086172858665347,-0.1195415760179597,0.0478992751477528,0.0093320675086829,-0.0664392286694192,-0.0973977612669921,0.0628023569175067,-0.0087967722005437,0.0331301643310112,0.0267274328930855,0.1203103987755757,-0.1896136781989738,-0.0814201335935967,0.0286367264894529,0.193463826533466,0.0787285824336,0.0486016279973077,0.0087280958519331,-0.0367232754380974,-0.2007120102632454,-0.0189861945707811,-0.1358679569557637,-0.105948980827403,0.1095999598074985,-0.0673849447395477,-0.0147060320582361,0.0786271265758134,0.1468179771420592,0.0228789656439678,0.1237545145926582,0.0378621092287878,-0.0226694440470837,-0.1552565538372943,0.2108091312418155,-0.1522489193374903,-0.1489575452672247,0.0164448654995533,-0.0665011085889632,0.1280020704854721,0.1408616271005169,0.061509097902065,-0.077403789514895,0.1389058069059751,0.1134898105053805,-0.2062767479663301,-0.0517068820057741,-0.0842106243067393,0.0653022164664249,0.0871899750795526,0.0,2586,187.504577,13.791663336303518,2.6940637339761335
1400000US01001020901,-0.062176711347032,-0.0162727404735237,-0.04894308485926,0.2257979424533386,-0.0254853530561548,-0.1389592373552012,0.0204585041937148,0.0698693986462772,0.101219499332568,-0.0479571302695641,-0.0834287338784793,-0.0226469847790942,-0.2318850527574072,0.0029957262548396,-0.0634911091413125,0.0436726245913435,-0.1127166407087846,0.0263903599396637,-0.0497344136401258,-0.0603436045222358,-0.0767849258727931,0.0999222474309644,-0.0306834622844904,0.0368069991283519,0.0337933823478937,0.1177826136680434,-0.2145039655625206,-0.1005392300904134,0.0156580602436163,0.1838487430800177,0.0366293642838816,0.0323797851226325,0.0085061074365117,-0.0623733798451525,-0.1643404649742655,-0.0622939335003796,-0.1551214992221783,-0.1583972346052386,0.0543758461921718,-0.0735578488895834,-0.0244576660050256,0.0658437280162358,0.1638065523304778,0.0046720594330967,0.0847865701074194,0.055407836789283,-0.0119277435944317,-0.1468280502640412,0.2127730761620171,-0.1247212132518821,-0.1531540410425589,0.0152080602555267,-0.0818409696110822,0.136349745045941,0.1045381068004836,0.0547982671125499,-0.0513142538456376,0.1288710169741476,0.0745107920591567,-0.1712528924602327,-0.0484372793571179,-0.1153172250863615,0.0203194886847411,0.0721189669771159,0.0,3661,105.25224,34.78310770393105,3.5774759302040406
