cb_2020_3,cbsa_code,cbsa_title,group,elev_mean,slope_mean,ndvi_mean,tcc_mean,dist_water_m,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio
1400000US18003011702,23060,"Fort Wayne, IN",low,243.3993361130489,0.8685116132692471,0.3895230837305219,4.890979570230757,1026.1844830869884,0.011021,0.011021,0.0,0.0,0.0,0.0,0.0,0.08817,0.693147,0.212796,0.181377,107.5282
1400000US18003011801,23060,"Fort Wayne, IN",low,243.69141979374086,1.2936418645170946,0.44436863240135044,11.679588447147891,573.3959100645899,0.011112,0.0,0.0,0.0,0.011112,0.011112,0.0,0.055561,1.098612,0.255241,0.173086,94.4998
1400000US18003011802,23060,"Fort Wayne, IN",low,247.3246931052899,0.5492748368801178,0.3724989681673803,5.292221115756957,1632.7963245756905,0.021107,0.0,0.0,0.0,0.0,0.010553,0.0,0.073874,0.636514,0.259366,0.161383,100.3464
1400000US18003011900,23060,"Fort Wayne, IN",low,240.73116220878785,0.5601783116815416,0.34148544762522026,2.2253181374139492,1243.610230100141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062438,0.0,0.178344,0.201168,108.4071
1400000US18003980001,23060,"Fort Wayne, IN",low,236.4489866388279,1.6478085209345876,0.4438843919912371,11.389965612005582,458.8508306818728,0.0,0.0,0.254575,0.0,0.0,0.509151,0.0,3.564056,0.636514,0.030837,0.0,99.7067
1400000US18003980002,23060,"Fort Wayne, IN",low,247.1387634620585,1.6677189946208792,0.27532738237563886,3.0375144613159795,927.9106812892264,0.0,0.0,0.0,0.0,0.0,0.513113,0.0,3.591789,-0.0,0.0,0.789474,137.5
1400000US18183050100,23060,"Fort Wayne, IN",low,266.79868387328327,2.0410087898519413,0.4679845886089849,8.914521922874565,591.8043763889484,0.011084,0.044334,0.0,0.0,0.044334,0.044334,0.033251,0.410092,1.526878,0.200383,0.131034,104.8666
1400000US18183050200,23060,"Fort Wayne, IN",low,280.00409674423656,2.48592887155237,0.5108335616850286,14.473365385817813,490.63109475146024,0.012349,0.0,0.0,0.0,0.0,0.006175,0.0,0.092619,0.636514,0.237111,0.183786,104.4248
1400000US18183050300,23060,"Fort Wayne, IN",low,263.94468113434027,2.2109731927223404,0.5215566221747168,12.136585416446382,902.0064233128351,0.013138,0.004379,0.0,0.0,0.0,0.0,0.0,0.043793,0.562335,0.295361,0.153947,105.3784
1400000US18183050401,23060,"Fort Wayne, IN",low,261.5698831412708,1.9822022081560748,0.5270046523388123,15.488343374754386,635.8131325008648,0.0,0.0,0.0,0.0,0.0,1.516995,0.0,2.781158,-0.0,0.213085,0.216753,81.4199
1400000US18183050402,23060,"Fort Wayne, IN",low,261.02575767158595,2.293034313192725,0.49828186149903236,12.066201025278813,475.8256237451235,0.0,0.085087,0.0,0.0,0.0,0.283623,0.0,0.538883,0.540204,0.235888,0.171755,97.3559
1400000US18183050500,23060,"Fort Wayne, IN",low,255.5163103236045,2.0726568580899754,0.5162453342141573,10.93259552809291,684.3174691014812,0.0,0.0,0.0,0.0,0.0,0.048732,0.0,0.146196,-0.0,0.213594,0.186365,83.0196
1400000US18183050600,23060,"Fort Wayne, IN",low,258.0870811820322,1.9999962512979148,0.49590419495802973,8.565458549704813,748.2155649186734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023077,0.0,0.187023,0.22042,98.4848
1400000US18183050700,23060,"Fort Wayne, IN",low,258.9253005451076,1.166355083912488,0.46012088841179904,6.839208748747936,1049.2298013451805,0.005536,0.0,0.0,0.0,0.0,0.0,0.0,0.027681,-0.0,0.224133,0.219093,119.3108
1400000US09003330100,25540,"Hartford-East Hartford-Middletown, CT",high,307.3594891775203,6.954021939902381,0.7387476594848691,76.65613730782312,950.490826127733,0.0,0.0,0.0,0.0,0.070211,0.0,0.0,0.18723,-0.0,0.168348,0.189591,97.3795
