cb_2020_3,minor_ratio,elderly_ratio,sex_ratio
1400000US01101000300,0.196296,0.108148,98.2379
1400000US01101000400,0.319431,0.145498,101.432
1400000US01101000500,0.292643,0.118432,91.9317
1400000US01101000600,0.406561,0.130639,80.6349
1400000US01101000700,0.224044,0.150664,87.5549
1400000US01101000900,0.149906,0.015038,336.961
1400000US01101001000,0.282643,0.147293,90.0151
1400000US01101001100,0.233676,0.184519,72.8599
1400000US01101001200,0.328553,0.129726,76.3218
1400000US01101001300,0.161017,0.190148,88.0478
1400000US01101001400,0.172913,0.13799,105.6042
1400000US01101001500,0.145322,0.083918,69.727
1400000US01101001600,0.230875,0.113228,89.4819
1400000US01101001700,0.179503,0.163931,90.4609
1400000US01101001800,0.210306,0.184841,125.693
1400000US01101001900,0.257885,0.226654,88.7916
1400000US01101002000,0.231095,0.186928,90.3609
1400000US01101002100,0.27253,0.12774,75.3678
1400000US01101002201,0.238646,0.179741,86.3077
1400000US01101002202,0.187117,0.179448,68.0412
1400000US01101002300,0.119561,0.281458,133.181
1400000US01101002400,0.206897,0.194411,96.266
1400000US01101002500,0.305648,0.099252,84.5211
1400000US01101002600,0.184597,0.248834,96.3051
1400000US01101002700,0.233892,0.187389,99.0977
1400000US01101002800,0.209239,0.141304,88.3041
1400000US01101002901,0.290243,0.130363,72.9206
1400000US01101002902,0.312609,0.139576,88.9151
1400000US01101003000,0.206445,0.135445,59.2174
1400000US01101003100,0.193289,0.140123,111.9179
1400000US01101003200,0.30371,0.0956,73.1919
1400000US01101003301,0.257135,0.198602,103.9192
1400000US01101003303,0.14845,0.157364,85.7451
1400000US01101003304,0.22619,0.126417,75.0868
1400000US01101005101,0.190225,0.114721,116.4028
1400000US01101005102,0.219477,0.126378,107.1036
1400000US01101005301,0.375252,0.0,193.2153
1400000US01101005302,0.252799,0.128731,112.2772
1400000US01101005402,0.312847,0.130428,71.9638
1400000US01101005403,0.301406,0.101358,76.6924
1400000US01101005407,0.168328,0.157227,63.0587
1400000US01101005409,0.224247,0.12401,69.5097
1400000US01101005410,0.107355,0.10261,78.3184
1400000US01101005411,0.212411,0.21957,85.2957
1400000US01101005412,0.135221,0.245496,67.3071
1400000US01101005413,0.146294,0.26042,81.6565
1400000US01101005414,0.303472,0.063847,69.6108
1400000US01101005501,0.315068,0.125245,112.474
1400000US01101005502,0.332531,0.076136,83.7942
1400000US01101005503,0.295765,0.102581,81.8098
1400000US01101005504,0.30054,0.126575,87.7252
1400000US01101005604,0.16231,0.211721,129.6174
1400000US01101005605,0.197514,0.166171,90.8716
1400000US01101005606,0.241723,0.077524,80.9547
1400000US01101005607,0.387793,0.067779,111.9728
1400000US01101005608,0.303805,0.149915,117.4074
1400000US01101005609,0.204249,0.082705,96.7191
1400000US01101005610,0.220379,0.138626,109.1698
1400000US01101005611,0.278423,0.118553,99.3003
1400000US01101005612,0.318777,0.053857,88.9093
1400000US01101005613,0.22637,0.216698,45.2909
1400000US01101005614,0.482182,0.047273,88.744
1400000US01101005700,0.183743,0.190574,86.7347
1400000US01101005800,0.102463,0.304926,95.3802
1400000US01101005902,0.230445,0.22546,82.6331
1400000US01101005903,0.074454,0.26527,71.4832
1400000US01101005904,0.114504,0.180662,120.6095
1400000US01101006000,0.184837,0.222073,108.7535
1400000US01101006100,0.187091,0.287652,68.612
1400000US06099000101,0.15545,0.241039,101.1773
1400000US06099000102,0.2054,0.156432,94.0421
1400000US06099000201,0.262001,0.128296,93.5231
1400000US06099000202,0.320952,0.118809,86.9441
1400000US06099000204,0.26452,0.162656,95.7846
1400000US06099000205,0.241219,0.114655,97.6067
1400000US06099000301,0.242909,0.148014,89.5406
1400000US06099000302,0.230703,0.175075,87.4697
1400000US06099000303,0.286166,0.116031,93.089
1400000US06099000304,0.320036,0.100635,110.4159
1400000US06099000403,0.26281,0.203826,96.6413
1400000US06099000404,0.273507,0.143901,72.9195
1400000US06099000405,0.329244,0.176153,130.2825
1400000US06099000406,0.26217,0.097705,91.478
1400000US06099000407,0.274206,0.099974,85.9932
1400000US06099000501,0.276026,0.142643,92.7641
1400000US06099000503,0.22957,0.087286,97.1466
1400000US06099000505,0.312119,0.116129,74.2631
1400000US06099000506,0.202776,0.22583,105.7114
1400000US06099000511,0.212433,0.145629,107.1505
1400000US06099000512,0.217327,0.211372,94.1618
1400000US06099000513,0.233221,0.120232,114.0568
1400000US06099000514,0.273842,0.102764,100.6248
1400000US06099000601,0.263053,0.104425,123.0997
1400000US06099000602,0.277866,0.110829,96.0772
1400000US06099000801,0.17375,0.249587,84.3067
1400000US06099000803,0.347227,0.119971,88.135
1400000US06099000805,0.268925,0.11117,91.4527
1400000US06099000806,0.253036,0.155464,138.9637
1400000US06099000807,0.16344,0.196185,79.1837
1400000US06099000905,0.217478,0.200643,124.1509
1400000US06099000906,0.213925,0.171318,100.2378
1400000US06099000907,0.235521,0.221766,88.1926
1400000US06099000908,0.260164,0.132973,94.2754
1400000US06099000909,0.235157,0.16395,89.3461
1400000US06099000910,0.31123,0.099272,84.3382
1400000US06099000911,0.226482,0.14184,94.8163
1400000US06099000913,0.248861,0.1486,101.3766
1400000US06099000914,0.254156,0.090388,130.4271
1400000US06099000915,0.252202,0.196184,97.2973
1400000US06099001001,0.17705,0.171872,98.7056
1400000US06099001002,0.201037,0.1446,115.942
1400000US06099001100,0.244255,0.168917,99.0099
1400000US06099001200,0.213296,0.118283,90.4008
1400000US06099001300,0.266643,0.164169,101.4747
1400000US06099001400,0.220688,0.146102,84.276
1400000US06099001500,0.244441,0.164087,105.4351
1400000US06099001601,0.348201,0.102133,110.1902
1400000US06099001603,0.320587,0.103949,91.5396
1400000US06099001604,0.421941,0.076694,108.5404
1400000US06099001700,0.325701,0.049556,86.3694
1400000US06099001800,0.203461,0.159139,111.7069
1400000US06099001900,0.210285,0.191545,83.1205
1400000US06099002002,0.141647,0.170901,104.5669
1400000US06099002004,0.335658,0.118715,99.0743
1400000US06099002005,0.278643,0.119929,87.2432
1400000US06099002006,0.296766,0.061661,93.5212
1400000US06099002100,0.333992,0.067852,124.7224
1400000US06099002200,0.309379,0.081984,92.1556
1400000US06099002302,0.273452,0.074674,116.3887
1400000US06099002303,0.34899,0.049158,115.3735
1400000US06099002304,0.36755,0.055298,101.3333
1400000US06099002401,0.399119,0.046033,98.7348
1400000US06099002402,0.390613,0.060396,100.0748
1400000US06099002503,0.325669,0.08512,103.5554
1400000US06099002504,0.242706,0.152008,144.066
1400000US06099002505,0.28676,0.053895,109.5908
1400000US06099002506,0.298319,0.063025,108.4395
1400000US06099002602,0.389755,0.069536,92.0688
1400000US06099002603,0.311802,0.139288,104.3455
1400000US06099002604,0.241507,0.07412,120.3721
1400000US06099002605,0.27374,0.153471,101.1677
1400000US06099002701,0.242782,0.136329,91.767
1400000US06099002702,0.294735,0.109909,99.9682
1400000US06099002801,0.285878,0.091755,95.2502
1400000US06099002802,0.231806,0.125408,120.3501
1400000US06099002803,0.232383,0.180269,81.7153
1400000US06099002901,0.204683,0.191415,98.6434
1400000US06099002903,0.292011,0.114172,91.1644
1400000US06099002904,0.263387,0.241184,74.1471
1400000US06099003002,0.332097,0.103008,102.0255
1400000US06099003003,0.326874,0.09134,96.8258
1400000US06099003004,0.255758,0.243793,107.7688
1400000US06099003100,0.294639,0.13978,127.5599
1400000US06099003201,0.275088,0.112714,98.812
1400000US06099003203,0.293012,0.144817,74.3467
1400000US06099003204,0.423464,0.085289,134.2932
1400000US06099003205,0.333523,0.069896,120.5698
1400000US06099003206,0.331855,0.033359,127.1572
1400000US06099003300,0.292775,0.102314,102.9712
1400000US06099003400,0.24717,0.106289,160.2291
1400000US06099003501,0.30536,0.131782,86.0061
1400000US06099003502,0.23616,0.118749,81.2917
1400000US06099003603,0.307473,0.188777,91.9107
1400000US06099003607,0.22612,0.129972,67.6115
1400000US06099003608,0.246664,0.132398,105.5556
1400000US06099003609,0.217073,0.283624,107.2202
1400000US06099003610,0.262988,0.102698,90.4871
1400000US06099003611,0.293124,0.090589,97.2685
1400000US06099003612,0.293137,0.069088,93.0981
1400000US06099003700,0.292384,0.085702,95.4177
1400000US06099003802,0.269337,0.123461,88.3391
1400000US06099003803,0.298677,0.067056,105.3696
1400000US06099003804,0.284509,0.132089,88.8715
1400000US06099003805,0.308257,0.074934,106.9951
1400000US06099003904,0.250267,0.202781,86.1808
1400000US06099003905,0.243076,0.144198,95.5685
1400000US06099003906,0.238789,0.117313,95.7407
1400000US06099003907,0.227873,0.257776,92.7193
1400000US06099003908,0.257405,0.176657,85.2384
1400000US06099003909,0.167085,0.167264,94.0849
1400000US06099004000,0.293415,0.132683,112.987
1400000US09001010101,0.216603,0.295324,104.9878
1400000US09001010102,0.273365,0.187373,94.6696
1400000US09001010201,0.281132,0.216098,109.9816
1400000US09001010202,0.291166,0.165548,96.2552
1400000US09001010300,0.230412,0.195361,98.0602
1400000US09001010400,0.195689,0.162162,74.0399
1400000US09001010500,0.218117,0.122894,89.3181
1400000US09001010600,0.143638,0.246024,88.743
1400000US09001010700,0.198649,0.273565,67.5412
1400000US09001010800,0.246728,0.174084,87.4847
1400000US09001010900,0.281975,0.132727,89.4163
1400000US09001011000,0.34569,0.14083,102.8787
1400000US09001011100,0.334927,0.14262,100.5002
1400000US09001011200,0.274406,0.175198,101.5957
1400000US09001011300,0.223951,0.086469,95.7507
1400000US09001020101,0.123242,0.208437,106.4902
1400000US09001020102,0.150966,0.194143,86.4865
1400000US09001020200,0.165231,0.268626,100.1014
1400000US09001020301,0.243902,0.21324,89.4389
1400000US09001020302,0.173617,0.17883,101.0939
1400000US09001020400,0.184493,0.198076,101.5973
1400000US09001020500,0.21464,0.269438,88.538
1400000US09001020600,0.190646,0.232383,90.72
1400000US09001020700,0.189361,0.224256,90.0742
1400000US09001020800,0.229046,0.192739,109.9757
1400000US09001020900,0.218675,0.115961,98.235
1400000US09001021000,0.204805,0.1046,88.8766
1400000US09001021100,0.262133,0.111963,97.8692
1400000US09001021200,0.192828,0.217763,72.582
1400000US09001021300,0.158758,0.149051,94.8718
1400000US09001021401,0.246014,0.04939,69.2593
1400000US09001021402,0.207992,0.190574,75.3031
1400000US09001021501,0.267703,0.060766,95.5098
1400000US09001021502,0.200826,0.237603,105.7823
1400000US09001021601,0.092332,0.038658,61.0082
1400000US09001021602,0.153916,0.219977,97.6223
1400000US09001021701,0.108729,0.152371,98.996
1400000US09001021702,0.188433,0.097015,104.1349
1400000US09001021801,0.209399,0.164809,100.3942
1400000US09001021802,0.180305,0.135228,96.9212
1400000US09001021900,0.156828,0.119833,106.2023
1400000US09001022000,0.216879,0.045541,87.1275
1400000US09001022101,0.325111,0.117963,93.3945
1400000US09001022102,0.226861,0.136201,105.4136
1400000US09001022201,0.108583,0.03516,131.3397
1400000US09001022202,0.133279,0.088402,103.4653
1400000US09001022300,0.200231,0.153549,121.0661
1400000US09001022400,0.230047,0.159155,86.3517
1400000US09001030100,0.28465,0.233041,112.253
1400000US09001030200,0.329579,0.112922,92.2507
1400000US09001030300,0.331249,0.132008,102.4876
1400000US09001030400,0.281898,0.13761,76.6962
1400000US09001030500,0.354345,0.089427,102.6226
1400000US09001035101,0.264247,0.196542,95.9905
1400000US09001035102,0.238858,0.175874,65.5767
1400000US09001035200,0.260283,0.157776,87.357
1400000US09001035300,0.309207,0.172379,97.6744
1400000US09001035400,0.288426,0.098065,83.3504
1400000US09001042500,0.17412,0.224707,83.5813
1400000US09001042600,0.161221,0.153292,79.5513
1400000US09001042700,0.162478,0.157023,90.1111
1400000US09001042800,0.178438,0.169713,88.4886
1400000US09001042900,0.144207,0.224811,84.0093
1400000US09001043000,0.150918,0.233855,89.3179
1400000US09001043100,0.262566,0.177469,111.6659
1400000US09001043200,0.164301,0.244639,83.8423
1400000US09001043300,0.197268,0.11896,108.4028
1400000US09001043400,0.186191,0.101496,91.4097
1400000US09001043500,0.170712,0.134899,88.5221
1400000US09001043600,0.182841,0.205977,124.3691
1400000US09001043700,0.157303,0.088075,78.1149
1400000US09001043800,0.208677,0.117147,105.7748
1400000US09001043900,0.213839,0.159638,96.5009
1400000US09001044000,0.155718,0.14785,104.8351
1400000US09001044100,0.190203,0.113514,106.4156
1400000US09001044200,0.20228,0.154257,109.3956
1400000US09001044300,0.135295,0.189596,100.7787
1400000US09001044400,0.184323,0.136041,110.209
1400000US09001044500,0.344407,0.053406,82.2921
1400000US09001044600,0.250628,0.16662,103.2331
1400000US09001045101,0.33773,0.113987,99.108
1400000US09001045102,0.293015,0.145346,108.8358
1400000US09001045200,0.242821,0.22719,91.1744
1400000US09001045300,0.287805,0.156911,108.2981
1400000US09001045400,0.289933,0.146396,102.8995
1400000US09001050100,0.262116,0.212317,99.2028
1400000US09001050200,0.252346,0.154327,97.1223
1400000US09001050301,0.307841,0.151016,79.2625
1400000US09001050302,0.226954,0.171687,106.5014
1400000US09001050400,0.170343,0.255719,104.1701
1400000US09001050500,0.330344,0.144058,106.9606
1400000US09001050600,0.296795,0.195192,73.3995
1400000US09001055100,0.253171,0.149049,107.9883
1400000US09001055200,0.306171,0.134289,95.7465
1400000US09001060100,0.157832,0.237947,80.3981
1400000US09001060200,0.20947,0.215798,83.1735
1400000US09001060300,0.251651,0.197848,117.3844
1400000US09001060400,0.3291,0.158631,96.3652
1400000US09001060500,0.329186,0.116678,104.8209
1400000US09001060600,0.189435,0.242259,104.8507
1400000US09001060700,0.179795,0.117349,85.3116
1400000US09001060800,0.272943,0.145506,84.1506
1400000US09001060900,0.236823,0.146209,102.7818
1400000US09001061000,0.230628,0.224061,95.5316
1400000US09001061100,0.267188,0.129427,106.2299
1400000US09001061200,0.206552,0.146225,80.722
1400000US09001061300,0.240159,0.112802,89.0557
1400000US09001061400,0.205088,0.105182,114.4378
1400000US09001061500,0.268712,0.102698,95.5745
1400000US09001061600,0.226193,0.142002,85.8484
1400000US09001070100,0.154707,0.103338,71.3356
1400000US09001070200,0.21076,0.109689,100.9974
1400000US09001070300,0.4727,0.026178,57.6651
1400000US09001070400,0.072172,0.089521,66.7824
1400000US09001070500,0.230893,0.093649,103.9517
1400000US09001070600,0.061533,0.276316,84.9678
1400000US09001070900,0.276994,0.117164,103.2688
1400000US09001071000,0.23477,0.026437,74.5236
1400000US09001071100,0.259848,0.068553,90.4269
1400000US09001071200,0.273129,0.088832,106.3118
1400000US09001071300,0.205076,0.098477,98.4553
1400000US09001071400,0.331484,0.048266,96.0305
1400000US09001071600,0.35948,0.019331,51.2936
1400000US09001071900,0.215187,0.065554,128.9977
1400000US09001072000,0.252964,0.103331,114.0181
1400000US09001072100,0.130141,0.216083,73.544
1400000US09001072200,0.217844,0.224708,80.5415
1400000US09001072300,0.239081,0.137486,103.8715
1400000US09001072400,0.274167,0.144843,95.2652
1400000US09001072500,0.175084,0.096286,123.1039
1400000US09001072600,0.107612,0.185296,84.3368
1400000US09001072700,0.189966,0.212177,65.5993
1400000US09001072800,0.243222,0.127475,82.2993
1400000US09001072900,0.30795,0.099853,128.3046
1400000US09001073000,0.21169,0.131139,78.7533
1400000US09001073100,0.162696,0.130727,72.6793
1400000US09001073200,0.175497,0.248621,76.5129
1400000US09001073300,0.243889,0.08755,99.2072
1400000US09001073400,0.193503,0.095771,105.94
1400000US09001073500,0.287105,0.061098,88.3401
1400000US09001073600,0.326446,0.049587,115.2174
1400000US09001073700,0.249489,0.148603,117.9792
1400000US09001073800,0.245989,0.126398,115.6184
1400000US09001073900,0.284621,0.101456,99.5567
1400000US09001074000,0.305583,0.070029,83.6331
1400000US09001074300,0.403326,0.101115,107.2464
1400000US09001074400,0.255539,0.069047,95.4182
1400000US09001080100,0.200186,0.104824,73.7029
1400000US09001080200,0.192343,0.112777,81.2709
1400000US09001080400,0.257921,0.14571,92.6256
1400000US09001080500,0.15117,0.243534,73.9689
1400000US09001080600,0.132418,0.252321,105.0497
1400000US09001080700,0.188421,0.149474,104.0816
1400000US09001080800,0.196247,0.181551,95.9681
1400000US09001080900,0.232764,0.171872,119.2506
1400000US09001081000,0.183697,0.191644,94.4371
1400000US09001081100,0.173347,0.213851,104.9462
1400000US09001081200,0.202871,0.19767,87.8812
1400000US09001081300,0.11767,0.438607,75.6654
1400000US09001090100,0.225441,0.30636,92.7184
1400000US09001090200,0.248419,0.184083,95.8961
1400000US09001090300,0.201919,0.14614,102.3476
1400000US09001090400,0.252494,0.176823,113.6766
1400000US09001090500,0.324802,0.132937,85.8407
1400000US09001090600,0.24759,0.209036,95.6394
1400000US09001090700,0.274578,0.133449,101.1587
1400000US09001100100,0.235909,0.153492,92.6913
1400000US09001100200,0.239148,0.149433,100.7214
1400000US09001100300,0.27373,0.1448,114.4571
1400000US09001105100,0.194144,0.240157,104.3238
1400000US09001105200,0.24173,0.168601,100.5821
1400000US09001110100,0.119624,0.166331,72.6218
1400000US09001110201,0.207946,0.143309,88.6982
1400000US09001110202,0.135788,0.32403,97.4209
1400000US09001110301,0.10516,0.251091,76.4534
1400000US09001110302,0.232885,0.149392,94.8878
1400000US09001110400,0.205721,0.173393,100.7868
1400000US09001110500,0.17468,0.285873,88.225
1400000US09001110601,0.185238,0.212207,114.1337
1400000US09001110602,0.184859,0.170639,99.401
1400000US09001200100,0.220688,0.117531,84.216
1400000US09001200200,0.258624,0.154055,68.5027
1400000US09001200301,0.207773,0.171564,103.4323
1400000US09001200302,0.231783,0.129623,111.4595
1400000US09001205100,0.205056,0.197331,109.3092
1400000US09001205200,0.272052,0.155167,90.6744
1400000US09001205300,0.203647,0.239264,96.9128
1400000US09001210101,0.180561,0.083787,88.9945
1400000US09001210102,0.168978,0.2109,116.7016
1400000US09001210201,0.192201,0.085732,111.5914
1400000US09001210202,0.29417,0.04232,101.8519
1400000US09001210300,0.27808,0.136149,101.0215
1400000US09001210401,0.158588,0.136054,77.6435
1400000US09001210402,0.271691,0.137522,110.0517
1400000US09001210501,0.169859,0.233827,92.8223
1400000US09001210502,0.135238,0.1894,97.9934
1400000US09001210600,0.216299,0.13115,86.2411
1400000US09001210701,0.26839,0.083102,113.0081
1400000US09001210702,0.265609,0.076766,87.3442
1400000US09001210800,0.179259,0.119884,96.0977
1400000US09001210900,0.177227,0.269238,98.4329
1400000US09001211000,0.233235,0.161628,104.8905
1400000US09001211100,0.006885,0.05852,316.4875
1400000US09001211201,0.231853,0.137729,101.4462
1400000US09001211202,0.15793,0.24328,95.5322
1400000US09001211300,0.166709,0.240265,104.21
1400000US09001211400,0.143334,0.185896,83.7807
1400000US09001220100,0.26454,0.153327,110.5566
1400000US09001220200,0.245451,0.162556,100.8936
1400000US09001220300,0.18122,0.182651,77.3096
1400000US09001230100,0.205809,0.183435,104.3157
1400000US09001230200,0.258199,0.186361,94.6302
1400000US09001230300,0.198413,0.196061,106.1818
1400000US09001230400,0.229949,0.162375,106.0493
1400000US09001230501,0.238664,0.156265,79.0485
1400000US09001230502,0.201919,0.132393,114.5378
1400000US09001240100,0.214009,0.252371,82.9653
1400000US09001240200,0.239126,0.19429,107.067
1400000US09001245100,0.281186,0.117928,99.7277
1400000US09001245200,0.274846,0.27873,88.8266
1400000US09001245300,0.207396,0.218262,83.5549
1400000US09001245400,0.256686,0.177104,115.7635
1400000US09001245500,0.273169,0.154113,97.464
1400000US09001245600,0.317302,0.117701,92.3168
1400000US09001257100,0.152724,0.246835,108.3716
1400000US09001257200,0.235522,0.097127,69.54
1400000US09001990000,,,
1400000US09003330100,0.168348,0.189591,97.3795
1400000US09003400101,0.155836,0.316844,80.4551
1400000US09003400102,0.258184,0.20664,85.1677
1400000US09003400200,0.220703,0.166481,92.7958
1400000US09003400300,0.184315,0.256683,96.6028
1400000US09003405100,0.245652,0.100621,85.6978
1400000US09003405200,0.160914,0.180909,91.9141
1400000US09003405300,0.200597,0.233947,72.4464
1400000US09003405401,0.21463,0.162854,100.4828
1400000US09003405402,0.136851,0.219016,85.2851
1400000US09003405500,0.250436,0.137817,94.0203
1400000US09003405600,0.261518,0.111616,96.8574
1400000US09003405700,0.162892,0.183614,95.9396
1400000US09003405801,0.161787,0.107242,95.012
1400000US09003405802,0.175698,0.202205,106.3408
1400000US09003405900,0.222899,0.165756,106.418
1400000US09003406001,0.228228,0.177928,76.4238
1400000US09003406002,0.156412,0.227406,104.7531
1400000US09003406100,0.26416,0.188221,101.9231
1400000US09003410101,0.229959,0.143771,101.5933
1400000US09003410102,0.271311,0.140697,105.0752
1400000US09003415300,0.283503,0.062893,89.4592
1400000US09003415400,0.218555,0.120173,70.4725
1400000US09003415500,0.253438,0.108382,89.6894
1400000US09003415600,0.318375,0.097193,93.6573
1400000US09003415700,0.189214,0.177504,88.5532
1400000US09003415800,0.289571,0.148669,125.5213
1400000US09003415900,0.206681,0.082811,123.4837
1400000US09003416000,0.26635,0.113318,77.3058
1400000US09003416100,0.307911,0.109416,94.271
1400000US09003416200,0.325795,0.082686,96.3914
1400000US09003416300,0.250531,0.171892,82.276
1400000US09003416400,0.127335,0.192092,89.2752
1400000US09003416500,0.23988,0.098305,107.7465
1400000US09003416600,0.322111,0.137094,103.7701
1400000US09003416700,0.250925,0.149353,87.4061
1400000US09003416800,0.20473,0.177365,107.2829
1400000US09003417100,0.241401,0.088535,116.2534
1400000US09003417200,0.12786,0.105653,92.987
1400000US09003417300,0.004489,0.0,106.489
1400000US09003417400,0.13198,0.222335,92.0078
1400000US09003417500,0.18021,0.197658,101.8331
1400000US09003420400,0.185961,0.211515,104.7919
1400000US09003420500,0.120398,0.151443,147.1717
1400000US09003420601,0.155686,0.321176,86.6764
1400000US09003420602,0.213274,0.170206,93.0524
1400000US09003420700,0.201356,0.158903,91.5302
1400000US09003430100,0.204805,0.219908,81.1024
1400000US09003430201,0.181358,0.193875,74.57
1400000US09003430202,0.248637,0.17065,106.4042
1400000US09003430203,0.117785,0.280907,88.835
1400000US09003430301,0.196681,0.189336,102.8698
1400000US09003430302,0.148148,0.297763,90.566
1400000US09003430400,0.155039,0.236988,89.6262
1400000US09003430501,0.198853,0.260994,76.3912
1400000US09003430502,0.228756,0.147618,99.8954
1400000US09003430602,0.207564,0.184569,89.0732
1400000US09003430603,0.248426,0.146874,95.4881
1400000US09003430604,0.223091,0.216521,97.4058
1400000US09003460100,0.227343,0.24219,91.642
1400000US09003460202,0.201356,0.169303,110.6015
1400000US09003460203,0.233629,0.211038,85.2225
1400000US09003460204,0.174668,0.233198,83.2826
1400000US09003460301,0.200124,0.183223,91.6272
1400000US09003460302,0.211671,0.161299,84.6975
1400000US09003462101,0.245271,0.212087,101.4858
1400000US09003462102,0.290542,0.112232,93.6035
1400000US09003462201,0.206839,0.288117,87.395
1400000US09003462202,0.227885,0.213688,110.6595
1400000US09003464101,0.205915,0.207961,102.7149
1400000US09003464102,0.199673,0.264802,77.7858
1400000US09003466101,0.239463,0.20179,94.4162
1400000US09003466102,0.282001,0.148134,88.8889
1400000US09003466201,0.331399,0.115358,87.1009
1400000US09003466202,0.22891,0.240996,90.2944
1400000US09003466300,0.251229,0.174857,99.1843
1400000US09003466400,0.215414,0.096724,113.5802
1400000US09003468101,0.215127,0.173609,113.7668
1400000US09003468102,0.187257,0.257539,104.3738
1400000US09003470100,0.254935,0.177654,78.8807
1400000US09003471100,0.233306,0.166802,65.9489
1400000US09003471200,0.193339,0.196286,98.8863
1400000US09003471300,0.095581,0.223721,76.4465
1400000US09003471400,0.114708,0.344299,106.2096
1400000US09003471500,0.169381,0.288148,71.2876
1400000US09003473100,0.175971,0.246422,95.963
1400000US09003473400,0.211259,0.170702,96.9011
1400000US09003473501,0.200363,0.216908,106.8448
1400000US09003473502,0.19708,0.159589,118.0897
1400000US09003473601,0.180835,0.219165,80.4239
1400000US09003473602,0.145048,0.169913,106.5925
1400000US09003473700,0.165808,0.135567,80.0743
1400000US09003473800,0.239661,0.11983,69.9099
1400000US09003476100,0.213548,0.190323,84.4506
1400000US09003476200,0.206344,0.187812,102.3071
1400000US09003476300,0.183472,0.150872,95.0462
1400000US09003477101,0.209674,0.21185,93.2243
1400000US09003477103,0.198438,0.149841,100.7549
1400000US09003477104,0.116812,0.116424,242.3154
1400000US09003477200,0.202807,0.174407,97.4274
1400000US09003480300,0.209493,0.201734,91.6885
1400000US09003480400,0.190853,0.149719,110.8836
1400000US09003480500,0.220975,0.167208,85.989
1400000US09003480600,0.252802,0.047238,144.902
1400000US09003480700,0.247132,0.248897,88.206
1400000US09003480800,0.188211,0.216887,96.2483
1400000US09003480900,0.135509,0.16815,103.012
1400000US09003481000,0.220588,0.165179,105.0619
1400000US09003481100,0.203298,0.131184,99.1667
1400000US09003481200,0.164323,0.194177,85.8322
1400000US09003481300,0.155629,0.25791,93.5897
1400000US09003484100,0.115183,0.226814,89.9822
1400000US09003484200,0.215957,0.161033,105.2702
1400000US09003487100,0.265496,0.148245,92.7571
1400000US09003487201,0.243908,0.187253,113.283
1400000US09003487202,0.233162,0.123858,106.239
1400000US09003487300,0.125,0.202381,107.1233
1400000US09003487400,0.240313,0.150453,92.2345
1400000US09003487500,0.196826,0.171464,87.0489
1400000US09003490100,0.156818,0.23447,89.1795
1400000US09003490303,0.237313,0.110198,81.9701
1400000US09003490304,0.148076,0.285923,70.1616
1400000US09003492100,0.174168,0.174168,86.2051
1400000US09003492200,0.243086,0.157933,95.5408
1400000US09003492300,0.155976,0.161694,88.8327
1400000US09003492400,0.197488,0.20656,90.9394
1400000US09003492500,0.231091,0.198804,99.9402
1400000US09003492600,0.184118,0.288523,95.4424
1400000US09003494100,0.14736,0.188265,86.0574
1400000US09003494201,0.157028,0.301928,96.971
1400000US09003494202,0.134994,0.261551,110.0422
1400000US09003494300,0.183921,0.140687,96.9167
1400000US09003494400,0.185416,0.262783,83.7418
