cb_2020_3,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity
1400000US18127050902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252917,0.0
1400000US18127051005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981,0.0
1400000US18127051006,0.065564,0.021855,0.0,0.0,0.043709,0.021855,0.0,0.196693,1.277034
1400000US18127051008,0.02677,0.0,0.0,0.0,0.0,0.0,0.0,0.066925,-0.0
1400000US18127051009,0.025878,0.012939,0.0,0.0,0.0,0.0,0.0,0.103511,0.636514
1400000US18127051010,0.00853,0.00853,0.0,0.0,0.0,0.0,0.0,0.051178,0.693147
1400000US18127051011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740284,0.0
1400000US18127051012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060041,0.0
1400000US18127051101,0.021336,0.0,0.0,0.0,0.0,0.0,0.0,0.053339,-0.0
1400000US18127051102,0.013584,0.0,0.0,0.0,0.0,0.0,0.0,0.020376,-0.0
1400000US18127980001,0.0,0.0,0.0,0.480665,0.0,0.0,0.0,0.0,-0.0
1400000US18127980002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228297,0.0
1400000US18183050100,0.011084,0.044334,0.0,0.0,0.044334,0.044334,0.033251,0.410092,1.526878
1400000US18183050200,0.012349,0.0,0.0,0.0,0.0,0.006175,0.0,0.092619,0.636514
1400000US18183050300,0.013138,0.004379,0.0,0.0,0.0,0.0,0.0,0.043793,0.562335
1400000US18183050401,0.0,0.0,0.0,0.0,0.0,1.516995,0.0,2.781158,-0.0
1400000US18183050402,0.0,0.085087,0.0,0.0,0.0,0.283623,0.0,0.538883,0.540204
1400000US18183050500,0.0,0.0,0.0,0.0,0.0,0.048732,0.0,0.146196,-0.0
1400000US18183050600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023077,0.0
1400000US18183050700,0.005536,0.0,0.0,0.0,0.0,0.0,0.0,0.027681,-0.0
1400000US22005030102,0.062982,0.0,0.0,0.0,0.062982,0.0,0.0,0.314909,0.693147
1400000US22005030104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487058,0.0
1400000US22005030105,0.05537,0.0,0.0,0.0,0.11074,0.0,0.0,0.27685,0.636514
1400000US22005030106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143002,0.0
1400000US22005030107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086462,0.0
1400000US22005030207,0.0,0.085447,0.0,0.0,0.0,0.341786,0.0,0.598126,0.500402
1400000US22005030208,0.10589,0.0,0.0,0.0,0.10589,0.0,0.0,0.529449,0.693147
1400000US22005030209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400000US22005030210,0.117818,0.0,0.117818,0.0,0.117818,0.0,0.0,1.178176,1.098612
1400000US22005030211,0.102494,0.204987,0.0,0.0,0.0,0.0,0.0,0.614961,0.636514
1400000US22005030212,0.0,0.226138,0.0,0.0,0.226138,0.113069,0.0,1.017622,1.05492
1400000US22005030213,0.138564,0.0,0.0,0.0,0.0,0.0,0.0,0.138564,-0.0
1400000US22005030214,0.095328,0.190656,0.0,0.0,0.0,0.285984,0.0,0.762623,1.011404
1400000US22005030215,0.0,0.0,0.0,0.0,0.1902,0.0,0.0,0.570599,-0.0
1400000US22005030301,0.094951,0.0,0.0,0.0,0.0,0.03165,0.0,0.158252,0.562335
1400000US22005030302,0.008768,0.0,0.0,0.0,0.026304,0.0,0.0,0.14029,0.562335
1400000US22005030303,0.0,0.0,0.0,0.0,0.0,0.067739,0.0,0.203218,-0.0
1400000US22005030304,0.0,0.0,0.0,0.0,0.163972,0.0,0.0,0.655889,-0.0
1400000US22005030403,0.306034,0.0,0.0,0.0,0.0,0.0,0.0,0.408046,-0.0
1400000US22005030404,0.184877,0.369753,0.0,0.0,0.0,0.0,0.184877,1.479013,1.039721
1400000US22005030405,0.191542,0.0,0.0,0.0,0.383085,0.0,0.0,1.72388,0.636514
1400000US22005030406,0.0,0.0,0.0,0.0,0.855923,0.0,0.0,2.853076,-0.0
1400000US22005030501,0.100264,0.0,0.0,0.0,0.100264,0.0,0.0,0.300792,0.693147
1400000US22005030502,0.162398,0.0,0.0,0.0,0.162398,0.0,0.0,0.405994,0.693147
1400000US22005030503,0.0,0.0,0.0,0.0,0.006278,0.0,0.0,0.018833,-0.0
1400000US22005030600,0.044193,0.014731,0.0,0.0,0.029462,0.044193,0.0,0.397736,1.310784
1400000US22005030900,0.041088,0.041088,0.0,0.0,0.030816,0.010272,0.0,0.256803,1.286057
1400000US22005031001,0.192191,0.096095,0.0,0.0,0.336334,0.0,0.0,1.105096,0.983961
1400000US22005031002,0.06636,0.0,0.06636,0.0,0.0,0.0,0.0,0.132719,0.693147
1400000US22007050100,0.014095,0.0,0.0,0.0,0.007048,0.0,0.0,0.105715,0.636514
1400000US22007050201,0.01862,0.0,0.0,0.0,0.01862,0.0,0.0,0.07448,0.693147
1400000US22007050202,0.0,0.0,0.0,0.0,0.017767,0.0,0.0,0.017767,-0.0
1400000US22007050300,0.019556,0.0,0.0,0.0,0.019556,0.0,0.0,0.065186,0.693147
1400000US22007050400,0.029303,0.0,0.0,0.0,0.021978,0.0,0.0,0.095236,0.682908
1400000US22007050500,0.009888,0.0,0.0,0.0,0.004944,0.0,0.0,0.019776,0.636514
1400000US22007050600,0.01361,0.0,0.0,0.0,0.020415,0.0,0.0,0.047634,0.673012
1400000US22033000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043376,0.0
1400000US22033000200,1.283825,0.256765,0.0,0.0,0.256765,0.0,0.0,4.108241,0.796312
1400000US22033000300,1.722838,0.574279,0.0,0.0,1.148559,0.0,0.0,5.742793,1.011404
1400000US22033000400,3.466843,0.0,0.0,0.0,0.0,0.0,0.0,7.511494,-0.0
1400000US22033000500,0.430645,0.0,0.0,0.0,0.430645,0.0,0.0,5.167745,0.693147
1400000US22033000601,1.998194,0.0,0.0,0.0,0.0,0.0,0.0,3.330323,-0.0
1400000US22033000602,1.716586,0.0,0.0,0.0,0.0,0.0,0.0,3.433173,-0.0
1400000US22033000701,0.472244,0.0,0.0,0.0,0.0,0.0,0.0,2.361218,-0.0
1400000US22033000702,0.782586,0.0,0.0,0.0,0.0,0.0,0.0,4.304221,-0.0
1400000US22033000900,1.387422,0.0,0.0,0.0,0.0,0.0,0.0,6.937112,-0.0
1400000US22033001000,0.527011,0.0,0.0,0.0,0.527011,0.0,0.0,16.337329,0.693147
1400000US22033001102,0.354556,0.0,0.0,0.0,0.0,0.0,0.0,1.772781,-0.0
1400000US22033001103,0.426065,0.0,0.0,0.0,0.0,0.0,0.0,1.278194,-0.0
1400000US22033001104,0.386178,0.0,0.0,0.0,0.772356,0.0,0.0,2.703244,0.636514
1400000US22033001600,0.0,1.051477,0.525739,0.525739,0.0,0.525739,0.0,5.257386,1.332179
1400000US22033001700,0.828982,0.0,0.0,0.0,0.276327,0.0,0.0,3.0396,0.562335
1400000US22033001800,0.541816,0.0,0.0,0.0,0.541816,0.0,0.0,1.625447,0.693147
1400000US22033001900,1.00115,0.333717,0.0,0.0,0.0,0.0,0.0,2.002299,0.562335
1400000US22033002000,0.573836,0.956394,0.191279,0.0,0.765115,0.191279,0.0,5.164528,1.432757
1400000US22033002200,2.125319,0.0,0.0,0.0,0.0,0.0,0.0,13.814577,-0.0
1400000US22033002300,0.971742,0.0,0.0,0.0,0.0,0.0,0.0,1.943483,-0.0
1400000US22033002400,0.557049,0.0,0.0,0.0,0.0,0.0,0.0,2.785247,-0.0
1400000US22033002500,0.0,0.74994,0.0,0.0,0.74994,0.74994,0.0,11.99904,1.098612
1400000US22033002601,1.069339,0.802004,0.267335,0.0,0.267335,2.673347,0.0,7.218037,1.267236
1400000US22033002602,0.713954,0.535466,0.0,0.0,0.0,0.0,0.0,2.320352,0.682908
1400000US22033002700,0.619621,1.858863,0.0,0.0,0.0,1.239242,0.0,8.674693,1.011404
1400000US22033002801,0.0,0.334371,0.334371,0.668743,0.334371,3.009342,0.0,7.021798,1.127535
1400000US22033002802,0.0,1.022953,0.0,1.022953,0.0,6.649195,0.511477,19.947584,0.883876
1400000US22033003000,0.08503,0.0,0.0,0.0,0.0,0.0,0.0,0.170061,-0.0
1400000US22033003104,0.591574,0.0,0.0,0.0,0.44368,0.0,0.0,3.845231,0.682908
1400000US22033003201,0.345235,0.0,0.0,0.0,0.115078,0.0,0.0,0.920628,0.562335
1400000US22033003202,0.0,0.0,0.0,0.0,0.057034,0.0,0.0,0.171101,-0.0
1400000US22033003300,0.409522,0.204761,0.0,0.204761,0.409522,0.0,0.0,2.866654,1.329661
1400000US22033003400,0.890578,0.0,0.0,0.222645,0.222645,0.0,0.0,3.117023,0.867563
1400000US22033003501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223702,0.0
1400000US22033003504,0.925036,0.0,0.0,0.0,0.0,0.0,0.0,0.925036,-0.0
1400000US22033003505,0.503645,0.0,0.0,0.0,0.125911,0.0,0.0,1.1332,0.500402
1400000US22033003506,0.39291,0.0,0.0,0.0,0.13097,0.0,0.0,1.440668,0.562335
1400000US22033003507,0.419948,0.0,0.0,0.0,0.139983,0.0,0.0,1.959755,0.562335
1400000US22033003601,0.345089,0.517633,0.0,0.172544,0.0,0.172544,0.0,2.070532,1.277034
1400000US22033003603,1.991516,0.0,0.0,0.0,0.0,0.0,0.0,3.485153,-0.0
1400000US22033003604,0.655828,0.655828,0.0,0.0,0.0,0.0,0.0,2.951228,0.693147
1400000US22033003701,0.402351,0.402351,0.0,0.0,0.201175,0.201175,0.0,2.011753,1.329661
1400000US22033003702,1.145012,0.0,0.0,0.0,0.381671,0.0,0.0,2.290023,0.562335
1400000US22033003703,0.590167,0.0,0.0,0.0,0.0,0.0,0.0,1.377056,-0.0
1400000US22033003804,0.383179,0.0,0.191589,0.0,0.191589,0.766358,0.0,2.682251,1.213008
1400000US22033003806,0.549732,0.137433,0.137433,0.0,0.137433,1.511764,0.137433,7.009086,1.264332
1400000US22033003807,0.0,0.781615,0.521077,0.0,0.0,1.302692,0.521077,3.908075,1.308605
1400000US22033003808,0.494603,0.494603,0.0,0.0,0.0,0.0,0.0,0.989205,0.693147
1400000US22033003809,0.298084,0.298084,0.0,0.0,0.0,1.192335,0.0,5.067422,0.867563
1400000US22033003810,0.37375,0.0,0.0,0.0,0.0,0.0,0.0,1.495,-0.0
1400000US22033003811,0.366981,4.587263,0.0,0.183491,0.0,1.834905,0.0,7.523111,0.87748
1400000US22033003907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857258,0.0
1400000US22033003908,0.172834,0.172834,0.0,0.0,0.0,0.0,0.0,2.938181,0.693147
1400000US22033003909,0.285902,0.285902,0.0,0.0,0.0,0.0,0.0,3.716729,0.693147
1400000US22033003910,0.0,1.216718,0.0,0.0,0.811145,0.405573,0.0,2.839009,1.011404
1400000US22033003911,0.0,0.0,0.0,0.0,1.496159,0.0,0.0,1.496159,-0.0
1400000US22033003912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743406,0.0
1400000US22033003913,0.0,0.269827,0.269827,0.0,0.0,0.269827,0.269827,1.618965,1.386294
1400000US22033003914,1.188532,0.0,0.0,0.0,0.0,0.0,0.0,3.169419,-0.0
1400000US22033004010,0.234825,0.0,0.0,0.0,0.234825,0.0,0.0,3.052727,0.693147
1400000US22033004013,0.0,0.0,0.0,0.0,0.226234,0.0,0.0,0.226234,-0.0
