cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,elev_mean,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US06099002002,0.0915557890941229,-0.2195009110146575,0.1821159111739451,0.0808912491767401,0.0334789638707072,0.0123828525926377,0.130979048032472,0.1187964515222634,-0.05745087862837,-0.0829046472984306,0.148352801594261,-0.0212799335685324,-0.0998292209272923,-0.1084112482535834,0.0122135273060563,-0.0593765068033454,-0.0305434057234511,-0.0127471368227336,-0.0687333228262534,0.0013063169989136,0.0227240548194855,-0.0610325764298053,-0.0401821934660769,0.0075592096559083,0.0684452658050642,0.1399719081853389,-0.0754023434720682,0.0750737580264491,0.198256911504927,-0.0407901827043433,-0.0316753175311062,-0.2342476623441005,0.0773692064324478,-0.1109723252360926,-0.0978955025972255,0.0619088269952209,-0.1455610878997994,-0.10965899261047,-0.2158784278587914,0.0453145763670585,0.0447859486140816,-0.1582415330833965,0.0287408794114518,-0.1872431541708034,0.0726070601530192,0.0699428027072975,-0.0036068680223401,0.0494693410005489,0.0149662085920791,0.1041650952846604,-0.1097700045791441,0.2179328803819661,-0.0858687205727074,-0.0425294213303009,-0.076064430328067,-0.1457893366700722,0.0977508642252269,-0.0798132406974752,-0.0058707378024165,-0.031172455246147,0.1049444565796524,-0.0684646279322835,-0.0557505833890467,0.0722902725997923,32.62645802943722,3897,19.041433,204.65896658092905,5.326219294897479
1400000US06099003802,0.1508567715538246,-0.2406025537760846,0.2508838548734524,0.0800785065286157,0.0606776639973101,0.0069657674486843,0.0644401212264,0.0349061305041905,-0.0902581223465093,-0.1244603666290996,0.1704808174215238,-0.0098513515810109,-0.132738055620793,-0.1609029466184855,-0.0234674614304573,-0.066752012498149,0.0052726832615628,0.0480508612937056,-0.0288944074444802,-0.0012301785362831,0.0133648027333734,-0.0341224727032293,-0.0888503825195929,0.0108909518466161,0.0349400124705113,0.2696186120577739,-0.0510012773885489,0.0394118274028712,0.1790563073312024,0.0047477247028787,-0.0080319420874605,-0.2534395783895311,0.0120377477420296,-0.1215807832411881,0.007620928620964,0.0427919038850406,-0.153338737432673,-0.0995874750730486,-0.2384229147629861,0.0452913528846543,-0.0431223771080388,-0.2095020960425524,0.0334400113389417,-0.1451182566323165,0.1381357245111459,0.1083194177594475,-0.0349447444946578,0.0749903405216803,0.041297954753187,0.0584759441236175,-0.0825312572563293,0.1822427642347523,-0.1244417152276649,0.0050441277189734,-0.0266347596161292,-0.1991994108857986,0.1651562073828191,-0.0710108816113114,-0.0129475586886221,0.0104599068338492,0.1380965006463864,0.0237757620939893,-0.0867325065214778,0.0702954519857682,29.98645567531693,5443,2.432454,2237.6579372107344,7.7136318301221065
1400000US06099003700,0.05629673180677,-0.2261299262865739,0.2010115838216309,0.1047054184605125,0.009485926942808,0.0091762470955973,0.1764809711541926,0.2096230291619882,-0.0816045328162907,-0.1220079824507658,0.1434771568916309,0.001813523303284,-0.0859839517871463,-0.0453556295469627,0.0794365783660971,-0.0189466114514465,-0.1380398578610649,-0.0085964919120954,-0.0611065207707509,-0.0216734684176013,0.0377118797657973,-0.0892931607341592,0.0173387779448319,0.0289519738899669,0.1411700125515343,0.0696126825137972,-0.0547113765442807,0.0510838713927281,0.1757211873035191,-0.1473563014129082,-0.0701835550161513,-0.2023369790073027,0.0485308677158015,-0.0401624206779699,-0.1039959288916348,0.08906446318691,-0.1330993500343393,-0.1591963397478629,-0.2074300378777931,0.0348237141518744,0.0685633463079468,-0.1306490265829523,0.0043610499885846,-0.1886854349978226,0.0664136247647019,0.0177843357521917,0.0419857852210709,0.071305906266389,0.0251157647595113,0.1140718130223313,-0.0677642505324327,0.2068044964025455,-0.1166225376373407,-0.06781641562893,-0.1073891322391635,-0.0794525603627369,0.0810155250418534,-0.020947168599569,-0.0562766277557361,0.0190750111318275,0.0402842853996301,-0.000246250716051862,-0.0159561667002086,0.1193943840380737,26.96357637072527,4819,40.414117,119.24051192309857,4.789494002946456
1400000US06099000505,0.1300540542437252,-0.2446624046732561,0.174892831660523,0.0653572845091016,0.0426833457141205,0.0356976237443429,0.1124425134557904,0.1195433114040447,-0.0472529738709334,-0.1252865663332496,0.1618087927704473,-0.0198665320204639,-0.0982553536184418,-0.1287277778885274,0.0371424630595718,-0.037312785251542,-0.0452223048339917,-0.0124619938423531,-0.0475457959362003,0.0415614328403172,-0.0082049422441957,-0.0632658021261252,0.0029030173714718,0.0016161881662374,0.1036181523606244,0.2139019920033818,-0.0791330588582407,0.0622270692449462,0.2050589196634419,-0.0784310865914432,-0.0768048230240341,-0.2318619447197598,-0.0005476069438825761,-0.0699691376387762,-0.0469569944787083,-0.012268058578611,-0.1680334696926499,-0.1396131198203352,-0.1832458994205918,0.0653545823727851,-0.0050036652856927,-0.1448280168229127,0.0707135150276777,-0.1635835535312994,0.0827475342571914,0.0421164556587478,-0.0218529762869643,0.0604776676653415,0.0488385769293138,0.100047195905381,-0.0632894386988986,0.1437849176372622,-0.105458826992639,-0.0182691446784074,-0.0899669131491848,-0.1526830322067136,0.1342584500407457,-0.0501861505224143,-0.0325470279967211,0.0127551796887254,0.1130144011184808,0.00013783810508007793,-0.1028634689097709,0.08262050326019,27.703050575020644,5735,3.533285,1623.135410814582,7.392730898289079
1400000US06099001100,0.1726904135382066,-0.2650054262362383,0.1889031549575379,0.0544536327105824,0.0814231862937543,0.0130315874334215,0.0006883607177886676,0.0146097552846051,-0.0685524763916833,-0.1113407902334624,0.199445931804599,0.0174626721796769,-0.1417407995722954,-0.1984323772848094,-0.0217823132955861,-0.0532380457316085,0.0234660559168189,0.0461829920489331,-0.0283057799869391,0.0246149171191402,-0.0217054070712772,-0.03941219364947,-0.1149729499043748,0.0029970330162181,0.0160229366087107,0.3028269761298416,-0.0601722788738867,0.0466344677814102,0.1827815207090027,-0.0044897683711246,-0.056516145675265,-0.2470524114924939,-0.00841550326372,-0.0995191904594067,0.0336146253442668,-0.0094081278212081,-0.1804316983863786,-0.0834987646211675,-0.1877098322417418,0.0400101765651636,-0.1088567687916383,-0.1940250225116748,0.0880042146335534,-0.1219720234957353,0.1437733212633762,0.0919621102512954,-0.0759341209034168,0.082990708957646,0.0816342660872729,0.0474419840673905,-0.0539455908219313,0.133342250439309,-0.0955939235294483,0.0337777326493902,-0.0274229464796546,-0.2062526774972451,0.1761523072478826,-0.0496844040830233,-0.0092903577921557,0.0147454518757262,0.1552262259846016,0.0116885821344569,-0.1272016238792788,0.062769143706818,28.447138809863784,4221,1.801696,2342.7925687796387,7.759525652233094
1400000US06099000501,0.0803897951114963,-0.223488722107529,0.138433584446587,0.0775524232564076,0.0275834143276029,0.0433930324336363,0.1758272648982699,0.1919216806462949,-0.0132242658161781,-0.0875717415645496,0.1532705850862696,-0.0306959475073156,-0.0736894226304531,-0.067745310661101,0.0505975280791675,-0.0183357674999339,-0.1109040492348478,-0.0539720344664567,-0.1067278123175437,0.0543496683158802,0.0073436097540636,-0.0894061625526511,0.0346211690675216,0.012670692302546,0.1270895055976885,0.1670030269358247,-0.0954428400339555,0.0816392670819006,0.2177175206084381,-0.1100801261207285,-0.0953123910800732,-0.2318679367121413,0.0264764922342694,-0.0395014641215727,-0.1078844438006189,0.0135103137954573,-0.1550782643322904,-0.1428854595411763,-0.1512254312480423,0.0317769588518111,0.0291310777194714,-0.0970703927740363,0.0648672174831862,-0.1892873960785371,0.0556158586565261,0.0057159037008703,0.0082116718554168,0.0388709854723594,0.0191696499169243,0.1136199886052673,-0.0972205881625855,0.1698252412729547,-0.0781674500480972,-0.0159658610237678,-0.1123958956541555,-0.1207658520733351,0.0761856103173834,-0.0430303560738747,-0.0115735295341105,-0.0042876289673338,0.0755515648659206,-0.0878755996827858,-0.074516618307901,0.0553688146334757,26.183128141652688,7992,37.901284,210.86356863266164,5.3559425233230105
1400000US06099000914,0.1412245292575952,-0.2480897525039473,0.2510018063295558,0.0408900135930109,0.0714256095717773,-0.0066632991912066,0.0281299171742478,0.0176798844646372,-0.0670149459966754,-0.1329599693284846,0.1846889003942491,0.0565752892143458,-0.119515967917586,-0.1461288439625502,-0.0237122902071073,-0.0706003723050492,0.0427155725735206,0.0827601381709153,-0.0051724155749801,-0.0032052930722836,0.0173403415568975,-0.0285097496625286,-0.0718029301350238,0.0102694300204029,0.0163880124262597,0.27885094772919,-0.0514379659931779,0.0296644447204888,0.1912559412294077,0.0004260417868654727,-0.0328386552588732,-0.2681291956028411,0.0127564965261382,-0.1463530467407518,0.0440736846413033,0.0357788983374916,-0.1839993724275345,-0.0916022478132317,-0.1974482323008194,0.0680173892772724,-0.0842915741087941,-0.2143517315370077,0.0475346841985542,-0.1422855242245772,0.1362371935570581,0.0682258259852489,-0.0600906396600599,0.1198173202614142,0.0792222688198493,0.0373311856085049,-0.0541533603764782,0.173524506152455,-0.0994991404576394,-0.015615587057077,-0.0208830621684567,-0.174326660670713,0.1667027877483501,-0.0671571299046815,-0.020746465412497,-0.0149295887252084,0.1537457758954862,0.0488809991462746,-0.1004196331679363,0.047465010598881,31.895151420314875,5233,1.938107,2700.0573239764367,7.9013985768093296
1400000US06099003612,0.1441078906875668,-0.261966474812105,0.2337776381448044,0.0714975125391379,0.0551139134384941,0.0385833237523302,0.0679916603114737,0.0818123107479906,-0.0873906479324652,-0.1367685301565955,0.1962120586874304,0.0096697078510408,-0.1056855061385673,-0.1342995975750514,0.0187953882486644,-0.0577322800717586,0.0045436729196746,0.0216891730070368,0.0054637692333547,0.0280000851216536,0.0035547577356939,-0.057168922159773,-0.0383521380887059,-0.0165490599298577,0.0520260341675078,0.2471606497534877,-0.0507133504835817,0.0294217969219383,0.189261966206261,-0.0543727411911239,-0.0645600808861718,-0.250151684553809,-0.0153894153675138,-0.0915607183355075,-0.0081066250909661,0.0353384636217259,-0.1740662614819406,-0.119873271840718,-0.2440371480540835,0.0747277171349386,-0.0243209157560387,-0.1795871778663257,0.0580283905428169,-0.1351265093211406,0.1209193687534591,0.0827939193832826,-0.034950995915744,0.1130970957299158,0.0585393022069925,0.0739506404518578,-0.0520412247523575,0.1429931888580711,-0.1039407818830316,-0.024615894948182,-0.0589493352479798,-0.1722467911375322,0.1610624211645822,-0.051450389196692,-0.038755607897547,-0.0084465540632175,0.1428142916144305,0.0333410979199948,-0.1065809871958277,0.0794727916760078,31.762123826287645,8757,3.098173,2826.5045237951526,7.9471498079165475
1400000US06099002602,0.130246029170505,-0.2701208282437308,0.2377798048466294,0.0856391551992808,0.0626546739924134,0.0249950560927654,0.0338157088185907,0.0372278166530989,-0.0756135344647615,-0.1122248625844418,0.1891308521192349,0.0233829810179346,-0.1181119868253756,-0.1587050690899241,-0.0035870388629645,-0.059322155104978,0.0137135960514946,0.0428888143609181,-0.0374362436624251,-0.0351145511836951,0.0187359961566037,-0.035970426675334,-0.0897014879159128,0.011014179595151,0.0153669535649844,0.2208236909254174,-0.0420265489174266,0.0451383636388242,0.1732078263984302,0.005774104097176,-0.0197855268204839,-0.2493534075062325,0.0241387468306146,-0.1545107057740784,-0.0274019660794758,0.0539115080307516,-0.148306183995156,-0.1004835522152573,-0.2266934571682704,0.0876443868646515,-0.0285951001078576,-0.2116285918404059,0.0438244531191538,-0.1475476029807257,0.1340296390082932,0.0842137745569581,-0.043275351751718,0.0978961015652232,0.0445757895175688,0.0424605301936089,-0.0714626798752951,0.1745490140242237,-0.1097264176067738,-0.0130435816539017,-0.0436051622068091,-0.1882237801087858,0.1515829442672698,-0.0654184246590934,-0.0361093693422366,-0.0080440528089181,0.137839650197987,0.0350750458500297,-0.0804722035708724,0.0887565564443558,28.518119611080827,5134,2.679721,1915.8710925503067,7.5584494964186035
1400000US06099001900,0.1659661332417344,-0.2742752804649482,0.1876694110480909,0.0928282888251276,0.0870761220767411,0.0094497767444367,0.0432004941654985,0.0597764444504933,-0.0403855160223078,-0.1207972317915861,0.192061278338669,-0.0181113445184519,-0.1540319930390124,-0.1746274903609976,-0.006569880714795,-0.0151575131263529,-0.0200214771373751,0.0409144483162311,-0.026052071048458,0.0474354501208231,-0.0236645816228183,-0.041087668767871,-0.056240831767133,0.0074306999539724,0.0732177731489317,0.3083919552184871,-0.0738155972934393,0.0487664328421866,0.1856832274012091,-0.0254003710394559,-0.0588850470660791,-0.2353274172842158,-0.0203701236364055,-0.0527749016002306,0.0194092079872442,-0.0198029852188125,-0.1702810562626234,-0.1029107948789518,-0.1989433951108956,0.0319093405546096,-0.0793559895512266,-0.1840585112936835,0.0962819257543656,-0.110026853275766,0.1187534384077938,0.1021581892490034,-0.0544688634739105,0.063198639140817,0.0723039439060957,0.0552594485339619,-0.0762021300410563,0.1250031243256354,-0.1009188000677044,0.0557498868252927,-0.0222961138928514,-0.2320623512224994,0.1763241534009156,-0.0505403995166598,-0.011362931238709,0.0315823598472483,0.1737937347440818,0.0082415939837624,-0.0825625700102613,0.0316010104559266,28.675716072651763,4589,2.847993,1611.31014015835,7.385423299200274
